time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,0,-3,minor,[],[],G0,4,2.0
4/4,1,-3,minor,C0,minor-seventh,Eb,5,6.0
4/4,1,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,1,-3,minor,C0,minor-seventh,C0,5,8.0
4/4,2,-3,minor,C0,minor-seventh,C0,5,12.0
4/4,2,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,2,-3,minor,C0,minor-seventh,G0,4,2.0
4/4,3,-3,minor,C0,minor-seventh,Eb,5,2.0
4/4,3,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,3,-3,minor,C0,minor-seventh,C0,5,8.0
4/4,3,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,3,-3,minor,C0,minor-seventh,G0,4,2.0
4/4,4,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,4,-3,minor,C0,minor-seventh,Eb,5,2.0
4/4,4,-3,minor,C0,minor-seventh,rest,0,4.0
4/4,4,-3,minor,C0,minor-seventh,rest,0,4.0
4/4,4,-3,minor,C0,minor-seventh,rest,0,2.0
4/4,4,-3,minor,C0,minor-seventh,Eb,5,2.0
4/4,5,-3,minor,F0,minor-seventh,F0,5,6.0
4/4,5,-3,minor,F0,minor-seventh,C0,5,2.0
4/4,5,-3,minor,F0,minor-seventh,C0,5,8.0
4/4,6,-3,minor,F0,minor-seventh,C0,5,14.0
4/4,6,-3,minor,F0,minor-seventh,F0,5,2.0
4/4,7,-3,minor,C0,minor-seventh,Eb,5,6.0
4/4,7,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,7,-3,minor,C0,minor-seventh,C0,5,6.0
4/4,7,-3,minor,C0,minor-seventh,G0,4,2.0
4/4,8,-3,minor,C0,minor-seventh,C0,5,2.0
4/4,8,-3,minor,C0,minor-seventh,Eb,5,2.0
4/4,8,-3,minor,C0,minor-seventh,rest,0,4.0
4/4,8,-3,minor,C0,minor-seventh,rest,0,8.0
4/4,9,-3,minor,Ab,dominant,rest,0,2.0
4/4,9,-3,minor,Ab,dominant,D0,5,2.0
4/4,9,-3,minor,Ab,dominant,rest,0,4.0
4/4,9,-3,minor,Ab,dominant,D0,5,6.0
4/4,9,-3,minor,Ab,dominant,C0,5,2.0
4/4,10,-3,minor,G0,dominant,D0,5,6.0
4/4,10,-3,minor,G0,dominant,C0,5,2.0
4/4,10,-3,minor,G0,dominant,Eb,5,2.0
4/4,10,-3,minor,G0,dominant,C0,5,2.0
4/4,10,-3,minor,G0,dominant,Eb,5,4.0
4/4,11,-3,minor,C0,minor-seventh,C0,5,16.0
4/4,12,-3,minor,C0,minor-seventh,C0,5,14.0
4/4,12,-3,minor,C0,minor-seventh,G0,4,2.0
