time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,[],[],rest,0,8.0
4/4,1,-3,major,[],[],rest,0,6.0
4/4,1,-3,major,[],[],Eb,5,2.0
4/4,2,-3,major,Eb,major,Eb,5,2.0
4/4,2,-3,major,Eb,major,D0,5,4.0
4/4,2,-3,major,Eb,major,C0,5,2.0
4/4,2,-3,major,Eb,major,Bb,4,2.0
4/4,2,-3,major,Eb,major,F#,4,2.0
4/4,2,-3,major,Eb,major,G0,4,1.33333333333
4/4,2,-3,major,Eb,major,Bb,4,1.33333333333
4/4,2,-3,major,Eb,major,C0,5,1.33333333333
4/4,3,-3,major,G0,half-diminished,Db,5,4.0
4/4,3,-3,major,G0,half-diminished,G0,4,2.0
4/4,3,-3,major,G0,half-diminished,C0,5,2.0
4/4,3,-3,major,G0,half-diminished,C0,5,4.0
4/4,3,-3,major,G0,half-diminished,rest,0,2.0
4/4,3,-3,major,G0,half-diminished,G0,5,2.0
4/4,4,-3,major,F0,minor-seventh,G0,5,2.0
4/4,4,-3,major,F0,minor-seventh,F0,5,4.0
4/4,4,-3,major,F0,minor-seventh,Eb,5,2.0
4/4,4,-3,major,F0,minor-seventh,D0,5,2.0
4/4,4,-3,major,F0,minor-seventh,B0,4,2.0
4/4,4,-3,major,F0,minor-seventh,C0,5,2.0
4/4,4,-3,major,F0,minor-seventh,D0,5,2.0
4/4,5,-3,major,A0,half-diminished,Eb,5,4.0
4/4,5,-3,major,A0,half-diminished,F0,5,2.0
4/4,5,-3,major,A0,half-diminished,D0,5,2.0
4/4,5,-3,major,A0,half-diminished,D0,5,6.0
4/4,5,-3,major,A0,half-diminished,C0,5,2.0
4/4,6,-3,major,G0,minor-seventh,Bb,4,4.0
4/4,6,-3,major,G0,minor-seventh,rest,0,2.0
4/4,6,-3,major,G0,minor-seventh,Eb,5,2.0
4/4,6,-3,major,G0,minor-seventh,rest,0,2.0
4/4,6,-3,major,G0,minor-seventh,Bb,4,2.0
4/4,6,-3,major,G0,minor-seventh,A0,4,2.0
4/4,6,-3,major,G0,minor-seventh,Ab,4,2.0
4/4,7,-3,major,F0,minor-seventh,Ab,4,12.0
4/4,7,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,7,-3,major,F0,minor-seventh,Bb,4,2.0
4/4,8,-3,major,G0,minor-seventh,G0,4,2.0
4/4,8,-3,major,G0,minor-seventh,G0,4,2.0
4/4,8,-3,major,G0,minor-seventh,G0,4,12.0
4/4,9,-3,major,C0,dominant,rest,0,8.0
4/4,9,-3,major,C0,dominant,Db,5,2.0
4/4,9,-3,major,C0,dominant,C0,5,2.0
4/4,9,-3,major,C0,dominant,Gb,4,2.0
4/4,9,-3,major,C0,dominant,E0,4,2.0
4/4,10,-3,major,F0,minor-seventh,F0,4,2.0
4/4,10,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,10,-3,major,F0,minor-seventh,Bb,4,2.0
4/4,10,-3,major,F0,minor-seventh,Bb,4,2.0
4/4,10,-3,major,F0,minor-seventh,F0,4,2.0
4/4,10,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,10,-3,major,F0,minor-seventh,Bb,4,2.0
4/4,11,-3,major,Ab,minor-seventh,Gb,4,2.0
4/4,11,-3,major,Ab,minor-seventh,F0,4,2.0
4/4,11,-3,major,Ab,minor-seventh,rest,0,2.0
4/4,11,-3,major,Ab,minor-seventh,F0,4,2.0
4/4,11,-3,major,Ab,minor-seventh,F0,5,2.0
4/4,11,-3,major,Ab,minor-seventh,Eb,5,2.0
4/4,11,-3,major,Ab,minor-seventh,Cb,5,2.0
4/4,11,-3,major,Ab,minor-seventh,Bb,4,2.0
4/4,12,-3,major,Eb,major,Bb,4,12.0
4/4,12,-3,major,Eb,major,rest,0,2.0
4/4,12,-3,major,Eb,major,A0,4,2.0
4/4,13,-3,major,D0,minor-seventh,E0,5,2.0
4/4,13,-3,major,D0,minor-seventh,D0,5,2.0
4/4,13,-3,major,D0,minor-seventh,B0,4,2.0
4/4,13,-3,major,D0,minor-seventh,A0,4,2.0
4/4,13,-3,major,D0,minor-seventh,A0,4,8.0
4/4,14,-3,major,C0,minor-seventh,rest,0,4.0
4/4,14,-3,major,C0,minor-seventh,rest,0,2.0
4/4,14,-3,major,C0,minor-seventh,D0,5,2.0
4/4,14,-3,major,C0,minor-seventh,Eb,5,2.0
4/4,14,-3,major,C0,minor-seventh,B0,4,2.0
4/4,14,-3,major,C0,minor-seventh,C0,5,1.33333333333
4/4,14,-3,major,C0,minor-seventh,Eb,5,1.33333333333
4/4,14,-3,major,C0,minor-seventh,G0,5,1.33333333333
4/4,15,-3,major,F0,dominant,D0,6,2.0
4/4,15,-3,major,F0,dominant,D0,6,2.0
4/4,15,-3,major,F0,dominant,rest,0,4.0
4/4,15,-3,major,F0,dominant,rest,0,8.0
4/4,16,-3,major,F0,minor-seventh,rest,0,4.0
4/4,16,-3,major,F0,minor-seventh,rest,0,2.0
4/4,16,-3,major,F0,minor-seventh,G0,4,2.0
4/4,16,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,16,-3,major,F0,minor-seventh,E0,4,2.0
4/4,16,-3,major,F0,minor-seventh,F0,4,1.33333333333
4/4,16,-3,major,F0,minor-seventh,Ab,4,1.33333333333
4/4,16,-3,major,F0,minor-seventh,C0,5,1.33333333333
4/4,17,-3,major,Bb,dominant,G0,5,4.0
4/4,17,-3,major,Bb,dominant,rest,0,4.0
4/4,17,-3,major,Bb,dominant,rest,0,4.0
4/4,17,-3,major,Bb,dominant,rest,0,2.0
4/4,17,-3,major,Bb,dominant,Eb,5,2.0
4/4,18,-3,major,Eb,major,Eb,5,2.0
4/4,18,-3,major,Eb,major,D0,5,4.0
4/4,18,-3,major,Eb,major,C0,5,2.0
4/4,18,-3,major,Eb,major,Bb,4,2.0
4/4,18,-3,major,Eb,major,F#,4,2.0
4/4,18,-3,major,Eb,major,G0,4,1.33333333333
4/4,18,-3,major,Eb,major,Bb,4,1.33333333333
4/4,18,-3,major,Eb,major,C0,5,1.33333333333
4/4,19,-3,major,G0,half-diminished,Db,5,4.0
4/4,19,-3,major,G0,half-diminished,G0,4,2.0
4/4,19,-3,major,G0,half-diminished,C0,5,2.0
4/4,19,-3,major,G0,half-diminished,C0,5,4.0
4/4,19,-3,major,G0,half-diminished,rest,0,2.0
