time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,0,-3,major,Bb,dominant,Bb,3,6.0
6/8,1,-3,major,Eb,major,Eb,4,12.0
6/8,2,-3,major,Eb,major,Eb,4,4.0
6/8,2,-3,major,Eb,major,Eb,4,2.0
6/8,2,-3,major,Eb,major,D0,4,4.0
6/8,2,-3,major,Eb,major,C0,4,2.0
6/8,3,-3,major,G0,minor,D0,4,6.0
6/8,3,-3,major,G0,minor,Bb,3,6.0
6/8,4,-3,major,G0,minor,Bb,3,6.0
6/8,4,-3,major,G0,minor,G0,3,6.0
6/8,5,-3,major,Ab,major,C0,4,12.0
6/8,6,-3,major,Ab,major,C0,4,4.0
6/8,6,-3,major,Ab,major,C0,4,2.0
6/8,6,-3,major,Ab,major,Bb,3,4.0
6/8,6,-3,major,Ab,major,Ab,3,2.0
6/8,7,-3,major,Eb,major,Bb,3,6.0
6/8,7,-3,major,Eb,major,G0,3,6.0
6/8,8,-3,major,Eb,major,G0,3,6.0
6/8,8,-3,major,Eb,major,Eb,3,6.0
6/8,9,-3,major,Ab,major,Ab,3,12.0
6/8,10,-3,major,Ab,major,Ab,3,4.0
6/8,10,-3,major,Ab,major,Ab,3,2.0
6/8,10,-3,major,Ab,major,Bb,3,4.0
6/8,10,-3,major,Ab,major,Ab,3,2.0
6/8,11,-3,major,Eb,major,G0,3,6.0
6/8,11,-3,major,Eb,major,Bb,3,6.0
6/8,12,-3,major,C0,minor,Eb,4,8.0
6/8,12,-3,major,C0,minor,rest,0,2.0
6/8,12,-3,major,C0,minor,G0,3,2.0
6/8,13,-3,major,Ab,major,Ab,3,6.0
6/8,13,-3,major,Ab,major,Bb,3,6.0
6/8,14,-3,major,Bb,dominant,C0,4,6.0
6/8,14,-3,major,Bb,dominant,D0,4,6.0
6/8,15,-3,major,Eb,major,Eb,4,12.0
6/8,16,-3,major,Eb,major,Eb,4,6.0
6/8,16,-3,major,Eb,major,rest,0,2.0
6/8,16,-3,major,Eb,major,rest,0,2.0
6/8,16,-3,major,Eb,major,Bb,3,2.0
6/8,17,-3,major,Eb,major,Eb,4,4.0
6/8,17,-3,major,Eb,major,Eb,4,2.0
6/8,17,-3,major,Eb,major,Eb,4,4.0
6/8,17,-3,major,Eb,major,F0,4,2.0
6/8,18,-3,major,Eb,major,G0,4,4.0
6/8,18,-3,major,Eb,major,Bb,4,2.0
6/8,18,-3,major,Eb,major,Bb,3,4.0
6/8,18,-3,major,Eb,major,Bb,3,2.0
6/8,19,-3,major,Eb,major,Eb,4,4.0
6/8,19,-3,major,Eb,major,Eb,4,2.0
6/8,19,-3,major,Eb,major,Eb,4,4.0
6/8,19,-3,major,Eb,major,F0,4,2.0
6/8,20,-3,major,Eb,major,G0,4,4.0
6/8,20,-3,major,Eb,major,Bb,3,2.0
6/8,20,-3,major,Eb,major,Bb,3,4.0
6/8,20,-3,major,Eb,major,Bb,3,2.0
6/8,21,-3,major,Eb,major,Eb,4,4.0
