time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,1,1,major,G0,major,D0,4,6.0
6/8,1,1,major,G0,major,B0,4,4.0
6/8,1,1,major,G0,major,A#,4,2.0
6/8,2,1,major,G0,major,B0,4,6.0
6/8,2,1,major,G0,major,D0,4,6.0
6/8,3,1,major,B0,dominant,D#,4,6.0
6/8,3,1,major,B0,dominant,B0,4,4.0
6/8,3,1,major,B0,dominant,A#,4,2.0
6/8,4,1,major,D0,major,B0,4,12.0
6/8,5,1,major,E0,dominant,E0,4,6.0
6/8,5,1,major,E0,dominant,B0,4,4.0
6/8,5,1,major,E0,dominant,A#,4,2.0
6/8,6,1,major,E0,dominant,B0,4,6.0
6/8,6,1,major,E0,dominant,C0,5,6.0
6/8,7,1,major,A0,minor,B0,4,4.0
6/8,7,1,major,A0,minor,A0,4,2.0
6/8,7,1,major,A0,minor,A0,4,4.0
6/8,7,1,major,A0,minor,G#,4,2.0
6/8,8,1,major,A0,minor,A0,4,6.0
6/8,8,1,major,A0,minor,A0,4,2.0
6/8,8,1,major,A0,minor,rest,0,2.0
6/8,8,1,major,A0,minor,C#,4,2.0
6/8,9,1,major,D0,dominant,D0,4,6.0
6/8,9,1,major,D0,dominant,A0,4,4.0
6/8,9,1,major,D0,dominant,G#,4,2.0
6/8,10,1,major,F0,major,A0,4,6.0
6/8,10,1,major,F0,major,D0,4,6.0
6/8,11,1,major,G0,major,D0,4,6.0
6/8,11,1,major,G0,major,B0,4,4.0
6/8,11,1,major,G0,major,A#,4,2.0
6/8,12,1,major,E0,dominant,B0,4,6.0
6/8,12,1,major,E0,dominant,B0,4,4.0
6/8,12,1,major,E0,dominant,E0,4,2.0
6/8,13,1,major,A0,dominant,A0,4,2.0
6/8,13,1,major,A0,dominant,A0,4,2.0
6/8,13,1,major,A0,dominant,A0,4,2.0
6/8,13,1,major,A0,dominant,A0,4,2.0
6/8,13,1,major,A0,dominant,Ab,4,2.0
6/8,13,1,major,A0,dominant,G0,4,2.0
6/8,14,1,major,A0,dominant,F#,4,4.0
6/8,14,1,major,A0,dominant,F0,4,2.0
6/8,14,1,major,A0,dominant,E0,4,4.0
6/8,14,1,major,A0,dominant,Eb,4,2.0
6/8,15,1,major,D0,dominant,D0,4,4.0
6/8,15,1,major,D0,dominant,D#,4,2.0
6/8,15,1,major,D0,dominant,E0,4,4.0
6/8,15,1,major,D0,dominant,F0,4,2.0
6/8,16,1,major,D0,dominant,F#,4,4.0
6/8,16,1,major,D0,dominant,F0,4,2.0
6/8,16,1,major,D0,dominant,E0,4,4.0
6/8,16,1,major,D0,dominant,Eb,4,2.0
6/8,17,1,major,G0,major,D0,4,6.0
6/8,17,1,major,G0,major,B0,4,4.0
6/8,17,1,major,G0,major,A#,4,2.0
6/8,18,1,major,G0,major,B0,4,6.0
6/8,18,1,major,G0,major,D0,4,6.0
6/8,19,1,major,B0,dominant,D#,4,6.0
6/8,19,1,major,B0,dominant,B0,4,4.0
6/8,19,1,major,B0,dominant,A#,4,2.0
6/8,20,1,major,D0,major,B0,4,12.0
6/8,21,1,major,E0,dominant,E0,4,6.0
6/8,21,1,major,E0,dominant,B0,4,4.0
6/8,21,1,major,E0,dominant,A#,4,2.0
6/8,22,1,major,E0,dominant,B0,4,6.0
6/8,22,1,major,E0,dominant,C0,5,6.0
6/8,23,1,major,A0,minor,B0,4,4.0
6/8,23,1,major,A0,minor,A0,4,2.0
6/8,23,1,major,A0,minor,A0,4,4.0
6/8,23,1,major,A0,minor,G#,4,2.0
6/8,24,1,major,A0,minor,A0,4,4.0
6/8,24,1,major,A0,minor,rest,0,2.0
6/8,24,1,major,A0,minor,B0,4,4.0
6/8,24,1,major,A0,minor,C0,5,2.0
6/8,25,1,major,C0,minor,D0,5,2.0
6/8,25,1,major,C0,minor,D0,5,2.0
6/8,25,1,major,C0,minor,D0,5,2.0
6/8,25,1,major,C0,minor,D0,5,2.0
6/8,25,1,major,C0,minor,Db,5,2.0
6/8,25,1,major,C0,minor,C0,5,2.0
6/8,26,1,major,F0,major,B0,4,4.0
6/8,26,1,major,F0,major,Bb,4,2.0
6/8,26,1,major,F0,major,A0,4,4.0
6/8,26,1,major,F0,major,Ab,4,2.0
6/8,27,1,major,C0,major,G0,4,4.0
6/8,27,1,major,C0,major,G#,4,2.0
6/8,27,1,major,C0,major,A0,4,4.0
6/8,27,1,major,C0,major,A#,4,2.0
6/8,28,1,major,E0,dominant,B0,4,6.0
6/8,28,1,major,E0,dominant,C0,5,4.0
6/8,28,1,major,E0,dominant,D0,5,2.0
6/8,29,1,major,A0,minor-seventh,E0,5,6.0
6/8,29,1,major,A0,minor-seventh,E0,5,6.0
6/8,30,1,major,D0,dominant,B0,4,6.0
6/8,30,1,major,D0,dominant,B0,4,6.0
6/8,31,1,major,G0,major,G0,4,12.0
6/8,32,1,major,G0,major,rest,0,12.0
6/8,33,1,major,G0,major,G0,4,12.0
6/8,34,1,major,G0,major,G0,4,6.0
6/8,34,1,major,G0,major,G0,4,4.0
6/8,34,1,major,G0,major,rest,0,2.0
