time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/4,1,2,major,[],[],rest,0,4.0
2/4,1,2,major,[],[],rest,0,2.0
2/4,1,2,major,[],[],A0,4,2.0
2/4,2,2,major,D0,major,D0,5,6.0
2/4,2,2,major,D0,major,E0,5,1.0
2/4,2,2,major,D0,major,F#,5,1.0
2/4,3,2,major,D0,major,E0,5,2.0
2/4,3,2,major,D0,major,D0,5,2.0
2/4,3,2,major,D0,major,A0,4,2.0
2/4,3,2,major,D0,major,D0,5,2.0
2/4,4,2,major,A0,major,E0,5,6.0
2/4,4,2,major,A0,major,F#,5,2.0
2/4,5,2,major,D0,major,F#,5,8.0
2/4,6,2,major,D0,major,F#,5,6.0
2/4,6,2,major,D0,major,G0,5,1.0
2/4,6,2,major,D0,major,A0,5,1.0
2/4,7,2,major,D0,major,G0,5,2.0
2/4,7,2,major,D0,major,F#,5,2.0
2/4,7,2,major,D0,major,E0,5,2.0
2/4,7,2,major,D0,major,D0,5,2.0
2/4,8,2,major,A0,major,E0,5,6.0
2/4,8,2,major,A0,major,F#,5,2.0
2/4,9,2,major,A0,major,A0,4,8.0
2/4,10,2,major,G0,major,B0,4,6.0
2/4,10,2,major,G0,major,C#,5,1.0
2/4,10,2,major,G0,major,D0,5,1.0
2/4,11,2,major,D0,major,D0,5,2.0
2/4,11,2,major,D0,major,A0,4,2.0
2/4,11,2,major,D0,major,C#,5,2.0
2/4,11,2,major,D0,major,D0,5,2.0
2/4,12,2,major,G0,major,A0,5,6.0
2/4,12,2,major,G0,major,G0,5,2.0
2/4,13,2,major,D0,major,F#,5,8.0
2/4,14,2,major,G0,major,E0,5,6.0
2/4,14,2,major,G0,major,F#,5,1.0
2/4,14,2,major,G0,major,G0,5,1.0
2/4,15,2,major,D0,major,F#,5,2.0
2/4,15,2,major,D0,major,D0,5,2.0
2/4,15,2,major,D0,major,A0,4,2.0
2/4,15,2,major,D0,major,D0,5,2.0
2/4,16,2,major,A0,major,E0,5,6.0
2/4,16,2,major,A0,major,D0,5,2.0
2/4,17,2,major,D0,major,D0,5,8.0
2/4,18,3,major,A0,major,C#,5,6.0
2/4,18,3,major,A0,major,A0,4,2.0
2/4,19,3,major,A0,major,E0,5,6.0
2/4,19,3,major,A0,major,C#,5,1.0
2/4,19,3,major,A0,major,E0,5,1.0
2/4,20,3,major,A0,major,F#,5,6.0
2/4,20,3,major,A0,major,C#,5,2.0
2/4,21,3,major,A0,major,C#,5,6.0
2/4,21,3,major,A0,major,B0,4,2.0
2/4,22,3,major,D0,major,A0,4,6.0
2/4,22,3,major,D0,major,B0,4,1.0
2/4,22,3,major,D0,major,C#,5,1.0
2/4,23,3,major,E0,major,B0,4,8.0
2/4,24,3,major,A0,major,C#,5,6.0
2/4,24,3,major,A0,major,D0,5,1.0
2/4,24,3,major,A0,major,E0,5,1.0
2/4,25,3,major,E0,major,B0,4,8.0
2/4,26,3,major,E0,major,C#,5,6.0
2/4,26,3,major,E0,major,A0,4,2.0
2/4,27,3,major,E0,major,E0,5,6.0
2/4,27,3,major,E0,major,C#,5,1.0
2/4,27,3,major,E0,major,D0,5,1.0
2/4,28,3,major,E0,major,F#,5,6.0
2/4,28,3,major,E0,major,C#,5,2.0
2/4,29,3,major,E0,major,C#,5,6.0
2/4,29,3,major,E0,major,B0,4,2.0
2/4,30,3,major,D0,major,A0,4,6.0
2/4,30,3,major,D0,major,B0,4,1.0
2/4,30,3,major,D0,major,C#,5,1.0
2/4,31,3,major,E0,major,B0,4,6.0
2/4,31,3,major,E0,major,A0,4,2.0
2/4,32,3,major,A0,major,A0,4,8.0
2/4,33,3,major,A0,major,A0,4,8.0
