time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-5,major,Db,major,Db,5,8.0
4/4,1,-5,major,Db,major,Ab,4,4.0
4/4,1,-5,major,Db,major,Bb,4,4.0
4/4,2,-5,major,Db,major,Db,4,8.0
4/4,2,-5,major,Db,major,Ab,4,4.0
4/4,2,-5,major,Db,major,Bb,4,4.0
4/4,3,-5,major,Gb,dominant,Db,5,4.0
4/4,3,-5,major,Gb,dominant,Db,5,4.0
4/4,3,-5,major,Gb,dominant,Ab,4,4.0
4/4,3,-5,major,Gb,dominant,Bb,4,4.0
4/4,4,-5,major,Gb,dominant,Db,4,8.0
4/4,4,-5,major,Gb,dominant,Ab,4,4.0
4/4,4,-5,major,Gb,dominant,Bb,4,4.0
4/4,5,-5,major,Db,major,Db,5,8.0
4/4,5,-5,major,Db,major,Ab,4,4.0
4/4,5,-5,major,Db,major,Bb,4,4.0
4/4,6,-5,major,Bb,dominant,F0,4,8.0
4/4,6,-5,major,Bb,dominant,F0,4,4.0
4/4,6,-5,major,Bb,dominant,Db,4,4.0
4/4,7,-5,major,Eb,dominant,F0,4,4.0
4/4,7,-5,major,Eb,dominant,Db,4,4.0
4/4,7,-5,major,Eb,dominant,F0,4,4.0
4/4,7,-5,major,Eb,dominant,Db,4,4.0
4/4,8,-5,major,Ab,dominant,Eb,4,8.0
4/4,8,-5,major,Ab,dominant,Ab,4,4.0
4/4,8,-5,major,Ab,dominant,Bb,4,4.0
4/4,9,-5,major,Db,major,Db,5,4.0
4/4,9,-5,major,Db,major,Db,5,4.0
4/4,9,-5,major,Db,major,Ab,4,4.0
4/4,9,-5,major,Db,major,Bb,4,4.0
4/4,10,-5,major,Db,major,Db,4,8.0
4/4,10,-5,major,Db,major,Ab,4,4.0
4/4,10,-5,major,Db,major,Bb,4,4.0
4/4,11,-5,major,Gb,dominant,Db,5,4.0
4/4,11,-5,major,Gb,dominant,Db,5,4.0
4/4,11,-5,major,Gb,dominant,Ab,4,4.0
4/4,11,-5,major,Gb,dominant,Bb,4,4.0
4/4,12,-5,major,Gb,minor-seventh,Db,4,8.0
4/4,12,-5,major,Gb,minor-seventh,Ab,4,4.0
4/4,12,-5,major,Gb,minor-seventh,Bb,4,4.0
4/4,13,-5,major,Db,major,Db,5,4.0
4/4,13,-5,major,Db,major,Db,5,4.0
4/4,13,-5,major,Db,major,Bb,4,4.0
4/4,13,-5,major,Db,major,Bb,4,4.0
4/4,14,-5,major,Eb,dominant,Ab,4,4.0
4/4,14,-5,major,Eb,dominant,Ab,4,4.0
4/4,14,-5,major,Eb,dominant,F0,4,4.0
4/4,14,-5,major,Eb,dominant,Eb,4,4.0
4/4,15,-5,major,Db,major,Db,4,8.0
4/4,15,-5,major,Db,major,Eb,4,8.0
4/4,16,-5,major,Ab,dominant,Ab,4,8.0
4/4,16,-5,major,Ab,dominant,Ab,4,4.0
4/4,16,-5,major,Ab,dominant,Bb,4,4.0
