time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-2,major,Bb,major,F0,4,12.0
3/4,2,-2,major,Bb,major,G0,4,8.0
3/4,2,-2,major,Bb,major,Bb,4,4.0
3/4,3,-2,major,C0,minor,Bb,4,12.0
3/4,4,-2,major,F0,dominant,A0,4,12.0
3/4,5,-2,major,C0,minor,Eb,5,12.0
3/4,6,-2,major,F0,dominant,Eb,5,12.0
3/4,7,-2,major,Bb,major,D0,5,12.0
3/4,8,-2,major,Bb,major,D0,5,12.0
3/4,9,-2,major,Bb,major,F0,4,12.0
3/4,10,-2,major,Bb,major,G0,4,8.0
3/4,10,-2,major,Bb,major,Bb,4,4.0
3/4,11,-2,major,C0,minor,Bb,4,12.0
3/4,12,-2,major,F0,dominant,A0,4,12.0
3/4,13,-2,major,C0,minor,Eb,5,12.0
3/4,14,-2,major,F0,dominant,Eb,5,8.0
3/4,14,-2,major,F0,dominant,Eb,5,4.0
3/4,15,-2,major,Bb,major,D0,5,12.0
3/4,16,-2,major,Bb,major,D0,5,12.0
3/4,17,-2,major,D0,dominant,D0,5,12.0
3/4,18,-2,major,D0,dominant,D0,5,8.0
3/4,18,-2,major,D0,dominant,C0,5,4.0
3/4,19,-2,major,G0,minor,Bb,4,12.0
3/4,20,-2,major,G0,minor,Bb,4,8.0
3/4,20,-2,major,G0,minor,Bb,4,4.0
3/4,21,-2,major,G0,minor,D0,5,12.0
3/4,22,-2,major,G0,minor-seventh,Bb,4,8.0
3/4,22,-2,major,G0,minor-seventh,Bb,4,4.0
3/4,23,-2,major,E0,major,G0,4,12.0
3/4,24,-2,major,E0,major,G0,4,2.0
3/4,24,-2,major,E0,major,A0,4,2.0
3/4,24,-2,major,E0,major,C0,5,2.0
3/4,24,-2,major,E0,major,Bb,4,2.0
3/4,24,-2,major,E0,major,Bb,4,2.0
3/4,24,-2,major,E0,major,G0,4,2.0
3/4,25,-2,major,Bb,major,F0,4,8.0
3/4,25,-2,major,Bb,major,F0,4,4.0
3/4,26,-2,major,Bb,major,G0,4,8.0
3/4,26,-2,major,Bb,major,Bb,4,4.0
3/4,27,-2,major,Bb,major,D0,5,12.0
3/4,28,-2,major,Bb,major,D0,5,12.0
3/4,29,-2,major,C0,minor,F0,4,12.0
3/4,30,-2,major,F0,major,D0,5,12.0
3/4,31,-2,major,Bb,major,Bb,4,12.0
3/4,32,-2,major,Bb,dominant,D0,5,4.0
3/4,32,-2,major,Bb,dominant,C0,5,4.0
3/4,32,-2,major,Bb,dominant,Cb,5,4.0
3/4,33,-3,major,Eb,major,Bb,4,12.0
3/4,34,-3,major,Eb,major,C0,5,8.0
3/4,34,-3,major,Eb,major,Eb,5,4.0
3/4,35,-3,major,F0,minor,Eb,5,12.0
3/4,36,-3,major,Bb,dominant,D0,5,12.0
3/4,37,-3,major,F0,minor,Ab,5,12.0
3/4,38,-3,major,Bb,dominant,Ab,5,12.0
3/4,39,-3,major,Eb,major,G0,5,12.0
3/4,40,-3,major,Eb,major,G0,5,12.0
3/4,41,-3,major,Eb,major,Bb,4,12.0
3/4,42,-3,major,Eb,major,C0,5,8.0
3/4,42,-3,major,Eb,major,Eb,5,4.0
3/4,43,-3,major,F0,minor,Eb,5,12.0
3/4,44,-3,major,Bb,dominant,D0,5,12.0
3/4,45,-3,major,F0,minor,Ab,5,12.0
3/4,46,-3,major,Bb,dominant,Ab,5,8.0
3/4,46,-3,major,Bb,dominant,Ab,5,4.0
3/4,47,-3,major,Eb,major,G0,5,12.0
3/4,48,-3,major,Eb,major,G0,5,12.0
3/4,49,-3,major,G0,dominant,G0,5,12.0
3/4,50,-3,major,G0,dominant,G0,5,8.0
3/4,50,-3,major,G0,dominant,F0,5,4.0
3/4,51,-3,major,C0,minor,Eb,5,12.0
3/4,52,-3,major,C0,minor,Eb,5,8.0
3/4,52,-3,major,C0,minor,Eb,5,4.0
3/4,53,-3,major,C0,minor,G0,5,12.0
3/4,54,-3,major,C0,minor-seventh,Eb,5,8.0
3/4,54,-3,major,C0,minor-seventh,Eb,5,4.0
3/4,55,-3,major,A0,major,C0,5,12.0
3/4,56,-3,major,A0,major,C0,5,2.0
3/4,56,-3,major,A0,major,D0,5,2.0
3/4,56,-3,major,A0,major,F0,5,2.0
3/4,56,-3,major,A0,major,Eb,5,2.0
3/4,56,-3,major,A0,major,D0,5,2.0
3/4,56,-3,major,A0,major,C0,5,2.0
3/4,57,-3,major,Eb,major,Bb,4,8.0
3/4,57,-3,major,Eb,major,Bb,4,4.0
3/4,58,-3,major,Eb,major,C0,5,8.0
3/4,58,-3,major,Eb,major,Eb,5,4.0
3/4,59,-3,major,Eb,major,G0,5,12.0
3/4,60,-3,major,Eb,major,G0,5,12.0
3/4,61,-3,major,F0,minor,Bb,4,12.0
3/4,62,-3,major,Bb,dominant,G0,5,12.0
3/4,63,-3,major,Eb,major,Eb,5,12.0
3/4,64,-3,major,Eb,major,Eb,5,4.0
3/4,64,-3,major,Eb,major,rest,0,8.0
