time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-5,major,Db,major,rest,0,8.0
4/4,1,-5,major,Db,major,Db,4,2.0
4/4,1,-5,major,Db,major,F0,4,2.0
4/4,1,-5,major,Db,major,Ab,4,2.0
4/4,1,-5,major,Db,major,Ab,4,2.0
4/4,2,-5,major,Gb,major,Ab,4,2.0
4/4,2,-5,major,Gb,major,Bb,4,4.0
4/4,2,-5,major,Gb,major,Ab,4,2.0
4/4,2,-5,major,Gb,major,Ab,4,4.0
4/4,2,-5,major,Gb,major,Gb,4,2.0
4/4,2,-5,major,Gb,major,Gb,4,2.0
4/4,3,-5,major,Db,major,F0,4,8.0
4/4,3,-5,major,Db,major,F0,4,2.0
4/4,3,-5,major,Db,major,Gb,4,2.0
4/4,3,-5,major,Db,major,Ab,4,2.0
4/4,3,-5,major,Db,major,Ab,4,2.0
4/4,4,-5,major,Gb,major,Ab,4,2.0
4/4,4,-5,major,Gb,major,Eb,5,4.0
4/4,4,-5,major,Gb,major,C0,5,2.0
4/4,4,-5,major,Gb,major,C0,5,2.0
4/4,4,-5,major,Gb,major,Ab,4,2.0
4/4,4,-5,major,Gb,major,Ab,4,2.0
4/4,4,-5,major,Gb,major,Bb,4,2.0
4/4,5,-5,major,Bb,minor,Bb,4,6.0
4/4,5,-5,major,Bb,minor,F0,4,2.0
4/4,5,-5,major,Bb,minor,F0,4,2.0
4/4,5,-5,major,Bb,minor,Gb,4,2.0
4/4,5,-5,major,Bb,minor,Ab,4,2.0
4/4,5,-5,major,Bb,minor,Ab,4,2.0
4/4,6,-5,major,Gb,major,Ab,4,2.0
4/4,6,-5,major,Gb,major,Bb,4,4.0
4/4,6,-5,major,Gb,major,Db,4,2.0
4/4,6,-5,major,Gb,major,Db,4,4.0
4/4,6,-5,major,Gb,major,F0,4,2.0
4/4,6,-5,major,Gb,major,F0,4,2.0
4/4,7,-5,major,Eb,minor-seventh,F0,4,2.0
4/4,7,-5,major,Eb,minor-seventh,Eb,4,2.0
4/4,7,-5,major,Eb,minor-seventh,rest,0,8.0
4/4,7,-5,major,Eb,minor-seventh,Bb,4,2.0
4/4,7,-5,major,Eb,minor-seventh,Ab,4,2.0
4/4,8,-5,major,Db,major,Ab,4,8.0
4/4,8,-5,major,Db,major,rest,0,2.0
