time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-2,minor,[],[],rest,0,8.0
3/4,1,-2,minor,[],[],D0,4,4.0
3/4,2,-2,minor,G0,minor,G0,4,4.0
3/4,2,-2,minor,G0,minor,D0,4,4.0
3/4,2,-2,minor,G0,minor,G0,4,2.0
3/4,2,-2,minor,G0,minor,G0,4,2.0
3/4,3,-2,minor,C0,minor,Bb,4,4.0
3/4,3,-2,minor,C0,minor,A0,4,4.0
3/4,3,-2,minor,C0,minor,G0,4,4.0
3/4,4,-2,minor,G0,minor-seventh,F0,4,4.0
3/4,4,-2,minor,G0,minor-seventh,D0,4,4.0
3/4,4,-2,minor,G0,minor-seventh,Bb,3,4.0
3/4,5,-2,minor,C0,minor,C0,4,8.0
3/4,5,-2,minor,C0,minor,D0,4,4.0
3/4,6,-2,minor,G0,minor,G0,4,4.0
3/4,6,-2,minor,G0,minor,D0,4,4.0
3/4,6,-2,minor,G0,minor,G0,4,4.0
3/4,7,-2,minor,C0,minor,Bb,4,4.0
3/4,7,-2,minor,C0,minor,A0,4,4.0
3/4,7,-2,minor,C0,minor,G0,4,4.0
3/4,8,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,8,-2,minor,G0,minor-seventh,A0,4,6.0
3/4,8,-2,minor,G0,minor-seventh,G0,4,2.0
3/4,9,-2,minor,G0,minor,G0,4,8.0
3/4,9,-2,minor,G0,minor,D0,4,4.0
3/4,10,-2,minor,G0,minor,G0,4,4.0
3/4,10,-2,minor,G0,minor,D0,4,4.0
3/4,10,-2,minor,G0,minor,G0,4,4.0
3/4,11,-2,minor,C0,minor,Bb,4,4.0
3/4,11,-2,minor,C0,minor,A0,4,4.0
3/4,11,-2,minor,C0,minor,G0,4,4.0
3/4,12,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,12,-2,minor,G0,minor-seventh,A0,4,4.0
3/4,12,-2,minor,G0,minor-seventh,G0,4,4.0
3/4,13,-2,minor,G0,dominant,F0,4,8.0
3/4,13,-2,minor,G0,dominant,D0,4,4.0
3/4,14,-2,minor,C0,minor,G0,4,4.0
3/4,14,-2,minor,C0,minor,D0,4,4.0
3/4,14,-2,minor,C0,minor,G0,4,2.0
3/4,14,-2,minor,C0,minor,G0,4,2.0
3/4,15,-2,minor,Bb,major,Bb,4,4.0
3/4,15,-2,minor,Bb,major,D0,5,4.0
3/4,15,-2,minor,Bb,major,G0,4,4.0
3/4,16,-2,minor,G0,minor,Bb,4,4.0
3/4,16,-2,minor,G0,minor,G0,4,4.0
3/4,16,-2,minor,G0,minor,D0,4,4.0
3/4,17,-2,minor,C0,minor,C0,4,8.0
3/4,17,-2,minor,C0,minor,rest,0,4.0
3/4,18,-2,minor,C0,minor,rest,0,8.0
3/4,18,-2,minor,C0,minor,D0,4,4.0
3/4,19,-2,minor,G0,minor,G0,4,4.0
3/4,19,-2,minor,G0,minor,D0,4,4.0
3/4,19,-2,minor,G0,minor,G0,4,2.0
3/4,19,-2,minor,G0,minor,G0,4,2.0
3/4,20,-2,minor,C0,minor,Bb,4,4.0
3/4,20,-2,minor,C0,minor,A0,4,4.0
3/4,20,-2,minor,C0,minor,G0,4,4.0
3/4,21,-2,minor,G0,minor-seventh,F0,4,4.0
3/4,21,-2,minor,G0,minor-seventh,D0,4,4.0
3/4,21,-2,minor,G0,minor-seventh,Bb,3,4.0
3/4,22,-2,minor,C0,minor,C0,4,8.0
3/4,22,-2,minor,C0,minor,D0,4,4.0
3/4,23,-2,minor,G0,minor,G0,4,4.0
3/4,23,-2,minor,G0,minor,D0,4,4.0
3/4,23,-2,minor,G0,minor,G0,4,4.0
3/4,24,-2,minor,C0,minor,Bb,4,4.0
3/4,24,-2,minor,C0,minor,A0,4,4.0
3/4,24,-2,minor,C0,minor,G0,4,4.0
3/4,25,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,25,-2,minor,G0,minor-seventh,A0,4,6.0
3/4,25,-2,minor,G0,minor-seventh,G0,4,2.0
3/4,26,-2,minor,G0,minor,G0,4,8.0
3/4,26,-2,minor,G0,minor,D0,4,4.0
3/4,27,-2,minor,G0,minor,G0,4,4.0
3/4,27,-2,minor,G0,minor,D0,4,4.0
3/4,27,-2,minor,G0,minor,G0,4,4.0
3/4,28,-2,minor,C0,minor,Bb,4,4.0
3/4,28,-2,minor,C0,minor,A0,4,4.0
3/4,28,-2,minor,C0,minor,G0,4,4.0
3/4,29,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,29,-2,minor,G0,minor-seventh,A0,4,4.0
3/4,29,-2,minor,G0,minor-seventh,G0,4,4.0
3/4,30,-2,minor,G0,dominant,F0,4,8.0
3/4,30,-2,minor,G0,dominant,D0,4,2.0
3/4,30,-2,minor,G0,dominant,D0,4,2.0
3/4,31,-2,minor,C0,minor,G0,4,4.0
3/4,31,-2,minor,C0,minor,D0,4,4.0
3/4,31,-2,minor,C0,minor,G0,4,2.0
3/4,31,-2,minor,C0,minor,G0,4,2.0
3/4,32,-2,minor,Bb,major,Bb,4,4.0
3/4,32,-2,minor,Bb,major,D0,5,4.0
3/4,32,-2,minor,Bb,major,G0,4,4.0
3/4,33,-2,minor,G0,minor,Bb,4,4.0
3/4,33,-2,minor,G0,minor,G0,4,4.0
3/4,33,-2,minor,G0,minor,D0,4,4.0
3/4,34,-2,minor,C0,minor,C0,4,8.0
3/4,34,-2,minor,C0,minor,rest,0,4.0
3/4,35,-2,minor,C0,minor,rest,0,8.0
3/4,35,-2,minor,C0,minor,D0,4,4.0
3/4,36,-2,minor,G0,minor,G0,4,4.0
3/4,36,-2,minor,G0,minor,D0,4,4.0
3/4,36,-2,minor,G0,minor,G0,4,4.0
3/4,37,-2,minor,C0,minor,Bb,4,4.0
3/4,37,-2,minor,C0,minor,A0,4,4.0
3/4,37,-2,minor,C0,minor,G0,4,4.0
3/4,38,-2,minor,G0,minor-seventh,F0,4,4.0
3/4,38,-2,minor,G0,minor-seventh,D0,4,4.0
3/4,38,-2,minor,G0,minor-seventh,Bb,3,4.0
3/4,39,-2,minor,C0,minor,C0,4,8.0
3/4,39,-2,minor,C0,minor,D0,4,4.0
3/4,40,-2,minor,G0,minor,G0,4,4.0
3/4,40,-2,minor,G0,minor,D0,4,4.0
3/4,40,-2,minor,G0,minor,G0,4,4.0
3/4,41,-2,minor,C0,minor,Bb,4,4.0
3/4,41,-2,minor,C0,minor,A0,4,4.0
3/4,41,-2,minor,C0,minor,G0,4,4.0
3/4,42,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,42,-2,minor,G0,minor-seventh,A0,4,6.0
3/4,42,-2,minor,G0,minor-seventh,G0,4,2.0
3/4,43,-2,minor,G0,minor,G0,4,8.0
3/4,43,-2,minor,G0,minor,D0,4,4.0
3/4,44,-2,minor,G0,minor,G0,4,4.0
3/4,44,-2,minor,G0,minor,D0,4,4.0
3/4,44,-2,minor,G0,minor,G0,4,4.0
3/4,45,-2,minor,C0,minor,Bb,4,4.0
3/4,45,-2,minor,C0,minor,A0,4,4.0
3/4,45,-2,minor,C0,minor,G0,4,4.0
3/4,46,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,46,-2,minor,G0,minor-seventh,A0,4,4.0
3/4,46,-2,minor,G0,minor-seventh,G0,4,4.0
3/4,47,-2,minor,G0,dominant,F0,4,8.0
3/4,47,-2,minor,G0,dominant,D0,4,4.0
3/4,48,-2,minor,C0,minor,G0,4,4.0
3/4,48,-2,minor,C0,minor,D0,4,4.0
3/4,48,-2,minor,C0,minor,G0,4,2.0
3/4,48,-2,minor,C0,minor,G0,4,2.0
3/4,49,-2,minor,Bb,major,Bb,4,4.0
3/4,49,-2,minor,Bb,major,D0,5,4.0
3/4,49,-2,minor,Bb,major,G0,4,4.0
3/4,50,-2,minor,G0,minor,Bb,4,4.0
3/4,50,-2,minor,G0,minor,G0,4,4.0
3/4,50,-2,minor,G0,minor,D0,4,4.0
3/4,51,-2,minor,C0,minor,C0,4,8.0
3/4,51,-2,minor,C0,minor,rest,0,4.0
3/4,52,-2,minor,C0,minor,rest,0,8.0
3/4,52,-2,minor,C0,minor,D0,4,4.0
3/4,53,-2,minor,G0,minor,G0,4,4.0
3/4,53,-2,minor,G0,minor,D0,4,4.0
3/4,53,-2,minor,G0,minor,G0,4,2.0
3/4,53,-2,minor,G0,minor,G0,4,2.0
3/4,54,-2,minor,C0,minor,Bb,4,4.0
3/4,54,-2,minor,C0,minor,A0,4,4.0
3/4,54,-2,minor,C0,minor,G0,4,4.0
3/4,55,-2,minor,G0,minor-seventh,F0,4,4.0
3/4,55,-2,minor,G0,minor-seventh,D0,4,4.0
3/4,55,-2,minor,G0,minor-seventh,Bb,3,4.0
3/4,56,-2,minor,C0,minor,C0,4,8.0
3/4,56,-2,minor,C0,minor,D0,4,4.0
3/4,57,-2,minor,G0,minor,G0,4,4.0
3/4,57,-2,minor,G0,minor,D0,4,4.0
3/4,57,-2,minor,G0,minor,G0,4,4.0
3/4,58,-2,minor,C0,minor,Bb,4,4.0
3/4,58,-2,minor,C0,minor,A0,4,4.0
3/4,58,-2,minor,C0,minor,G0,4,4.0
3/4,59,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,59,-2,minor,G0,minor-seventh,A0,4,6.0
3/4,59,-2,minor,G0,minor-seventh,G0,4,2.0
3/4,60,-2,minor,G0,minor,G0,4,8.0
3/4,60,-2,minor,G0,minor,D0,4,4.0
3/4,61,-2,minor,G0,minor,G0,4,4.0
3/4,61,-2,minor,G0,minor,D0,4,4.0
3/4,61,-2,minor,G0,minor,G0,4,4.0
3/4,62,-2,minor,C0,minor,Bb,4,4.0
3/4,62,-2,minor,C0,minor,A0,4,4.0
3/4,62,-2,minor,C0,minor,G0,4,4.0
3/4,63,-2,minor,G0,minor-seventh,Bb,4,4.0
3/4,63,-2,minor,G0,minor-seventh,A0,4,4.0
3/4,63,-2,minor,G0,minor-seventh,G0,4,4.0
3/4,64,-2,minor,G0,dominant,F0,4,8.0
3/4,64,-2,minor,G0,dominant,D0,4,4.0
3/4,65,-2,minor,C0,minor,G0,4,4.0
3/4,65,-2,minor,C0,minor,D0,4,4.0
3/4,65,-2,minor,C0,minor,G0,4,2.0
3/4,65,-2,minor,C0,minor,G0,4,2.0
3/4,66,-2,minor,Bb,major,Bb,4,4.0
3/4,66,-2,minor,Bb,major,D0,5,4.0
3/4,66,-2,minor,Bb,major,G0,4,4.0
3/4,67,-2,minor,G0,minor,Bb,4,4.0
3/4,67,-2,minor,G0,minor,G0,4,4.0
3/4,67,-2,minor,G0,minor,D0,4,4.0
3/4,68,-2,minor,C0,minor,C0,4,8.0
3/4,68,-2,minor,C0,minor,rest,0,4.0
