time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,1,1,major,G0,maj,G0,3,1.33333333333
6/8,1,1,major,G0,maj,B0,3,1.33333333333
6/8,1,1,major,G0,maj,D0,4,1.33333333333
6/8,1,1,major,G0,maj,G0,4,1.33333333333
6/8,1,1,major,G0,maj,D0,4,1.33333333333
6/8,1,1,major,G0,maj,B0,3,1.33333333333
6/8,1,1,major,G0,maj,C0,4,1.33333333333
6/8,1,1,major,G0,maj,E0,4,1.33333333333
6/8,1,1,major,G0,maj,G0,4,1.33333333333
6/8,2,1,major,C0,min,C0,5,1.33333333333
6/8,2,1,major,C0,min,G0,4,1.33333333333
6/8,2,1,major,C0,min,Eb,4,1.33333333333
6/8,2,1,major,C0,min,C0,4,1.33333333333
6/8,2,1,major,C0,min,Eb,4,1.33333333333
6/8,2,1,major,C0,min,G0,4,1.33333333333
6/8,2,1,major,C0,min,C0,5,1.33333333333
6/8,2,1,major,C0,min,G0,4,1.33333333333
6/8,2,1,major,C0,min,Eb,4,1.33333333333
6/8,3,1,major,A0,7,A0,3,1.33333333333
6/8,3,1,major,A0,7,C#,4,1.33333333333
6/8,3,1,major,A0,7,E0,4,1.33333333333
6/8,3,1,major,A0,7,A0,4,1.33333333333
6/8,3,1,major,A0,7,E0,4,1.33333333333
6/8,3,1,major,A0,7,C#,4,1.33333333333
6/8,3,1,major,A0,7,D0,4,1.33333333333
6/8,3,1,major,A0,7,F#,4,1.33333333333
6/8,3,1,major,A0,7,A0,4,1.33333333333
6/8,4,1,major,D0,7,D0,5,1.33333333333
6/8,4,1,major,D0,7,A0,4,1.33333333333
6/8,4,1,major,D0,7,F#,4,1.33333333333
6/8,4,1,major,D0,7,D0,4,1.33333333333
6/8,4,1,major,D0,7,F#,4,1.33333333333
6/8,4,1,major,D0,7,A0,4,1.33333333333
6/8,4,1,major,D0,7,D0,5,1.33333333333
6/8,4,1,major,D0,7,A0,4,1.33333333333
6/8,4,1,major,D0,7,F#,4,1.33333333333
6/8,5,1,major,G0,maj,D0,4,12.0
6/8,6,1,major,G0,maj,rest,0,6.0
6/8,6,1,major,G0,maj,rest,0,2.0
6/8,6,1,major,G0,maj,B0,3,2.0
6/8,6,1,major,G0,maj,E0,4,2.0
6/8,7,1,major,B0,min,D0,4,12.0
6/8,8,1,major,B0,min,rest,0,6.0
6/8,8,1,major,B0,min,rest,0,4.0
6/8,8,1,major,B0,min,E0,4,1.0
6/8,8,1,major,B0,min,F#,4,1.0
6/8,9,1,major,C0,maj,G0,4,12.0
6/8,10,1,major,D0,maj,F#,4,6.0
6/8,10,1,major,D0,maj,rest,0,4.0
6/8,10,1,major,D0,maj,E0,4,2.0
6/8,11,1,major,G0,maj,D0,4,12.0
6/8,12,1,major,G0,maj,rest,0,12.0
6/8,13,1,major,C0,maj,C0,4,6.0
6/8,13,1,major,C0,maj,C0,4,2.0
6/8,13,1,major,C0,maj,C0,4,2.0
6/8,13,1,major,C0,maj,B0,3,2.0
6/8,14,1,major,D0,maj,A0,3,6.0
6/8,14,1,major,D0,maj,A0,3,2.0
6/8,14,1,major,D0,maj,E0,4,4.0
6/8,15,1,major,G0,maj,D0,4,6.0
6/8,15,1,major,G0,maj,D0,4,2.0
6/8,15,1,major,G0,maj,D0,4,2.0
6/8,15,1,major,G0,maj,C0,4,2.0
6/8,16,1,major,E0,min,B0,3,6.0
6/8,16,1,major,E0,min,rest,0,2.0
6/8,16,1,major,E0,min,E0,4,2.0
6/8,16,1,major,E0,min,G0,4,2.0
6/8,17,1,major,A0,7,G0,4,4.0
6/8,17,1,major,A0,7,rest,0,2.0
6/8,17,1,major,A0,7,rest,0,2.0
6/8,17,1,major,A0,7,G0,4,2.0
6/8,17,1,major,A0,7,G0,4,2.0
6/8,18,1,major,A0,7,G0,4,2.0
6/8,18,1,major,A0,7,E0,4,4.0
6/8,18,1,major,A0,7,rest,0,4.0
6/8,18,1,major,A0,7,G0,4,2.0
6/8,19,1,major,D0,maj,A0,4,12.0
6/8,20,1,major,D0,7,rest,0,12.0
6/8,21,1,major,G0,maj,D0,4,12.0
6/8,22,1,major,G0,maj,rest,0,6.0
6/8,22,1,major,G0,maj,rest,0,2.0
6/8,22,1,major,G0,maj,B0,3,2.0
6/8,22,1,major,G0,maj,E0,4,2.0
6/8,23,1,major,B0,min,D0,4,12.0
6/8,24,1,major,B0,min,rest,0,6.0
6/8,24,1,major,B0,min,rest,0,4.0
6/8,24,1,major,B0,min,E0,4,1.0
6/8,24,1,major,B0,min,F#,4,1.0
6/8,25,1,major,C0,maj,G0,4,12.0
6/8,26,1,major,D0,maj,F#,4,6.0
6/8,26,1,major,D0,maj,rest,0,4.0
6/8,26,1,major,D0,maj,E0,4,2.0
6/8,27,1,major,G0,maj,D0,4,12.0
6/8,28,1,major,G0,maj,rest,0,6.0
6/8,28,1,major,G0,maj,rest,0,2.0
6/8,28,1,major,G0,maj,A0,3,2.0
6/8,28,1,major,G0,maj,B0,3,2.0
6/8,29,1,major,C0,maj,C0,4,6.0
6/8,29,1,major,C0,maj,C0,4,2.0
6/8,29,1,major,C0,maj,C0,4,2.0
6/8,29,1,major,C0,maj,B0,3,2.0
6/8,30,1,major,D0,maj,A0,3,6.0
