time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-4,major,F0,minor,rest,0,16.0
2/2,2,-4,major,F0,minor,rest,0,16.0
2/2,3,-4,major,F0,minor,rest,0,16.0
2/2,4,-4,major,F0,minor,rest,0,16.0
2/2,5,-4,major,C0,minor,rest,0,8.0
2/2,5,-4,major,C0,minor,rest,0,4.0
2/2,5,-4,major,C0,minor,C0,4,4.0
2/2,6,-4,major,C0,minor,C0,4,4.0
2/2,6,-4,major,C0,minor,G0,4,4.0
2/2,6,-4,major,C0,minor,Ab,4,4.0
2/2,6,-4,major,C0,minor,G0,4,4.0
2/2,7,-4,major,G0,minor,D0,4,4.0
2/2,7,-4,major,G0,minor,rest,0,4.0
2/2,7,-4,major,G0,minor,rest,0,4.0
2/2,7,-4,major,G0,minor,D0,4,4.0
2/2,8,-4,major,G0,minor,D0,4,4.0
2/2,8,-4,major,G0,minor,Eb,4,4.0
2/2,8,-4,major,G0,minor,D0,4,4.0
2/2,8,-4,major,G0,minor,Bb,3,4.0
2/2,9,-4,major,Ab,major,C0,4,4.0
2/2,9,-4,major,Ab,major,rest,0,4.0
2/2,9,-4,major,Ab,major,rest,0,8.0
2/2,10,-4,major,Ab,major,rest,0,16.0
2/2,11,-4,major,Eb,major,rest,0,16.0
2/2,12,-4,major,Eb,major,rest,0,16.0
2/2,13,-4,major,C0,minor,rest,0,8.0
2/2,13,-4,major,C0,minor,G0,4,4.0
2/2,13,-4,major,C0,minor,G0,4,4.0
2/2,14,-4,major,C0,minor,Ab,4,4.0
2/2,14,-4,major,C0,minor,G0,4,4.0
2/2,14,-4,major,C0,minor,Ab,4,4.0
2/2,14,-4,major,C0,minor,G0,4,4.0
2/2,15,-4,major,G0,minor,G0,4,4.0
2/2,15,-4,major,G0,minor,rest,0,4.0
2/2,15,-4,major,G0,minor,rest,0,4.0
2/2,15,-4,major,G0,minor,G0,4,4.0
2/2,16,-4,major,G0,minor,Ab,4,4.0
2/2,16,-4,major,G0,minor,G0,4,4.0
2/2,16,-4,major,G0,minor,Ab,4,4.0
2/2,16,-4,major,G0,minor,G0,4,4.0
2/2,17,-4,major,Ab,major,Eb,4,4.0
2/2,17,-4,major,Ab,major,rest,0,4.0
2/2,17,-4,major,Ab,major,rest,0,8.0
2/2,18,-4,major,Ab,major,rest,0,16.0
2/2,19,-4,major,Bb,major,rest,0,16.0
2/2,20,-4,major,Bb,major,rest,0,16.0
2/2,21,-4,major,F0,minor,rest,0,8.0
2/2,21,-4,major,F0,minor,Ab,4,4.0
2/2,21,-4,major,F0,minor,Ab,4,4.0
2/2,22,-4,major,F0,minor,Bb,4,4.0
2/2,22,-4,major,F0,minor,Ab,4,4.0
2/2,22,-4,major,F0,minor,Ab,4,4.0
2/2,22,-4,major,F0,minor,G0,4,4.0
2/2,23,-4,major,Db,major,Ab,4,4.0
2/2,23,-4,major,Db,major,rest,0,4.0
2/2,23,-4,major,Db,major,F0,4,4.0
2/2,23,-4,major,Db,major,Ab,4,4.0
2/2,24,-4,major,Db,major,Bb,4,4.0
2/2,24,-4,major,Db,major,Ab,4,4.0
2/2,24,-4,major,Db,major,Ab,4,4.0
2/2,24,-4,major,Db,major,G0,4,4.0
2/2,25,-4,major,Eb,major,Bb,4,4.0
2/2,25,-4,major,Eb,major,rest,0,4.0
2/2,25,-4,major,Eb,major,rest,0,4.0
2/2,25,-4,major,Eb,major,Ab,4,4.0
2/2,26,-4,major,Eb,major,C0,5,4.0
2/2,26,-4,major,Eb,major,Bb,4,4.0
2/2,26,-4,major,Eb,major,Bb,4,4.0
2/2,26,-4,major,Eb,major,Ab,4,4.0
2/2,27,-4,major,Ab,major,C0,5,4.0
2/2,27,-4,major,Ab,major,rest,0,4.0
2/2,27,-4,major,Ab,major,rest,0,8.0
2/2,28,-4,major,Ab,major,rest,0,8.0
2/2,28,-4,major,Ab,major,rest,0,8.0
2/2,29,-4,major,F0,minor,rest,0,8.0
2/2,29,-4,major,F0,minor,F0,4,4.0
2/2,29,-4,major,F0,minor,Ab,4,4.0
2/2,30,-4,major,F0,minor,Bb,4,4.0
2/2,30,-4,major,F0,minor,Ab,4,4.0
2/2,30,-4,major,F0,minor,Ab,4,4.0
2/2,30,-4,major,F0,minor,G0,4,4.0
2/2,31,-4,major,Db,major,Ab,4,4.0
2/2,31,-4,major,Db,major,rest,0,4.0
2/2,31,-4,major,Db,major,F0,4,4.0
2/2,31,-4,major,Db,major,Ab,4,4.0
2/2,32,-4,major,Db,major,Bb,4,4.0
2/2,32,-4,major,Db,major,Ab,4,4.0
2/2,32,-4,major,Db,major,Ab,4,4.0
2/2,32,-4,major,Db,major,Ab,4,4.0
2/2,33,-4,major,Bb,minor,C0,5,4.0
2/2,33,-4,major,Bb,minor,Bb,4,4.0
2/2,33,-4,major,Bb,minor,Bb,4,4.0
2/2,33,-4,major,Bb,minor,Ab,4,4.0
2/2,34,-4,major,Bb,minor,Ab,4,4.0
2/2,34,-4,major,Bb,minor,G0,4,4.0
2/2,34,-4,major,Bb,minor,G0,4,4.0
2/2,34,-4,major,Bb,minor,F0,4,4.0
2/2,35,-4,major,Eb,major,G0,4,4.0
2/2,35,-4,major,Eb,major,G0,4,4.0
2/2,35,-4,major,Eb,major,G0,4,4.0
2/2,35,-4,major,Eb,major,Ab,4,4.0
2/2,36,-4,major,Eb,major,Bb,4,4.0
2/2,36,-4,major,Eb,major,rest,0,4.0
2/2,36,-4,major,Eb,major,rest,0,8.0
2/2,37,-4,major,Eb,major,rest,0,16.0
2/2,38,-4,major,Eb,major,rest,0,16.0
2/2,39,-4,major,F0,minor,rest,0,4.0
2/2,39,-4,major,F0,minor,F0,4,4.0
2/2,39,-4,major,F0,minor,G0,4,4.0
2/2,39,-4,major,F0,minor,Ab,4,4.0
2/2,40,-4,major,Db,major,Db,4,4.0
2/2,40,-4,major,Db,major,rest,0,4.0
2/2,40,-4,major,Db,major,G0,4,4.0
2/2,40,-4,major,Db,major,Ab,4,4.0
2/2,41,-4,major,Eb,major,Bb,4,4.0
2/2,41,-4,major,Eb,major,Ab,4,4.0
2/2,41,-4,major,Eb,major,Ab,4,4.0
2/2,41,-4,major,Eb,major,G0,4,4.0
2/2,42,-4,major,C0,minor,Eb,4,4.0
2/2,42,-4,major,C0,minor,rest,0,4.0
2/2,42,-4,major,C0,minor,Eb,4,4.0
2/2,42,-4,major,C0,minor,C0,4,4.0
2/2,43,-4,major,Db,major,Ab,3,4.0
2/2,43,-4,major,Db,major,rest,0,4.0
2/2,43,-4,major,Db,major,Ab,3,4.0
2/2,43,-4,major,Db,major,F0,4,4.0
2/2,44,-4,major,Ab,major,Eb,4,4.0
2/2,44,-4,major,Ab,major,rest,0,4.0
2/2,44,-4,major,Ab,major,C0,4,4.0
2/2,44,-4,major,Ab,major,Ab,3,4.0
2/2,45,-4,major,Ab,major,C0,4,4.0
2/2,45,-4,major,Ab,major,rest,0,4.0
2/2,45,-4,major,Ab,major,rest,0,8.0
2/2,46,-4,major,Ab,major,rest,0,8.0
2/2,46,-4,major,Ab,major,rest,0,8.0
2/2,47,-4,major,F0,minor,rest,0,4.0
2/2,47,-4,major,F0,minor,F0,4,4.0
2/2,47,-4,major,F0,minor,G0,4,4.0
2/2,47,-4,major,F0,minor,Ab,4,4.0
2/2,48,-4,major,Db,major,Db,4,4.0
2/2,48,-4,major,Db,major,rest,0,4.0
2/2,48,-4,major,Db,major,G0,4,4.0
2/2,48,-4,major,Db,major,Ab,4,4.0
2/2,49,-4,major,Eb,major,Bb,4,4.0
2/2,49,-4,major,Eb,major,Ab,4,4.0
2/2,49,-4,major,Eb,major,Ab,4,4.0
2/2,49,-4,major,Eb,major,G0,4,4.0
2/2,50,-4,major,C0,minor,Eb,4,4.0
2/2,50,-4,major,C0,minor,rest,0,4.0
2/2,50,-4,major,C0,minor,Eb,4,4.0
2/2,50,-4,major,C0,minor,C0,4,4.0
2/2,51,-4,major,Db,major,Ab,3,4.0
2/2,51,-4,major,Db,major,rest,0,4.0
2/2,51,-4,major,Db,major,Ab,3,4.0
2/2,51,-4,major,Db,major,F0,4,4.0
2/2,52,-4,major,Ab,major,Eb,4,4.0
2/2,52,-4,major,Ab,major,rest,0,4.0
2/2,52,-4,major,Ab,major,C0,4,4.0
2/2,52,-4,major,Ab,major,Eb,4,4.0
2/2,53,-4,major,Eb,major,Eb,4,4.0
2/2,53,-4,major,Eb,major,rest,0,4.0
2/2,53,-4,major,Eb,major,rest,0,8.0
2/2,54,-4,major,Eb,major,rest,0,16.0
2/2,55,-4,major,F0,minor,rest,0,16.0
2/2,56,-4,major,F0,minor,rest,0,16.0
2/2,57,-4,major,F0,minor,rest,0,16.0
2/2,58,-4,major,F0,minor,rest,0,16.0
2/2,59,-4,major,F0,minor,rest,0,4.0
2/2,59,-4,major,F0,minor,F0,4,4.0
2/2,59,-4,major,F0,minor,G0,4,4.0
2/2,59,-4,major,F0,minor,Ab,4,4.0
2/2,60,-4,major,Db,major,Db,4,4.0
2/2,60,-4,major,Db,major,rest,0,4.0
2/2,60,-4,major,Db,major,G0,4,4.0
2/2,60,-4,major,Db,major,Ab,4,4.0
2/2,61,-4,major,Eb,major,C0,5,4.0
2/2,61,-4,major,Eb,major,Bb,4,4.0
2/2,61,-4,major,Eb,major,Bb,4,4.0
2/2,61,-4,major,Eb,major,G0,4,4.0
2/2,62,-4,major,C0,minor,Eb,4,4.0
2/2,62,-4,major,C0,minor,rest,0,4.0
2/2,62,-4,major,C0,minor,Eb,4,4.0
2/2,62,-4,major,C0,minor,C0,4,4.0
2/2,63,-4,major,Db,major,Ab,3,4.0
2/2,63,-4,major,Db,major,rest,0,4.0
2/2,63,-4,major,Db,major,Ab,3,4.0
2/2,63,-4,major,Db,major,F0,4,4.0
2/2,64,-4,major,Ab,major,Eb,4,4.0
2/2,64,-4,major,Ab,major,rest,0,4.0
2/2,64,-4,major,Ab,major,C0,4,4.0
2/2,64,-4,major,Ab,major,Ab,3,4.0
2/2,65,-4,major,Ab,major,C0,4,4.0
2/2,65,-4,major,Ab,major,rest,0,4.0
2/2,65,-4,major,Ab,major,rest,0,8.0
2/2,66,-4,major,Ab,major,rest,0,8.0
2/2,66,-4,major,Ab,major,rest,0,8.0
2/2,67,-4,major,F0,minor,rest,0,4.0
2/2,67,-4,major,F0,minor,F0,4,4.0
2/2,67,-4,major,F0,minor,G0,4,4.0
2/2,67,-4,major,F0,minor,Ab,4,4.0
2/2,68,-4,major,Db,major,Db,4,4.0
2/2,68,-4,major,Db,major,rest,0,4.0
2/2,68,-4,major,Db,major,G0,4,4.0
2/2,68,-4,major,Db,major,Ab,4,4.0
2/2,69,-4,major,Eb,major,C0,5,4.0
2/2,69,-4,major,Eb,major,Bb,4,4.0
2/2,69,-4,major,Eb,major,Bb,4,4.0
2/2,69,-4,major,Eb,major,G0,4,4.0
2/2,70,-4,major,C0,minor,Eb,4,4.0
2/2,70,-4,major,C0,minor,rest,0,4.0
2/2,70,-4,major,C0,minor,Eb,4,4.0
2/2,70,-4,major,C0,minor,C0,4,4.0
2/2,71,-4,major,Db,major,Ab,3,4.0
2/2,71,-4,major,Db,major,rest,0,4.0
2/2,71,-4,major,Db,major,Ab,3,4.0
2/2,71,-4,major,Db,major,F0,4,4.0
2/2,72,-4,major,Ab,major,Eb,4,4.0
2/2,72,-4,major,Ab,major,rest,0,4.0
2/2,72,-4,major,Ab,major,C0,4,4.0
2/2,72,-4,major,Ab,major,Eb,4,4.0
2/2,73,-4,major,Eb,major,Eb,4,4.0
2/2,73,-4,major,Eb,major,rest,0,4.0
2/2,73,-4,major,Eb,major,rest,0,8.0
2/2,74,-4,major,Eb,major,rest,0,16.0
2/2,75,-4,major,F0,minor,rest,0,16.0
