time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-1,major,[],[],rest,0,4.0
3/4,1,-1,major,[],[],A0,4,1.33333333333
3/4,1,-1,major,[],[],Bb,4,1.33333333333
3/4,1,-1,major,[],[],C0,5,1.33333333333
3/4,1,-1,major,[],[],D0,5,1.33333333333
3/4,1,-1,major,[],[],C0,5,1.33333333333
3/4,1,-1,major,[],[],Bb,4,1.33333333333
3/4,2,-1,major,F0,major,A0,4,8.0
3/4,2,-1,major,F0,major,G0,4,2.0
3/4,2,-1,major,F0,major,E0,4,2.0
3/4,3,-1,major,Bb,major,D0,4,8.0
3/4,3,-1,major,Bb,major,G0,4,2.0
3/4,3,-1,major,Bb,major,E0,4,2.0
3/4,4,-1,major,F0,major,C0,4,12.0
3/4,5,-1,major,Bb,major-seventh,rest,0,4.0
3/4,5,-1,major,Bb,major-seventh,A0,4,1.33333333333
3/4,5,-1,major,Bb,major-seventh,Bb,4,1.33333333333
3/4,5,-1,major,Bb,major-seventh,C0,5,1.33333333333
3/4,5,-1,major,Bb,major-seventh,D0,5,1.33333333333
3/4,5,-1,major,Bb,major-seventh,C0,5,1.33333333333
3/4,5,-1,major,Bb,major-seventh,Bb,4,1.33333333333
3/4,6,-1,major,F0,major,A0,4,8.0
3/4,6,-1,major,F0,major,C0,5,2.0
3/4,6,-1,major,F0,major,A0,4,2.0
3/4,7,-1,major,Bb,major,D0,5,8.0
3/4,7,-1,major,Bb,major,F0,4,4.0
3/4,8,-1,major,F0,major,A0,4,12.0
3/4,9,-1,major,F0,major,A0,4,4.0
3/4,9,-1,major,F0,major,rest,0,4.0
3/4,9,-1,major,F0,major,A0,4,2.0
3/4,9,-1,major,F0,major,Bb,4,2.0
3/4,10,-1,major,F0,major,C0,5,8.0
3/4,10,-1,major,F0,major,C0,4,4.0
3/4,11,-1,major,D0,minor,D0,4,8.0
3/4,11,-1,major,D0,minor,A0,4,2.0
3/4,11,-1,major,D0,minor,Bb,4,2.0
3/4,12,-1,major,F0,major,C0,5,4.0
3/4,12,-1,major,F0,major,C0,5,2.0
3/4,12,-1,major,F0,major,D0,5,2.0
3/4,12,-1,major,F0,major,B0,4,2.0
3/4,12,-1,major,F0,major,G0,4,2.0
3/4,13,-1,major,C0,major,E0,5,8.0
3/4,13,-1,major,C0,major,E0,5,2.0
3/4,13,-1,major,C0,major,C0,5,2.0
3/4,14,-1,major,G0,diminished,G0,4,4.0
3/4,14,-1,major,G0,diminished,G0,4,2.0
3/4,14,-1,major,G0,diminished,A0,4,2.0
3/4,14,-1,major,G0,diminished,F#,4,2.0
3/4,14,-1,major,G0,diminished,G0,4,2.0
3/4,15,-1,major,G0,dominant-ninth,D0,5,8.0
3/4,15,-1,major,G0,dominant-ninth,E0,5,4.0
3/4,16,-1,major,C0,dominant,C0,5,12.0
3/4,17,-1,major,F0,major,rest,0,4.0
3/4,17,-1,major,F0,major,A0,4,1.33333333333
3/4,17,-1,major,F0,major,Bb,4,1.33333333333
3/4,17,-1,major,F0,major,C0,5,1.33333333333
3/4,17,-1,major,F0,major,D0,5,1.33333333333
3/4,17,-1,major,F0,major,C0,5,1.33333333333
3/4,17,-1,major,F0,major,Bb,4,1.33333333333
3/4,18,-1,major,F0,major-seventh,A0,4,8.0
3/4,18,-1,major,F0,major-seventh,G0,4,2.0
3/4,18,-1,major,F0,major-seventh,E0,4,2.0
3/4,19,-1,major,Bb,major,D0,4,8.0
3/4,19,-1,major,Bb,major,G0,4,2.0
3/4,19,-1,major,Bb,major,E0,4,2.0
3/4,20,-1,major,F0,major,C0,4,12.0
3/4,21,-1,major,Bb,major-seventh,rest,0,4.0
3/4,21,-1,major,Bb,major-seventh,A0,4,1.33333333333
3/4,21,-1,major,Bb,major-seventh,Bb,4,1.33333333333
3/4,21,-1,major,Bb,major-seventh,C0,5,1.33333333333
3/4,21,-1,major,Bb,major-seventh,D0,5,1.33333333333
3/4,21,-1,major,Bb,major-seventh,C0,5,1.33333333333
3/4,21,-1,major,Bb,major-seventh,Bb,4,1.33333333333
3/4,22,-1,major,F0,major-seventh,A0,4,8.0
3/4,22,-1,major,F0,major-seventh,C0,5,2.0
3/4,22,-1,major,F0,major-seventh,A0,4,2.0
3/4,23,-1,major,Bb,major,D0,5,8.0
3/4,23,-1,major,Bb,major,F0,4,4.0
3/4,24,-1,major,F0,major,A0,4,12.0
3/4,25,-1,major,F0,major,A0,4,8.0
3/4,25,-1,major,F0,major,A0,4,2.0
3/4,25,-1,major,F0,major,Bb,4,2.0
3/4,26,-1,major,A0,minor,C0,5,8.0
3/4,26,-1,major,A0,minor,C0,4,4.0
3/4,27,-1,major,D0,minor,D0,4,8.0
3/4,27,-1,major,D0,minor,A0,4,2.0
3/4,27,-1,major,D0,minor,C0,5,2.0
3/4,28,-1,major,G0,dominant-ninth,E0,5,2.0
3/4,28,-1,major,G0,dominant-ninth,D0,5,2.0
3/4,28,-1,major,G0,dominant-ninth,C0,5,2.0
