time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,1,major,E0,power,E0,3,8.0
4/4,1,1,major,E0,power,F#,3,8.0
4/4,2,1,major,G0,power,G0,3,16.0
4/4,3,1,major,A0,power,A0,3,8.0
4/4,3,1,major,A0,power,A0,3,8.0
4/4,4,1,major,B0,power,B0,3,16.0
4/4,5,1,major,E0,power,E0,4,6.0
4/4,5,1,major,E0,power,D0,4,1.0
4/4,5,1,major,E0,power,E0,4,1.0
4/4,5,1,major,E0,power,F#,4,6.0
4/4,5,1,major,E0,power,E0,4,1.0
4/4,5,1,major,E0,power,F#,4,1.0
4/4,6,1,major,G0,power,G0,4,16.0
4/4,7,1,major,A0,power,A0,4,2.66666666667
4/4,7,1,major,A0,power,G0,4,2.66666666667
4/4,7,1,major,A0,power,F#,4,2.66666666667
4/4,7,1,major,A0,power,E0,4,2.66666666667
4/4,7,1,major,A0,power,F#,4,2.66666666667
4/4,7,1,major,A0,power,E0,4,2.66666666667
4/4,8,1,major,B0,power,Eb,4,16.0
4/4,9,1,major,E0,power,E0,3,2.0
4/4,9,1,major,E0,power,B0,3,2.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,2.0
4/4,9,1,major,E0,power,B0,3,2.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,2.0
4/4,9,1,major,E0,power,B0,3,2.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,2.0
4/4,9,1,major,E0,power,B0,3,2.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,9,1,major,E0,power,E0,3,1.0
4/4,9,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,2.0
4/4,10,1,major,E0,power,B0,3,2.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,2.0
4/4,10,1,major,E0,power,B0,3,2.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,2.0
4/4,10,1,major,E0,power,B0,3,2.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,2.0
4/4,10,1,major,E0,power,B0,3,2.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
4/4,10,1,major,E0,power,E0,3,1.0
4/4,10,1,major,E0,power,B0,3,1.0
