time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,Bb,dominant,rest,0,8.0
4/4,1,-3,major,Bb,dominant,rest,0,4.0
4/4,1,-3,major,Bb,dominant,Bb,4,4.0
4/4,2,-3,major,Eb,major,D0,5,2.0
4/4,2,-3,major,Eb,major,D0,5,2.0
4/4,2,-3,major,Eb,major,D0,5,2.0
4/4,2,-3,major,Eb,major,D0,5,2.0
4/4,2,-3,major,Eb,major,D0,5,8.0
4/4,3,-3,major,A0,diminished-seventh,D0,5,2.0
4/4,3,-3,major,A0,diminished-seventh,Db,5,2.0
4/4,3,-3,major,A0,diminished-seventh,C0,5,8.0
4/4,3,-3,major,A0,diminished-seventh,C0,5,4.0
4/4,4,-3,major,Bb,dominant-ninth,C0,5,2.0
4/4,4,-3,major,Bb,dominant-ninth,C0,5,2.0
4/4,4,-3,major,Bb,dominant-ninth,C0,5,2.0
4/4,4,-3,major,Bb,dominant-ninth,C0,5,2.0
4/4,4,-3,major,Bb,dominant-ninth,C0,5,8.0
4/4,5,-3,major,G0,half-diminished,C0,5,2.0
4/4,5,-3,major,G0,half-diminished,B0,4,2.0
4/4,5,-3,major,G0,half-diminished,Bb,4,8.0
4/4,5,-3,major,G0,half-diminished,Bb,4,4.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,8.0
4/4,7,-3,major,Ab,minor,B0,4,4.0
4/4,7,-3,major,Ab,minor,Ab,4,8.0
4/4,7,-3,major,Ab,minor,Ab,4,4.0
4/4,8,-3,major,Eb,dominant,G0,4,2.0
4/4,8,-3,major,Eb,dominant,F0,4,2.0
4/4,8,-3,major,Eb,dominant,Eb,4,12.0
4/4,9,-3,major,F0,minor-seventh,Eb,4,4.0
4/4,9,-3,major,F0,minor-seventh,rest,0,4.0
4/4,9,-3,major,F0,minor-seventh,rest,0,8.0
4/4,10,-3,major,Eb,major,D0,5,8.0
4/4,10,-3,major,Eb,major,C0,5,4.0
4/4,10,-3,major,Eb,major,Eb,5,4.0
4/4,11,-3,major,Eb,diminished-seventh,Eb,5,16.0
4/4,12,-3,major,Eb,major,D0,5,2.66666666667
4/4,12,-3,major,Eb,major,D0,5,2.66666666667
4/4,12,-3,major,Eb,major,D0,5,2.66666666667
4/4,12,-3,major,Eb,major,D0,5,4.0
4/4,12,-3,major,Eb,major,C0,5,4.0
4/4,13,-3,major,Gb,diminished-seventh,Eb,5,16.0
4/4,14,-3,major,G0,half-diminished,Bb,4,8.0
4/4,14,-3,major,G0,half-diminished,Ab,4,4.0
4/4,14,-3,major,G0,half-diminished,C0,5,4.0
4/4,15,-3,major,C0,augmented-seventh,C0,5,16.0
4/4,16,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,16,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,16,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,16,-3,major,G0,half-diminished,Bb,4,4.0
4/4,16,-3,major,G0,half-diminished,Ab,4,4.0
4/4,17,-3,major,C0,augmented-seventh,C0,5,16.0
4/4,18,-3,major,F0,minor-seventh,rest,0,4.0
4/4,18,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,18,-3,major,F0,minor-seventh,C0,5,4.0
4/4,18,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,19,-3,major,Bb,dominant,G0,4,4.0
4/4,19,-3,major,Bb,dominant,F0,4,4.0
4/4,19,-3,major,Bb,dominant,Eb,4,4.0
4/4,19,-3,major,Bb,dominant,D0,4,4.0
4/4,20,-3,major,Eb,major,Bb,4,16.0
4/4,21,-3,major,C0,minor-seventh,Bb,4,8.0
4/4,21,-3,major,C0,minor-seventh,rest,0,8.0
4/4,22,-3,major,G0,minor-seventh,rest,0,4.0
4/4,22,-3,major,G0,minor-seventh,Bb,4,4.0
4/4,22,-3,major,G0,minor-seventh,D0,5,4.0
4/4,22,-3,major,G0,minor-seventh,Bb,4,4.0
4/4,23,-3,major,C0,dominant,A0,4,4.0
4/4,23,-3,major,C0,dominant,G0,4,4.0
4/4,23,-3,major,C0,dominant,A0,4,4.0
4/4,23,-3,major,C0,dominant,Bb,4,4.0
4/4,24,-3,major,F0,dominant,D0,5,8.0
4/4,24,-3,major,F0,dominant,D0,5,8.0
4/4,25,-3,major,F0,minor-seventh,C0,5,16.0
4/4,26,-3,major,Eb,major,D0,5,8.0
4/4,26,-3,major,Eb,major,C0,5,4.0
4/4,26,-3,major,Eb,major,Eb,5,4.0
4/4,27,-3,major,Eb,diminished-seventh,Eb,5,16.0
4/4,28,-3,major,Eb,major,D0,5,2.66666666667
4/4,28,-3,major,Eb,major,D0,5,2.66666666667
4/4,28,-3,major,Eb,major,D0,5,2.66666666667
4/4,28,-3,major,Eb,major,D0,5,4.0
4/4,28,-3,major,Eb,major,C0,5,4.0
4/4,29,-3,major,Eb,diminished-seventh,Eb,5,16.0
4/4,30,-3,major,G0,half-diminished,Bb,4,8.0
4/4,30,-3,major,G0,half-diminished,Ab,4,4.0
4/4,30,-3,major,G0,half-diminished,C0,5,4.0
4/4,31,-3,major,C0,augmented-seventh,C0,5,16.0
4/4,32,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,32,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,32,-3,major,G0,half-diminished,Bb,4,2.66666666667
4/4,32,-3,major,G0,half-diminished,Bb,4,4.0
4/4,32,-3,major,G0,half-diminished,Ab,4,4.0
4/4,33,-3,major,C0,augmented-seventh,C0,5,16.0
4/4,34,-3,major,F0,minor-seventh,rest,0,4.0
4/4,34,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,34,-3,major,F0,minor-seventh,C0,5,4.0
4/4,34,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,35,-3,major,Bb,dominant,G0,4,4.0
4/4,35,-3,major,Bb,dominant,F0,4,4.0
4/4,35,-3,major,Bb,dominant,Eb,4,4.0
4/4,35,-3,major,Bb,dominant,D0,4,4.0
4/4,36,-3,major,Eb,major-seventh,Bb,4,8.0
4/4,36,-3,major,Eb,major-seventh,C0,5,8.0
4/4,37,-3,major,G0,dominant,D0,5,8.0
4/4,37,-3,major,G0,dominant,Eb,5,8.0
4/4,38,-3,major,F0,dominant,Eb,5,8.0
4/4,38,-3,major,F0,dominant,Eb,4,4.0
4/4,38,-3,major,F0,dominant,G0,4,4.0
4/4,39,-3,major,F0,minor-seventh,G0,4,8.0
4/4,39,-3,major,F0,minor-seventh,G0,4,8.0
4/4,40,-3,major,Eb,major,Eb,4,16.0
4/4,41,-3,major,F0,minor-seventh,Eb,4,4.0
4/4,41,-3,major,F0,minor-seventh,rest,0,4.0
4/4,41,-3,major,F0,minor-seventh,rest,0,8.0
4/4,42,-3,major,Eb,major,Eb,4,16.0
4/4,43,-3,major,Eb,major,Eb,4,16.0
