time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,[],[],C0,4,4.0
4/4,1,-3,major,[],[],Eb,4,8.0
4/4,1,-3,major,[],[],Eb,4,4.0
4/4,2,-3,major,[],[],G0,4,8.0
4/4,2,-3,major,[],[],rest,0,4.0
4/4,2,-3,major,[],[],rest,0,2.0
4/4,2,-3,major,[],[],C0,4,2.0
4/4,3,-3,major,C0,minor,C0,4,4.0
4/4,3,-3,major,C0,minor,C0,4,2.66666666667
4/4,3,-3,major,C0,minor,D0,4,1.33333333333
4/4,3,-3,major,C0,minor,D0,4,2.66666666667
4/4,3,-3,major,C0,minor,Eb,4,1.33333333333
4/4,4,-3,major,F0,minor,G0,4,4.0
4/4,4,-3,major,F0,minor,F0,4,3.0
4/4,4,-3,major,F0,minor,F0,4,1.0
4/4,4,-3,major,F0,minor,F0,4,4.0
4/4,4,-3,major,F0,minor,rest,0,2.0
4/4,4,-3,major,F0,minor,F0,4,2.0
4/4,5,-3,major,G0,major,Eb,4,4.0
4/4,5,-3,major,G0,major,D0,4,4.0
4/4,5,-3,major,G0,major,C0,4,3.0
4/4,5,-3,major,G0,major,B0,3,1.0
4/4,5,-3,major,G0,major,B0,3,3.0
4/4,5,-3,major,G0,major,C0,4,1.0
4/4,6,-3,major,C0,minor,C0,4,8.0
4/4,6,-3,major,C0,minor,rest,0,4.0
4/4,6,-3,major,C0,minor,rest,0,2.0
4/4,6,-3,major,C0,minor,C0,5,2.0
4/4,7,-3,major,C0,minor,C0,5,4.0
4/4,7,-3,major,C0,minor,C0,5,4.0
4/4,7,-3,major,C0,minor,D0,5,4.0
4/4,7,-3,major,C0,minor,Eb,5,4.0
4/4,8,-3,major,F0,minor,G0,5,3.0
4/4,8,-3,major,F0,minor,F0,5,1.0
4/4,8,-3,major,F0,minor,F0,5,3.0
4/4,8,-3,major,F0,minor,F0,5,1.0
4/4,8,-3,major,F0,minor,F0,5,6.0
4/4,8,-3,major,F0,minor,Eb,5,2.0
4/4,9,-3,major,Bb,major,D0,5,4.0
4/4,9,-3,major,Bb,major,D0,5,4.0
4/4,9,-3,major,Bb,major,Eb,5,3.0
4/4,9,-3,major,Bb,major,F0,5,1.0
4/4,9,-3,major,Bb,major,F0,5,2.66666666667
4/4,9,-3,major,Bb,major,G0,5,1.33333333333
4/4,10,-3,major,Eb,major,G0,5,8.0
4/4,10,-3,major,Eb,major,rest,0,4.0
4/4,10,-3,major,Eb,major,rest,0,2.0
4/4,10,-3,major,Eb,major,G0,4,2.0
4/4,11,-3,major,C0,minor,G0,4,4.0
4/4,11,-3,major,C0,minor,G0,4,4.0
4/4,11,-3,major,C0,minor,G0,4,2.66666666667
4/4,11,-3,major,C0,minor,Ab,4,1.33333333333
4/4,11,-3,major,C0,minor,Ab,4,1.0
4/4,11,-3,major,C0,minor,Bb,4,3.0
4/4,12,-3,major,F0,minor,Bb,4,4.0
4/4,12,-3,major,F0,minor,Ab,4,2.66666666667
4/4,12,-3,major,F0,minor,Ab,4,1.33333333333
4/4,12,-3,major,F0,minor,rest,0,2.0
4/4,12,-3,major,F0,minor,G0,5,2.0
4/4,13,-3,major,Bb,major,F0,5,4.0
4/4,13,-3,major,Bb,major,F0,5,4.0
4/4,13,-3,major,Bb,major,G0,5,4.0
4/4,13,-3,major,Bb,major,Ab,5,2.66666666667
4/4,13,-3,major,Bb,major,G0,5,1.33333333333
4/4,14,-3,major,Eb,major,G0,5,8.0
4/4,14,-3,major,Eb,major,rest,0,4.0
4/4,14,-3,major,Eb,major,rest,0,2.66666666667
4/4,14,-3,major,Eb,major,C0,5,1.33333333333
4/4,15,-3,major,C0,minor,C0,5,4.0
4/4,15,-3,major,C0,minor,C0,5,4.0
4/4,15,-3,major,C0,minor,D0,5,4.0
4/4,15,-3,major,C0,minor,Eb,5,4.0
4/4,16,-3,major,F0,minor,G0,5,4.0
4/4,16,-3,major,F0,minor,F0,5,2.66666666667
4/4,16,-3,major,F0,minor,F0,5,1.33333333333
4/4,16,-3,major,F0,minor,rest,0,2.66666666667
4/4,16,-3,major,F0,minor,F0,5,1.33333333333
4/4,17,-3,major,C0,minor,Eb,5,4.0
4/4,17,-3,major,C0,minor,D0,5,4.0
4/4,17,-3,major,C0,minor,C0,5,4.0
4/4,17,-3,major,C0,minor,B0,4,4.0
4/4,18,-3,major,C0,minor,C0,5,4.0
4/4,18,-3,major,C0,minor,rest,0,4.0
4/4,18,-3,major,C0,minor,rest,0,8.0
4/4,19,-3,major,C0,major,rest,0,8.0
4/4,19,-3,major,C0,major,rest,0,2.66666666667
4/4,19,-3,major,C0,major,C0,4,1.33333333333
4/4,19,-3,major,C0,major,C0,4,2.66666666667
