time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,0,major,[],[],E0,4,6.0
2/2,1,0,major,[],[],G0,4,2.0
2/2,2,0,major,C0,major-sixth,A0,4,8.0
2/2,2,0,major,C0,major-sixth,A0,4,8.0
2/2,3,0,major,C0,major-sixth,A0,4,8.0
2/2,3,0,major,C0,major-sixth,E0,4,6.0
2/2,3,0,major,C0,major-sixth,G0,4,2.0
2/2,4,0,major,D0,minor-seventh,A0,4,8.0
2/2,4,0,major,D0,minor-seventh,A0,4,8.0
2/2,5,0,major,D0,minor-seventh,A0,4,8.0
2/2,5,0,major,D0,minor-seventh,D0,4,6.0
2/2,5,0,major,D0,minor-seventh,F0,4,2.0
2/2,6,0,major,G0,dominant-ninth,A0,4,8.0
2/2,6,0,major,G0,dominant-ninth,A0,4,8.0
2/2,7,0,major,G0,dominant-ninth,A0,4,8.0
2/2,7,0,major,G0,dominant-ninth,D0,4,6.0
2/2,7,0,major,G0,dominant-ninth,F0,4,2.0
2/2,8,0,major,C0,major-sixth,A0,4,16.0
2/2,9,0,major,C0,major,A0,4,8.0
2/2,9,0,major,C0,major,G0,4,6.0
2/2,9,0,major,C0,major,B0,4,2.0
2/2,10,0,major,A0,minor,D0,5,8.0
2/2,10,0,major,A0,minor,C0,5,8.0
2/2,11,0,major,A0,minor-seventh,C0,5,8.0
2/2,11,0,major,A0,minor-seventh,B0,4,6.0
2/2,11,0,major,A0,minor-seventh,A0,4,2.0
2/2,12,0,major,D0,minor-seventh,C0,5,8.0
2/2,12,0,major,D0,minor-seventh,D0,4,8.0
2/2,13,0,major,D0,minor-seventh,D0,4,8.0
2/2,13,0,major,D0,minor-seventh,E0,4,6.0
2/2,13,0,major,D0,minor-seventh,F0,4,2.0
2/2,14,0,major,F0,major-sixth,C0,5,8.0
2/2,14,0,major,F0,major-sixth,D0,4,8.0
2/2,15,0,major,G0,dominant,D0,4,8.0
2/2,15,0,major,G0,dominant,C0,5,4.0
2/2,15,0,major,G0,dominant,B0,4,4.0
2/2,16,0,major,C0,major-sixth,A0,4,16.0
2/2,17,0,major,G0,dominant-ninth,A0,4,8.0
2/2,17,0,major,G0,dominant-ninth,E0,4,6.0
2/2,17,0,major,G0,dominant-ninth,G0,4,2.0
2/2,18,0,major,C0,major-sixth,A0,4,8.0
2/2,18,0,major,C0,major-sixth,A0,4,8.0
2/2,19,0,major,C0,major-sixth,A0,4,8.0
2/2,19,0,major,C0,major-sixth,E0,4,6.0
2/2,19,0,major,C0,major-sixth,G0,4,2.0
2/2,20,0,major,D0,minor-seventh,A0,4,8.0
2/2,20,0,major,D0,minor-seventh,A0,4,8.0
2/2,21,0,major,D0,minor-seventh,A0,4,8.0
2/2,21,0,major,D0,minor-seventh,D0,4,6.0
2/2,21,0,major,D0,minor-seventh,F0,4,2.0
2/2,22,0,major,G0,dominant-ninth,A0,4,8.0
2/2,22,0,major,G0,dominant-ninth,A0,4,8.0
2/2,23,0,major,G0,dominant-ninth,A0,4,8.0
2/2,23,0,major,G0,dominant-ninth,D0,4,6.0
2/2,23,0,major,G0,dominant-ninth,F0,4,2.0
2/2,24,0,major,C0,major-sixth,A0,4,16.0
2/2,25,0,major,C0,major,A0,4,8.0
2/2,25,0,major,C0,major,G0,4,6.0
2/2,25,0,major,C0,major,B0,4,2.0
