time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-2,major,[],[],rest,0,4.0
4/4,1,-2,major,[],[],rest,0,4.0
4/4,1,-2,major,[],[],D0,4,4.0
4/4,1,-2,major,[],[],F0,4,4.0
4/4,2,-2,major,Bb,major-sixth,G0,4,6.0
4/4,2,-2,major,Bb,major-sixth,G0,4,8.0
4/4,2,-2,major,Bb,major-sixth,rest,0,2.0
4/4,3,-2,major,Bb,major-sixth,rest,0,4.0
4/4,3,-2,major,Bb,major-sixth,rest,0,4.0
4/4,3,-2,major,Bb,major-sixth,D0,4,4.0
4/4,3,-2,major,Bb,major-sixth,F0,4,4.0
4/4,4,-2,major,C0,minor,G0,4,6.0
4/4,4,-2,major,C0,minor,G0,4,8.0
4/4,4,-2,major,C0,minor,rest,0,2.0
4/4,5,-2,major,C0,minor,rest,0,4.0
4/4,5,-2,major,C0,minor,rest,0,4.0
4/4,5,-2,major,C0,minor,C0,4,4.0
4/4,5,-2,major,C0,minor,Eb,4,4.0
4/4,6,-2,major,F0,dominant-ninth,G0,4,6.0
4/4,6,-2,major,F0,dominant-ninth,G0,4,8.0
4/4,6,-2,major,F0,dominant-ninth,rest,0,2.0
4/4,7,-2,major,F0,dominant-ninth,rest,0,4.0
4/4,7,-2,major,F0,dominant-ninth,rest,0,4.0
4/4,7,-2,major,F0,dominant-ninth,C0,4,4.0
4/4,7,-2,major,F0,dominant-ninth,Eb,4,4.0
4/4,8,-2,major,Bb,major-sixth,G0,4,16.0
4/4,9,-2,major,Bb,major-sixth,G0,4,8.0
4/4,9,-2,major,Bb,major-sixth,F0,4,4.0
4/4,9,-2,major,Bb,major-sixth,A0,4,4.0
4/4,10,-2,major,G0,minor-seventh,C0,5,6.0
4/4,10,-2,major,G0,minor-seventh,Bb,4,2.0
4/4,10,-2,major,G0,minor-seventh,Bb,4,4.0
4/4,10,-2,major,G0,minor-seventh,rest,0,4.0
4/4,11,-2,major,G0,minor-seventh,Bb,4,8.0
4/4,11,-2,major,G0,minor-seventh,A0,4,4.0
4/4,11,-2,major,G0,minor-seventh,G0,4,4.0
4/4,12,-2,major,C0,minor-seventh,Bb,4,6.0
4/4,12,-2,major,C0,minor-seventh,C0,4,2.0
4/4,12,-2,major,C0,minor-seventh,C0,4,8.0
4/4,13,-2,major,C0,minor-seventh,C0,4,8.0
4/4,13,-2,major,C0,minor-seventh,D0,4,4.0
4/4,13,-2,major,C0,minor-seventh,Eb,4,4.0
4/4,14,-2,major,C0,minor-seventh,Bb,4,6.0
4/4,14,-2,major,C0,minor-seventh,C0,4,2.0
4/4,14,-2,major,C0,minor-seventh,C0,4,8.0
4/4,15,-2,major,F0,dominant,C0,4,8.0
4/4,15,-2,major,F0,dominant,Bb,4,4.0
4/4,15,-2,major,F0,dominant,A0,4,4.0
4/4,16,-2,major,Bb,major-sixth,G0,4,16.0
4/4,17,0,major,Bb,major-sixth,rest,0,4.0
4/4,17,0,major,Bb,major-sixth,rest,0,4.0
4/4,17,0,major,Bb,major-sixth,E0,4,4.0
4/4,17,0,major,Bb,major-sixth,G0,4,4.0
4/4,18,0,major,C0,major-sixth,A0,4,6.0
4/4,18,0,major,C0,major-sixth,A0,4,8.0
4/4,18,0,major,C0,major-sixth,rest,0,2.0
4/4,19,0,major,C0,major-sixth,rest,0,4.0
4/4,19,0,major,C0,major-sixth,rest,0,4.0
4/4,19,0,major,C0,major-sixth,E0,4,4.0
4/4,19,0,major,C0,major-sixth,G0,4,4.0
4/4,20,0,major,D0,minor,A0,4,6.0
4/4,20,0,major,D0,minor,A0,4,8.0
4/4,20,0,major,D0,minor,rest,0,2.0
4/4,21,0,major,D0,minor,rest,0,4.0
4/4,21,0,major,D0,minor,rest,0,4.0
4/4,21,0,major,D0,minor,D0,4,4.0
4/4,21,0,major,D0,minor,F0,4,4.0
4/4,22,0,major,G0,dominant-ninth,A0,4,6.0
4/4,22,0,major,G0,dominant-ninth,A0,4,8.0
4/4,22,0,major,G0,dominant-ninth,rest,0,2.0
4/4,23,0,major,G0,dominant-ninth,rest,0,4.0
4/4,23,0,major,G0,dominant-ninth,rest,0,4.0
4/4,23,0,major,G0,dominant-ninth,D0,4,4.0
4/4,23,0,major,G0,dominant-ninth,F0,4,4.0
4/4,24,0,major,C0,major-sixth,A0,4,16.0
4/4,25,0,major,C0,major-sixth,A0,4,8.0
4/4,25,0,major,C0,major-sixth,G0,4,4.0
4/4,25,0,major,C0,major-sixth,B0,4,4.0
4/4,26,0,major,A0,minor-seventh,D0,5,6.0
4/4,26,0,major,A0,minor-seventh,C0,5,2.0
4/4,26,0,major,A0,minor-seventh,C0,5,4.0
4/4,26,0,major,A0,minor-seventh,rest,0,4.0
4/4,27,0,major,A0,minor-seventh,C0,5,8.0
