time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,0,major,A0,minor,A0,4,8.0
2/2,1,0,major,A0,minor,A0,4,2.66666666667
2/2,1,0,major,A0,minor,C0,5,2.66666666667
2/2,1,0,major,A0,minor,B0,4,2.66666666667
2/2,2,0,major,E0,augmented,G#,4,12.0
2/2,2,0,major,E0,augmented,E0,4,4.0
2/2,3,0,major,A0,minor,G0,4,8.0
2/2,3,0,major,A0,minor,G0,4,2.66666666667
2/2,3,0,major,A0,minor,A0,4,2.66666666667
2/2,3,0,major,A0,minor,G0,4,2.66666666667
2/2,4,0,major,E0,augmented,E0,4,16.0
2/2,5,0,major,D0,minor,D0,5,8.0
2/2,5,0,major,D0,minor,D0,5,2.66666666667
2/2,5,0,major,D0,minor,F0,5,2.66666666667
2/2,5,0,major,D0,minor,E0,5,2.66666666667
2/2,6,0,major,A0,augmented,C#,5,12.0
2/2,6,0,major,A0,augmented,A0,4,4.0
2/2,7,0,major,D0,minor-seventh,C0,5,8.0
2/2,7,0,major,D0,minor-seventh,C0,5,2.66666666667
2/2,7,0,major,D0,minor-seventh,D0,5,2.66666666667
2/2,7,0,major,D0,minor-seventh,C0,5,2.66666666667
2/2,8,0,major,E0,augmented,G#,4,16.0
2/2,9,0,major,F0,major,A0,4,8.0
2/2,9,0,major,F0,major,A0,4,2.66666666667
2/2,9,0,major,F0,major,B0,4,2.66666666667
2/2,9,0,major,F0,major,C0,5,2.66666666667
2/2,10,0,major,F0,minor-sixth,Ab,4,16.0
2/2,11,0,major,C0,major,C0,5,8.0
2/2,11,0,major,C0,major,C0,5,2.66666666667
2/2,11,0,major,C0,major,D0,5,2.66666666667
2/2,11,0,major,C0,major,E0,5,2.66666666667
2/2,12,0,major,E0,augmented,C0,5,16.0
2/2,13,0,major,Bb,major,D0,5,8.0
2/2,13,0,major,Bb,major,D0,5,2.66666666667
2/2,13,0,major,Bb,major,E0,5,2.66666666667
2/2,13,0,major,Bb,major,F0,5,2.66666666667
2/2,14,0,major,D0,minor,D0,5,8.0
2/2,14,0,major,D0,minor,D0,5,2.66666666667
2/2,14,0,major,D0,minor,E0,5,2.66666666667
2/2,14,0,major,D0,minor,F0,5,2.66666666667
2/2,15,0,major,D0,minor,E0,5,16.0
2/2,16,0,major,D0,minor,E0,5,16.0
2/2,17,0,major,A0,minor,A0,4,8.0
2/2,17,0,major,A0,minor,A0,4,2.66666666667
2/2,17,0,major,A0,minor,C0,5,2.66666666667
2/2,17,0,major,A0,minor,B0,4,2.66666666667
2/2,18,0,major,E0,augmented,G#,4,12.0
2/2,18,0,major,E0,augmented,E0,4,4.0
2/2,19,0,major,A0,minor,G0,4,8.0
2/2,19,0,major,A0,minor,G0,4,2.66666666667
2/2,19,0,major,A0,minor,A0,4,2.66666666667
2/2,19,0,major,A0,minor,G0,4,2.66666666667
2/2,20,0,major,E0,augmented,E0,4,16.0
2/2,21,0,major,D0,minor,D0,5,8.0
2/2,21,0,major,D0,minor,D0,5,2.66666666667
2/2,21,0,major,D0,minor,F0,5,2.66666666667
2/2,21,0,major,D0,minor,E0,5,2.66666666667
2/2,22,0,major,A0,augmented,C#,5,12.0
2/2,22,0,major,A0,augmented,A0,4,4.0
2/2,23,0,major,D0,minor-seventh,C0,5,8.0
2/2,23,0,major,D0,minor-seventh,C0,5,2.66666666667
2/2,23,0,major,D0,minor-seventh,D0,5,2.66666666667
2/2,23,0,major,D0,minor-seventh,C0,5,2.66666666667
2/2,24,0,major,E0,augmented,G#,4,16.0
2/2,25,0,major,F0,major,A0,4,8.0
2/2,25,0,major,F0,major,A0,4,2.66666666667
2/2,25,0,major,F0,major,B0,4,2.66666666667
2/2,25,0,major,F0,major,C0,5,2.66666666667
2/2,26,0,major,F0,minor-sixth,Ab,4,16.0
2/2,27,0,major,C0,major,C0,5,8.0
2/2,27,0,major,C0,major,C0,5,2.66666666667
2/2,27,0,major,C0,major,D0,5,2.66666666667
2/2,27,0,major,C0,major,E0,5,2.66666666667
2/2,28,0,major,E0,augmented,C0,5,16.0
2/2,29,0,major,Bb,major,D0,5,8.0
2/2,29,0,major,Bb,major,D0,5,2.66666666667
2/2,29,0,major,Bb,major,E0,5,2.66666666667
2/2,29,0,major,Bb,major,F0,5,2.66666666667
2/2,30,0,major,D0,minor,D0,5,8.0
2/2,30,0,major,D0,minor,D0,5,2.66666666667
2/2,30,0,major,D0,minor,E0,5,2.66666666667
2/2,30,0,major,D0,minor,F0,5,2.66666666667
2/2,31,0,major,E0,dominant,E0,5,16.0
2/2,32,0,major,E0,augmented-seventh,E0,5,16.0
2/2,33,0,major,A0,minor,A0,4,8.0
2/2,33,0,major,A0,minor,A0,4,2.66666666667
2/2,33,0,major,A0,minor,C0,5,2.66666666667
2/2,33,0,major,A0,minor,B0,4,2.66666666667
2/2,34,0,major,E0,augmented,G#,4,12.0
2/2,34,0,major,E0,augmented,E0,4,4.0
2/2,35,0,major,A0,dominant,G0,4,8.0
2/2,35,0,major,A0,dominant,G0,4,2.66666666667
2/2,35,0,major,A0,dominant,A0,4,2.66666666667
2/2,35,0,major,A0,dominant,G0,4,2.66666666667
2/2,36,0,major,E0,augmented,E0,4,16.0
2/2,37,0,major,D0,minor,D0,5,8.0
2/2,37,0,major,D0,minor,D0,5,2.66666666667
2/2,37,0,major,D0,minor,F0,5,2.66666666667
2/2,37,0,major,D0,minor,E0,5,2.66666666667
2/2,38,0,major,A0,augmented,C#,5,12.0
2/2,38,0,major,A0,augmented,A0,4,4.0
2/2,39,0,major,E0,augmented,C0,5,12.0
2/2,39,0,major,E0,augmented,G#,4,2.66666666667
2/2,40,0,major,A0,minor,A0,4,16.0
