time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-1,major,F0,major-seventh,rest,0,4.0
4/4,1,-1,major,F0,major-seventh,A0,4,2.0
4/4,1,-1,major,F0,major-seventh,Bb,4,2.0
4/4,1,-1,major,F0,major-seventh,A0,4,2.0
4/4,1,-1,major,F0,major-seventh,F0,4,6.0
4/4,2,-1,major,F0,dominant,A0,4,2.0
4/4,2,-1,major,F0,dominant,Bb,4,2.0
4/4,2,-1,major,F0,dominant,A0,4,2.0
4/4,2,-1,major,F0,dominant,F0,4,2.0
4/4,2,-1,major,F0,dominant,F0,4,8.0
4/4,3,-1,major,Bb,major-ninth,rest,0,4.0
4/4,3,-1,major,Bb,major-ninth,A0,4,2.0
4/4,3,-1,major,Bb,major-ninth,Bb,4,2.0
4/4,3,-1,major,Bb,major-ninth,A0,4,2.0
4/4,3,-1,major,Bb,major-ninth,F0,4,6.0
4/4,4,-1,major,Bb,major-minor,A0,4,2.0
4/4,4,-1,major,Bb,major-minor,Bb,4,2.0
4/4,4,-1,major,Bb,major-minor,A0,4,2.0
4/4,4,-1,major,Bb,major-minor,F0,4,2.0
4/4,4,-1,major,Bb,major-minor,F0,4,8.0
4/4,5,-1,major,A0,minor-seventh,rest,0,4.0
4/4,5,-1,major,A0,minor-seventh,G0,4,2.0
4/4,5,-1,major,A0,minor-seventh,A0,4,2.0
4/4,5,-1,major,A0,minor-seventh,G0,4,2.0
4/4,5,-1,major,A0,minor-seventh,F0,4,6.0
4/4,6,-1,major,D0,dominant,Eb,4,2.0
4/4,6,-1,major,D0,dominant,F0,4,2.0
4/4,6,-1,major,D0,dominant,Eb,4,2.0
4/4,6,-1,major,D0,dominant,D0,4,2.0
4/4,6,-1,major,D0,dominant,D0,4,8.0
4/4,7,-1,major,G0,minor-ninth,rest,0,4.0
4/4,7,-1,major,G0,minor-ninth,F0,4,2.0
4/4,7,-1,major,G0,minor-ninth,G0,4,2.0
4/4,7,-1,major,G0,minor-ninth,F0,4,2.0
4/4,7,-1,major,G0,minor-ninth,D0,4,6.0
4/4,8,-1,major,C0,suspended-fourth,G0,4,2.0
4/4,8,-1,major,C0,suspended-fourth,F0,4,2.0
4/4,8,-1,major,C0,suspended-fourth,E0,4,2.0
4/4,8,-1,major,C0,suspended-fourth,D0,4,4.0
4/4,8,-1,major,C0,suspended-fourth,C0,4,6.0
4/4,9,-1,major,Bb,major-ninth,rest,0,4.0
4/4,9,-1,major,Bb,major-ninth,F0,4,2.0
4/4,9,-1,major,Bb,major-ninth,G0,4,2.0
4/4,9,-1,major,Bb,major-ninth,F0,4,2.0
4/4,9,-1,major,Bb,major-ninth,D0,4,6.0
4/4,10,-1,major,A0,dominant,F0,4,2.0
4/4,10,-1,major,A0,dominant,G0,4,2.0
4/4,10,-1,major,A0,dominant,F0,4,2.0
4/4,10,-1,major,A0,dominant,Db,4,2.0
4/4,10,-1,major,A0,dominant,Db,4,8.0
4/4,11,-1,major,D0,minor-seventh,rest,0,4.0
4/4,11,-1,major,D0,minor-seventh,F0,4,2.0
4/4,11,-1,major,D0,minor-seventh,G0,4,2.0
4/4,11,-1,major,D0,minor-seventh,F0,4,2.0
4/4,11,-1,major,D0,minor-seventh,D0,4,6.0
4/4,12,-1,major,G0,dominant,F0,4,2.0
4/4,12,-1,major,G0,dominant,G0,4,2.0
4/4,12,-1,major,G0,dominant,F0,4,2.0
4/4,12,-1,major,G0,dominant,D0,4,2.0
4/4,12,-1,major,G0,dominant,D0,4,8.0
4/4,13,-1,major,Db,dominant,rest,0,4.0
4/4,13,-1,major,Db,dominant,F0,4,2.0
4/4,13,-1,major,Db,dominant,G0,4,2.0
4/4,13,-1,major,Db,dominant,F0,4,2.0
4/4,13,-1,major,Db,dominant,Db,4,6.0
4/4,14,-1,major,C0,dominant,E0,4,2.0
4/4,14,-1,major,C0,dominant,F0,4,2.0
4/4,14,-1,major,C0,dominant,E0,4,2.0
4/4,14,-1,major,C0,dominant,C0,4,2.0
4/4,14,-1,major,C0,dominant,C0,4,4.0
4/4,14,-1,major,C0,dominant,Bb,3,4.0
4/4,15,-1,major,A0,minor-seventh,A0,3,8.0
4/4,15,-1,major,A0,minor-seventh,G0,4,2.0
4/4,15,-1,major,A0,minor-seventh,F0,4,2.0
4/4,15,-1,major,A0,minor-seventh,F0,4,4.0
4/4,16,-1,major,G0,minor-ninth,D0,4,8.0
4/4,16,-1,major,G0,minor-ninth,A0,4,2.0
4/4,16,-1,major,G0,minor-ninth,G0,4,2.0
4/4,16,-1,major,G0,minor-ninth,G0,4,4.0
