time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,0,major,C0,major,G0,4,4.0
3/4,1,0,major,C0,major,G0,4,6.0
3/4,1,0,major,C0,major,G0,4,2.0
3/4,2,0,major,A0,minor,A0,4,2.0
3/4,2,0,major,A0,minor,B0,4,2.0
3/4,2,0,major,A0,minor,A0,4,8.0
3/4,3,0,major,F0,major,A0,4,2.0
3/4,3,0,major,F0,major,B0,4,2.0
3/4,3,0,major,F0,major,C0,5,4.0
3/4,3,0,major,F0,major,B0,4,2.0
3/4,3,0,major,F0,major,A0,4,2.0
3/4,4,0,major,C0,major,G0,4,4.0
3/4,4,0,major,C0,major,E0,4,8.0
3/4,5,0,major,G0,dominant,D0,4,2.0
3/4,5,0,major,G0,dominant,E0,4,2.0
3/4,5,0,major,G0,dominant,F0,4,4.0
3/4,5,0,major,G0,dominant,D0,4,4.0
3/4,6,0,major,C0,major,C0,4,2.0
3/4,6,0,major,C0,major,D0,4,2.0
3/4,6,0,major,C0,major,E0,4,4.0
3/4,6,0,major,C0,major,C0,4,4.0
3/4,7,0,major,F0,minor-sixth,F0,4,2.0
3/4,7,0,major,F0,minor-sixth,G0,4,2.0
3/4,7,0,major,F0,minor-sixth,Ab,4,4.0
3/4,7,0,major,F0,minor-sixth,F0,4,4.0
3/4,8,0,major,C0,major,E0,4,2.0
3/4,8,0,major,C0,major,F0,4,2.0
3/4,8,0,major,C0,major,G0,4,8.0
3/4,9,0,major,C0,major,G0,4,4.0
3/4,9,0,major,C0,major,G0,4,6.0
3/4,9,0,major,C0,major,G0,4,2.0
3/4,10,0,major,A0,minor,A0,4,2.0
3/4,10,0,major,A0,minor,B0,4,2.0
3/4,10,0,major,A0,minor,A0,4,8.0
3/4,11,0,major,A0,minor,rest,0,2.0
3/4,11,0,major,A0,minor,A0,4,2.0
3/4,11,0,major,A0,minor,B0,4,2.0
3/4,11,0,major,A0,minor,C0,5,2.0
3/4,11,0,major,A0,minor,B0,4,2.0
