time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,0,1,major,[],[],B0,3,4.0
2/2,1,1,major,E0,minor,E0,4,4.0
2/2,1,1,major,E0,minor,E0,4,3.0
2/2,1,1,major,E0,minor,F#,4,1.0
2/2,1,1,major,E0,minor,G0,4,4.0
2/2,1,1,major,E0,minor,G0,4,3.0
2/2,1,1,major,E0,minor,F#,4,1.0
2/2,2,1,major,E0,minor,E0,4,3.0
2/2,2,1,major,E0,minor,F#,4,1.0
2/2,2,1,major,E0,minor,G0,4,3.0
2/2,2,1,major,E0,minor,A0,4,1.0
2/2,2,1,major,E0,minor,B0,4,4.0
2/2,2,1,major,E0,minor,B0,4,3.0
2/2,2,1,major,E0,minor,G0,4,1.0
2/2,3,1,major,B0,dominant,A0,4,4.0
2/2,3,1,major,B0,dominant,F#,4,4.0
2/2,3,1,major,B0,dominant,rest,0,8.0
2/2,4,1,major,B0,dominant,rest,0,8.0
2/2,4,1,major,B0,dominant,rest,0,4.0
2/2,4,1,major,B0,dominant,F#,4,3.0
2/2,4,1,major,B0,dominant,E0,4,1.0
2/2,5,1,major,B0,dominant,D#,4,4.0
2/2,5,1,major,B0,dominant,D#,4,3.0
2/2,5,1,major,B0,dominant,E0,4,1.0
2/2,5,1,major,B0,dominant,F#,4,4.0
2/2,5,1,major,B0,dominant,F#,4,3.0
2/2,5,1,major,B0,dominant,E0,4,1.0
2/2,6,1,major,B0,dominant,D#,4,3.0
2/2,6,1,major,B0,dominant,E0,4,1.0
2/2,6,1,major,B0,dominant,F#,4,3.0
2/2,6,1,major,B0,dominant,G0,4,1.0
2/2,6,1,major,B0,dominant,A0,4,4.0
2/2,6,1,major,B0,dominant,G0,4,3.0
2/2,6,1,major,B0,dominant,F#,4,1.0
2/2,7,1,major,E0,minor,G0,4,4.0
2/2,7,1,major,E0,minor,E0,4,4.0
2/2,7,1,major,E0,minor,rest,0,8.0
2/2,8,1,major,E0,minor,rest,0,8.0
2/2,8,1,major,E0,minor,rest,0,4.0
2/2,8,1,major,E0,minor,B0,3,4.0
2/2,9,1,major,E0,minor,E0,4,4.0
2/2,9,1,major,E0,minor,E0,4,3.0
2/2,9,1,major,E0,minor,F#,4,1.0
2/2,9,1,major,E0,minor,G0,4,4.0
2/2,9,1,major,E0,minor,G0,4,3.0
2/2,9,1,major,E0,minor,F#,4,1.0
2/2,10,1,major,E0,minor,E0,4,3.0
2/2,10,1,major,E0,minor,F#,4,1.0
2/2,10,1,major,E0,minor,G0,4,3.0
2/2,10,1,major,E0,minor,A0,4,1.0
2/2,10,1,major,E0,minor,B0,4,4.0
2/2,10,1,major,E0,minor,B0,4,3.0
2/2,10,1,major,E0,minor,G0,4,1.0
2/2,11,1,major,B0,dominant,A0,4,4.0
2/2,11,1,major,B0,dominant,F#,4,4.0
2/2,11,1,major,B0,dominant,rest,0,8.0
2/2,12,1,major,B0,dominant,rest,0,8.0
2/2,12,1,major,B0,dominant,rest,0,4.0
2/2,12,1,major,B0,dominant,F#,4,3.0
2/2,12,1,major,B0,dominant,E0,4,1.0
2/2,13,1,major,B0,dominant,D#,4,4.0
2/2,13,1,major,B0,dominant,D#,4,3.0
2/2,13,1,major,B0,dominant,E0,4,1.0
2/2,13,1,major,B0,dominant,F#,4,4.0
2/2,13,1,major,B0,dominant,F#,4,3.0
2/2,13,1,major,B0,dominant,E0,4,1.0
2/2,14,1,major,B0,dominant,D#,4,3.0
2/2,14,1,major,B0,dominant,E0,4,1.0
2/2,14,1,major,B0,dominant,F#,4,3.0
2/2,14,1,major,B0,dominant,G0,4,1.0
2/2,14,1,major,B0,dominant,A0,4,4.0
2/2,14,1,major,B0,dominant,G0,4,3.0
2/2,14,1,major,B0,dominant,F#,4,1.0
2/2,15,1,major,E0,minor,G0,4,4.0
2/2,15,1,major,E0,minor,E0,4,4.0
2/2,15,1,major,E0,minor,rest,0,8.0
2/2,16,1,major,B0,major,rest,0,4.0
2/2,16,1,major,B0,major,F#,4,2.0
2/2,16,1,major,B0,major,E0,4,2.0
2/2,16,1,major,B0,major,D0,4,2.0
2/2,16,1,major,B0,major,D#,4,2.0
2/2,16,1,major,B0,major,E0,4,2.0
2/2,16,1,major,B0,major,F#,4,2.0
2/2,17,1,major,G0,major,G0,4,4.0
2/2,17,1,major,G0,major,B0,4,4.0
2/2,17,1,major,G0,major,G0,4,4.0
2/2,17,1,major,G0,major,B0,4,4.0
2/2,18,1,major,G0,major,G0,4,4.0
2/2,18,1,major,G0,major,F#,4,2.0
2/2,18,1,major,G0,major,E0,4,2.0
2/2,18,1,major,G0,major,D0,4,2.0
2/2,18,1,major,G0,major,D#,4,2.0
2/2,18,1,major,G0,major,E0,4,2.0
2/2,18,1,major,G0,major,E#,4,2.0
2/2,19,1,major,D0,dominant,F#,4,4.0
2/2,19,1,major,D0,dominant,A0,4,4.0
2/2,19,1,major,D0,dominant,F#,4,4.0
2/2,19,1,major,D0,dominant,A0,4,4.0
2/2,20,1,major,D0,dominant,F#,4,4.0
2/2,20,1,major,D0,dominant,F#,4,2.0
2/2,20,1,major,D0,dominant,E0,4,2.0
2/2,20,1,major,D0,dominant,D0,4,2.0
2/2,20,1,major,D0,dominant,D#,4,2.0
2/2,20,1,major,D0,dominant,E0,4,2.0
2/2,20,1,major,D0,dominant,E#,4,2.0
2/2,21,1,major,D0,dominant,F#,4,4.0
2/2,21,1,major,D0,dominant,C0,5,4.0
2/2,21,1,major,D0,dominant,A0,4,4.0
2/2,21,1,major,D0,dominant,F#,4,4.0
2/2,22,1,major,D0,augmented,E0,4,8.0
2/2,22,1,major,D0,augmented,F#,4,8.0
2/2,23,1,major,G0,major,D0,4,16.0
2/2,24,1,major,D0,dominant,D0,4,2.0
2/2,24,1,major,D0,dominant,rest,0,2.0
2/2,24,1,major,D0,dominant,F#,4,2.0
2/2,24,1,major,D0,dominant,D0,4,2.0
2/2,24,1,major,D0,dominant,D#,4,2.0
2/2,24,1,major,D0,dominant,E0,4,2.0
2/2,24,1,major,D0,dominant,F#,4,2.0
2/2,24,1,major,D0,dominant,F#,4,2.0
2/2,25,1,major,G0,major,G0,4,4.0
2/2,25,1,major,G0,major,B0,4,4.0
2/2,25,1,major,G0,major,G0,4,4.0
2/2,25,1,major,G0,major,B0,4,4.0
