time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-1,major,F0,major,rest,0,12.0
4/4,1,-1,major,F0,major,C0,5,4.0
4/4,2,-1,major,F0,major,C0,5,12.0
4/4,2,-1,major,F0,major,A0,4,4.0
4/4,3,-1,major,F0,major,A0,4,12.0
4/4,3,-1,major,F0,major,C0,5,4.0
4/4,4,-1,major,F0,major,C0,5,4.0
4/4,4,-1,major,F0,major,A0,4,4.0
4/4,4,-1,major,F0,major,G0,4,4.0
4/4,4,-1,major,F0,major,A0,4,4.0
4/4,5,-1,major,C0,dominant,Bb,4,12.0
4/4,5,-1,major,C0,dominant,D0,5,4.0
4/4,6,-1,major,G0,minor,D0,5,12.0
4/4,6,-1,major,G0,minor,Bb,4,4.0
4/4,7,-1,major,G0,minor-seventh,Bb,4,12.0
4/4,7,-1,major,G0,minor-seventh,D0,5,4.0
4/4,8,-1,major,A0,minor,D0,5,4.0
4/4,8,-1,major,A0,minor,Bb,4,4.0
4/4,8,-1,major,A0,minor,A0,4,4.0
4/4,8,-1,major,A0,minor,Bb,4,4.0
4/4,9,-1,major,F0,major,C0,5,12.0
4/4,9,-1,major,F0,major,C0,5,4.0
4/4,10,-1,major,F0,major,C0,5,12.0
4/4,10,-1,major,F0,major,A0,4,4.0
4/4,11,-1,major,F0,major,A0,4,12.0
4/4,11,-1,major,F0,major,C0,5,4.0
4/4,12,-1,major,D0,dominant,C0,5,4.0
4/4,12,-1,major,D0,dominant,A0,4,4.0
4/4,12,-1,major,D0,dominant,Bb,4,4.0
4/4,12,-1,major,D0,dominant,C0,5,4.0
4/4,13,-1,major,G0,minor,D0,5,12.0
4/4,13,-1,major,G0,minor,D0,5,4.0
4/4,14,-1,major,G0,minor-seventh,D0,5,4.0
4/4,14,-1,major,G0,minor-seventh,D0,5,4.0
4/4,14,-1,major,G0,minor-seventh,C0,5,4.0
4/4,14,-1,major,G0,minor-seventh,Bb,4,4.0
4/4,15,-1,major,F0,major,A0,4,12.0
4/4,15,-1,major,F0,major,A0,4,4.0
4/4,16,-1,major,G0,minor,Bb,4,4.0
4/4,16,-1,major,G0,minor,Bb,4,4.0
4/4,16,-1,major,G0,minor,A0,4,4.0
4/4,16,-1,major,G0,minor,G0,4,4.0
4/4,17,-1,major,F0,major,F0,4,4.0
4/4,17,-1,major,F0,major,C0,4,4.0
4/4,17,-1,major,F0,major,F0,4,4.0
4/4,17,-1,major,F0,major,G0,4,4.0
4/4,18,-4,major,F0,minor,C0,5,12.0
4/4,18,-4,major,F0,minor,Ab,4,4.0
4/4,19,-4,major,F0,minor,Ab,4,4.0
4/4,19,-4,major,F0,minor,Ab,4,4.0
4/4,19,-4,major,F0,minor,Bb,4,4.0
4/4,19,-4,major,F0,minor,Ab,4,4.0
4/4,20,-4,major,C0,dominant,G0,4,4.0
4/4,20,-4,major,C0,dominant,F0,4,4.0
4/4,20,-4,major,C0,dominant,E0,4,8.0
4/4,21,-4,major,C0,dominant,E0,4,4.0
4/4,21,-4,major,C0,dominant,C0,4,4.0
4/4,21,-4,major,C0,dominant,E0,4,4.0
4/4,21,-4,major,C0,dominant,F0,4,4.0
4/4,22,-4,major,C0,dominant,G0,4,12.0
4/4,22,-4,major,C0,dominant,G0,4,4.0
4/4,23,-4,major,C0,dominant,G0,4,4.0
4/4,23,-4,major,C0,dominant,G0,4,4.0
4/4,23,-4,major,C0,dominant,Ab,4,4.0
4/4,23,-4,major,C0,dominant,Bb,4,4.0
4/4,24,-4,major,F0,minor,C0,5,16.0
4/4,25,-4,major,C0,dominant,C0,5,4.0
4/4,25,-4,major,C0,dominant,F0,4,4.0
4/4,25,-4,major,C0,dominant,Bb,4,4.0
4/4,25,-4,major,C0,dominant,C0,5,4.0
4/4,26,-4,major,Bb,minor,Db,5,12.0
4/4,26,-4,major,Bb,minor,Db,5,4.0
4/4,27,-4,major,Bb,minor,Db,5,4.0
4/4,27,-4,major,Bb,minor,Db,5,4.0
4/4,27,-4,major,Bb,minor,Eb,5,4.0
4/4,27,-4,major,Bb,minor,Db,5,4.0
4/4,28,-4,major,F0,minor,C0,5,4.0
4/4,28,-4,major,F0,minor,Bb,4,4.0
4/4,28,-4,major,F0,minor,Ab,4,8.0
4/4,29,-4,major,F0,minor,Ab,4,4.0
4/4,29,-4,major,F0,minor,C0,5,4.0
4/4,29,-4,major,F0,minor,Db,5,4.0
4/4,29,-4,major,F0,minor,C0,5,4.0
4/4,30,-4,major,C0,dominant,Bb,4,4.0
4/4,30,-4,major,C0,dominant,Ab,4,4.0
4/4,30,-4,major,C0,dominant,G0,4,4.0
4/4,30,-4,major,C0,dominant,Bb,4,4.0
4/4,31,-4,major,Db,dominant,Ab,4,4.0
4/4,31,-4,major,Db,dominant,G0,4,4.0
4/4,31,-4,major,Db,dominant,F0,4,4.0
4/4,31,-4,major,Db,dominant,E0,4,4.0
4/4,32,-4,major,F0,minor,F0,4,16.0
4/4,33,-4,major,F0,minor,F0,4,12.0
4/4,33,-4,major,F0,minor,C0,5,4.0
4/4,34,-1,major,F0,major,C0,5,12.0
4/4,34,-1,major,F0,major,A0,4,4.0
4/4,35,-1,major,F0,major,A0,4,12.0
4/4,35,-1,major,F0,major,C0,5,4.0
4/4,36,-1,major,F0,major,C0,5,4.0
4/4,36,-1,major,F0,major,A0,4,4.0
4/4,36,-1,major,F0,major,G0,4,4.0
4/4,36,-1,major,F0,major,A0,4,4.0
4/4,37,-1,major,C0,dominant,Bb,4,12.0
4/4,37,-1,major,C0,dominant,D0,5,4.0
4/4,38,-1,major,G0,minor,D0,5,12.0
4/4,38,-1,major,G0,minor,Bb,4,4.0
4/4,39,-1,major,G0,minor-seventh,Bb,4,12.0
4/4,39,-1,major,G0,minor-seventh,D0,5,4.0
4/4,40,-1,major,C0,dominant,D0,5,4.0
4/4,40,-1,major,C0,dominant,Bb,4,4.0
4/4,40,-1,major,C0,dominant,A0,4,4.0
4/4,40,-1,major,C0,dominant,Bb,4,4.0
4/4,41,-1,major,F0,major,C0,5,12.0
4/4,41,-1,major,F0,major,C0,5,4.0
4/4,42,-1,major,F0,major,C0,5,12.0
4/4,42,-1,major,F0,major,A0,4,4.0
4/4,43,-1,major,F0,major,A0,4,12.0
4/4,43,-1,major,F0,major,C0,5,4.0
4/4,44,-1,major,D0,dominant,C0,5,4.0
4/4,44,-1,major,D0,dominant,A0,4,4.0
4/4,44,-1,major,D0,dominant,Bb,4,4.0
4/4,44,-1,major,D0,dominant,C0,5,4.0
4/4,45,-1,major,G0,minor,D0,5,12.0
4/4,45,-1,major,G0,minor,D0,5,4.0
4/4,46,-1,major,C0,dominant,D0,5,4.0
4/4,46,-1,major,C0,dominant,D0,5,4.0
4/4,46,-1,major,C0,dominant,C0,5,4.0
4/4,46,-1,major,C0,dominant,Bb,4,4.0
4/4,47,-1,major,F0,major,A0,4,12.0
4/4,47,-1,major,F0,major,A0,4,4.0
4/4,48,-1,major,G0,minor,Bb,4,4.0
4/4,48,-1,major,G0,minor,Bb,4,4.0
4/4,48,-1,major,G0,minor,A0,4,4.0
4/4,48,-1,major,G0,minor,G0,4,4.0
4/4,49,-1,major,F0,major,F0,4,12.0
4/4,49,-1,major,F0,major,C0,5,4.0
4/4,50,-1,major,F0,major,F0,4,16.0
4/4,51,-1,major,F0,major,F0,4,4.0
4/4,51,-1,major,F0,major,C0,5,4.0
4/4,51,-1,major,F0,major,C0,5,4.0
4/4,51,-1,major,F0,major,C0,5,4.0
4/4,52,-1,major,F0,major,C0,5,16.0
4/4,53,-1,major,F0,major,C0,5,4.0
4/4,53,-1,major,F0,major,F0,4,4.0
4/4,53,-1,major,F0,major,A0,4,4.0
4/4,53,-1,major,F0,major,C0,5,4.0
4/4,54,-1,major,G0,minor,Bb,4,16.0
4/4,55,-1,major,G0,minor,Bb,4,4.0
4/4,55,-1,major,G0,minor,D0,5,4.0
4/4,55,-1,major,G0,minor,D0,5,4.0
4/4,55,-1,major,G0,minor,D0,5,4.0
4/4,56,-1,major,C0,minor-seventh,D0,5,16.0
4/4,57,-1,major,C0,minor-seventh,D0,5,4.0
4/4,57,-1,major,C0,minor-seventh,G0,4,4.0
4/4,57,-1,major,C0,minor-seventh,Bb,4,4.0
4/4,57,-1,major,C0,minor-seventh,D0,5,4.0
4/4,58,-1,major,F0,major,F0,5,16.0
4/4,59,-1,major,F0,major,F0,5,16.0
