time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,0,major,A0,minor,A0,4,2.0
4/4,1,0,major,A0,minor,A0,4,2.0
4/4,1,0,major,A0,minor,A0,4,2.0
4/4,1,0,major,A0,minor,B0,4,2.0
4/4,1,0,major,A0,minor,C0,5,2.0
4/4,1,0,major,A0,minor,B0,4,2.0
4/4,1,0,major,A0,minor,A0,4,4.0
4/4,2,0,major,D0,minor,D0,5,2.0
4/4,2,0,major,D0,minor,D0,5,2.0
4/4,2,0,major,D0,minor,D0,5,2.0
4/4,2,0,major,D0,minor,E0,5,2.0
4/4,2,0,major,D0,minor,F0,5,2.0
4/4,2,0,major,D0,minor,E0,5,2.0
4/4,2,0,major,D0,minor,D0,5,4.0
4/4,3,0,major,E0,major,E0,5,2.0
4/4,3,0,major,E0,major,E0,5,2.0
4/4,3,0,major,E0,major,E0,5,2.0
4/4,3,0,major,E0,major,F0,5,2.0
4/4,3,0,major,E0,major,E0,5,2.0
4/4,3,0,major,E0,major,D0,5,2.0
4/4,3,0,major,E0,major,C0,5,2.0
4/4,3,0,major,E0,major,B0,4,2.0
4/4,4,0,major,A0,minor,C0,5,2.0
4/4,4,0,major,A0,minor,A0,4,4.0
4/4,4,0,major,A0,minor,A0,4,4.0
4/4,4,0,major,A0,minor,E0,4,2.0
4/4,4,0,major,A0,minor,F#,4,2.0
4/4,4,0,major,A0,minor,G#,4,2.0
4/4,5,0,major,A0,minor,E0,5,6.0
4/4,5,0,major,A0,minor,C0,5,2.0
4/4,5,0,major,A0,minor,D0,5,2.0
4/4,5,0,major,A0,minor,E0,5,6.0
4/4,6,0,major,D0,minor,D0,5,2.0
4/4,6,0,major,D0,minor,C0,5,6.0
4/4,6,0,major,D0,minor,B0,4,4.0
4/4,6,0,major,D0,minor,A0,4,4.0
4/4,7,0,major,E0,major,B0,4,4.0
4/4,7,0,major,E0,major,G#,4,4.0
4/4,7,0,major,E0,major,E0,4,4.0
4/4,7,0,major,E0,major,rest,0,4.0
4/4,8,0,major,A0,minor,E0,5,4.0
4/4,8,0,major,A0,minor,C0,5,4.0
4/4,8,0,major,A0,minor,D0,5,4.0
4/4,8,0,major,A0,minor,E0,5,2.0
4/4,8,0,major,A0,minor,E0,5,2.0
4/4,9,0,major,D0,minor,D0,5,4.0
4/4,9,0,major,D0,minor,C0,5,4.0
4/4,9,0,major,D0,minor,B0,4,4.0
4/4,9,0,major,D0,minor,A0,4,2.0
4/4,9,0,major,D0,minor,A0,4,2.0
4/4,10,0,major,E0,major,G#,4,4.0
4/4,10,0,major,E0,major,E0,5,4.0
4/4,10,0,major,E0,major,E0,5,2.0
4/4,10,0,major,E0,major,D0,5,2.0
4/4,10,0,major,E0,major,C0,5,2.0
4/4,10,0,major,E0,major,B0,4,2.0
