time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,2,major,D0,major-sixth,D0,4,16.0
2/2,2,2,major,A0,minor-seventh,C0,4,2.0
2/2,2,2,major,A0,minor-seventh,C0,4,2.0
2/2,2,2,major,A0,minor-seventh,C0,4,2.0
2/2,2,2,major,A0,minor-seventh,C0,4,2.0
2/2,2,2,major,A0,minor-seventh,C0,4,4.0
2/2,2,2,major,A0,minor-seventh,E0,4,4.0
2/2,3,2,major,D0,major-sixth,D0,4,16.0
2/2,4,2,major,A0,minor-seventh,E0,4,2.0
2/2,4,2,major,A0,minor-seventh,E0,4,2.0
2/2,4,2,major,A0,minor-seventh,E0,4,2.0
2/2,4,2,major,A0,minor-seventh,E0,4,2.0
2/2,4,2,major,A0,minor-seventh,E0,4,4.0
2/2,4,2,major,A0,minor-seventh,G0,4,4.0
2/2,5,2,major,D0,major-sixth,F#,4,16.0
2/2,6,2,major,A0,minor-seventh,G0,4,2.0
2/2,6,2,major,A0,minor-seventh,G0,4,2.0
2/2,6,2,major,A0,minor-seventh,G0,4,2.0
2/2,6,2,major,A0,minor-seventh,G0,4,2.0
2/2,6,2,major,A0,minor-seventh,G0,4,4.0
2/2,6,2,major,A0,minor-seventh,B0,4,4.0
2/2,7,2,major,D0,major-seventh,A0,4,16.0
2/2,8,2,major,A0,minor-seventh,A0,4,8.0
2/2,8,2,major,A0,minor-seventh,A0,4,4.0
2/2,8,2,major,A0,minor-seventh,A0,4,4.0
2/2,9,2,major,G0,major-seventh,A0,4,8.0
2/2,9,2,major,G0,major-seventh,G0,4,2.0
2/2,9,2,major,G0,major-seventh,F#,4,4.0
2/2,9,2,major,G0,major-seventh,D0,4,2.0
2/2,10,2,major,G0,major-seventh,D0,4,8.0
2/2,10,2,major,G0,major-seventh,F#,4,4.0
2/2,10,2,major,G0,major-seventh,G0,4,4.0
2/2,11,2,major,G0,minor-seventh,A0,4,8.0
2/2,11,2,major,G0,minor-seventh,G0,4,2.0
2/2,11,2,major,G0,minor-seventh,F#,4,4.0
2/2,11,2,major,G0,minor-seventh,D0,4,2.0
2/2,12,2,major,C0,dominant,D0,4,8.0
2/2,12,2,major,C0,dominant,F#,4,4.0
2/2,12,2,major,C0,dominant,G0,4,4.0
2/2,13,2,major,F0,minor-seventh,Bb,4,8.0
2/2,13,2,major,F0,minor-seventh,G#,4,2.0
2/2,13,2,major,F0,minor-seventh,G0,4,4.0
2/2,13,2,major,F0,minor-seventh,Eb,4,2.0
2/2,14,2,major,Eb,major,Eb,4,8.0
2/2,14,2,major,Eb,major,F#,4,2.0
2/2,14,2,major,Eb,major,E0,4,4.0
2/2,14,2,major,Eb,major,D0,4,2.0
2/2,15,2,major,D0,major-sixth,D0,4,16.0
2/2,16,2,major,A0,minor-seventh,rest,0,8.0
2/2,16,2,major,A0,minor-seventh,C0,4,2.0
2/2,16,2,major,A0,minor-seventh,A0,3,2.0
2/2,16,2,major,A0,minor-seventh,C0,4,2.0
2/2,16,2,major,A0,minor-seventh,D0,4,2.0
2/2,17,2,major,D0,major-sixth,D0,4,8.0
2/2,17,2,major,D0,major-sixth,C#,4,2.0
2/2,17,2,major,D0,major-sixth,A0,3,2.0
2/2,17,2,major,D0,major-sixth,C0,4,2.0
2/2,17,2,major,D0,major-sixth,E0,4,2.0
2/2,18,2,major,A0,minor-seventh,E0,4,8.0
2/2,18,2,major,A0,minor-seventh,C0,4,2.66666666667
2/2,18,2,major,A0,minor-seventh,A0,3,2.66666666667
2/2,18,2,major,A0,minor-seventh,C0,4,2.66666666667
2/2,19,2,major,B0,major-seventh,F#,4,8.0
2/2,19,2,major,B0,major-seventh,F#,4,8.0
2/2,20,2,major,B0,major-seventh,F#,4,8.0
2/2,20,2,major,B0,major-seventh,D0,4,2.0
2/2,20,2,major,B0,major-seventh,B0,3,2.0
2/2,20,2,major,B0,major-seventh,D0,4,2.0
2/2,20,2,major,B0,major-seventh,F#,4,2.0
2/2,21,2,major,B0,minor-seventh,F#,4,8.0
2/2,21,2,major,B0,minor-seventh,D0,4,2.0
2/2,21,2,major,B0,minor-seventh,B0,3,2.0
2/2,21,2,major,B0,minor-seventh,D0,4,2.0
2/2,21,2,major,B0,minor-seventh,G#,4,2.0
2/2,22,2,major,E0,dominant,G#,4,8.0
2/2,22,2,major,E0,dominant,D0,4,2.66666666667
2/2,22,2,major,E0,dominant,B0,3,2.66666666667
2/2,22,2,major,E0,dominant,D0,4,2.66666666667
2/2,23,2,major,E0,minor-seventh,A0,4,8.0
2/2,23,2,major,E0,minor-seventh,A0,4,8.0
2/2,24,2,major,A0,dominant,A0,4,2.0
2/2,24,2,major,A0,dominant,B0,4,4.0
2/2,24,2,major,A0,dominant,F0,4,2.0
2/2,24,2,major,A0,dominant,E0,4,2.0
2/2,24,2,major,A0,dominant,D0,4,2.0
2/2,24,2,major,A0,dominant,B0,3,2.0
2/2,24,2,major,A0,dominant,A0,3,2.0
2/2,25,2,major,D0,major-sixth,D0,4,16.0
2/2,26,2,major,A0,minor-seventh,C0,4,2.0
2/2,26,2,major,A0,minor-seventh,C0,4,2.0
