time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,1,-3,major,Eb,maj,Bb,4,6.0
6/8,1,-3,major,Eb,maj,rest,0,2.0
6/8,1,-3,major,Eb,maj,Ab,4,2.0
6/8,1,-3,major,Eb,maj,Bb,4,2.0
6/8,2,-3,major,G0,7,G0,4,6.0
6/8,2,-3,major,G0,7,rest,0,2.0
6/8,2,-3,major,G0,7,F0,4,2.0
6/8,2,-3,major,G0,7,G0,4,2.0
6/8,3,-3,major,Ab,maj,Eb,4,6.0
6/8,3,-3,major,Ab,maj,rest,0,2.0
6/8,3,-3,major,Ab,maj,D0,4,2.0
6/8,3,-3,major,Ab,maj,Eb,4,2.0
6/8,4,-3,major,Bb,7,C0,4,6.0
6/8,4,-3,major,Bb,7,rest,0,2.0
6/8,4,-3,major,Bb,7,G0,4,2.0
6/8,4,-3,major,Bb,7,Ab,4,2.0
6/8,5,-3,major,Eb,maj,Bb,4,12.0
6/8,6,-3,major,E0,dim,rest,0,2.0
6/8,6,-3,major,E0,dim,Bb,4,4.0
6/8,6,-3,major,E0,dim,rest,0,2.0
6/8,6,-3,major,E0,dim,Bb,4,2.0
6/8,6,-3,major,E0,dim,Bb,4,2.0
6/8,7,-3,major,F0,min7,Bb,4,2.0
6/8,7,-3,major,F0,min7,C0,5,2.0
6/8,7,-3,major,F0,min7,Ab,4,2.0
6/8,7,-3,major,F0,min7,Ab,4,6.0
6/8,8,-3,major,Bb,maj,rest,0,6.0
6/8,8,-3,major,Bb,maj,rest,0,2.0
6/8,8,-3,major,Bb,maj,F0,4,2.0
6/8,8,-3,major,Bb,maj,G0,4,2.0
6/8,9,-3,major,F0,min,Ab,4,2.0
6/8,9,-3,major,F0,min,Ab,4,4.0
6/8,9,-3,major,F0,min,Ab,4,6.0
6/8,10,-3,major,Bb,7,rest,0,2.0
6/8,10,-3,major,Bb,7,Ab,4,4.0
6/8,10,-3,major,Bb,7,Ab,4,2.0
6/8,10,-3,major,Bb,7,Bb,4,4.0
6/8,11,-3,major,Eb,maj,G0,4,12.0
6/8,12,-3,major,C0,min,rest,0,6.0
6/8,12,-3,major,C0,min,rest,0,2.0
6/8,12,-3,major,C0,min,Eb,4,2.0
6/8,12,-3,major,C0,min,F0,4,2.0
6/8,13,-3,major,Eb,maj,G0,4,2.0
