time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,2,major,D0,major,A0,4,4.0
3/4,1,2,major,D0,major,E0,5,4.0
3/4,1,2,major,D0,major,E0,5,2.0
3/4,1,2,major,D0,major,F#,5,2.0
3/4,2,2,major,D0,major,D0,5,2.0
3/4,2,2,major,D0,major,A0,4,2.0
3/4,2,2,major,D0,major,A0,4,8.0
3/4,3,2,major,A0,major,A0,4,4.0
3/4,3,2,major,A0,major,E0,5,4.0
3/4,3,2,major,A0,major,E0,5,2.0
3/4,3,2,major,A0,major,C#,5,2.0
3/4,4,2,major,G0,major,D0,5,12.0
3/4,5,2,major,B0,minor,D0,5,4.0
3/4,5,2,major,B0,minor,C#,5,4.0
3/4,5,2,major,B0,minor,D0,5,4.0
3/4,6,2,major,A0,major,C#,5,4.0
3/4,6,2,major,A0,major,A0,4,4.0
3/4,6,2,major,A0,major,A0,4,2.0
3/4,6,2,major,A0,major,F#,4,2.0
3/4,7,2,major,G0,major,B0,4,12.0
3/4,8,2,major,G0,major,A0,4,12.0
3/4,9,2,major,D0,major,A0,4,4.0
3/4,9,2,major,D0,major,E0,5,4.0
3/4,9,2,major,D0,major,E0,5,2.0
3/4,9,2,major,D0,major,F#,5,2.0
3/4,10,2,major,D0,major,D0,5,2.0
3/4,10,2,major,D0,major,A0,4,2.0
3/4,10,2,major,D0,major,A0,4,8.0
3/4,11,2,major,A0,major,A0,4,4.0
3/4,11,2,major,A0,major,E0,5,4.0
3/4,11,2,major,A0,major,E0,5,2.0
3/4,11,2,major,A0,major,C#,5,2.0
3/4,12,2,major,G0,major,D0,5,12.0
3/4,13,2,major,B0,minor,D0,5,4.0
3/4,13,2,major,B0,minor,C#,5,4.0
3/4,13,2,major,B0,minor,D0,5,4.0
3/4,14,2,major,A0,major,C#,5,4.0
3/4,14,2,major,A0,major,A0,4,4.0
3/4,14,2,major,A0,major,A0,4,2.0
3/4,14,2,major,A0,major,F#,4,2.0
3/4,15,2,major,G0,major,B0,4,12.0
3/4,16,2,major,G0,major,rest,0,12.0
3/4,17,2,major,E0,minor,E0,5,4.0
3/4,17,2,major,E0,minor,E0,5,4.0
3/4,17,2,major,E0,minor,E0,5,2.0
3/4,17,2,major,E0,minor,D0,5,2.0
3/4,18,2,major,E0,minor,E0,5,1.0
3/4,18,2,major,E0,minor,B0,4,3.0
3/4,18,2,major,E0,minor,rest,0,4.0
3/4,18,2,major,E0,minor,rest,0,2.0
3/4,18,2,major,E0,minor,E0,5,2.0
3/4,19,2,major,B0,minor,F#,5,4.0
3/4,19,2,major,B0,minor,E0,5,2.0
3/4,19,2,major,B0,minor,D0,5,2.0
3/4,19,2,major,B0,minor,D0,5,4.0
3/4,20,2,major,A0,major,B0,4,4.0
3/4,20,2,major,A0,major,rest,0,4.0
3/4,20,2,major,A0,major,C#,5,4.0
3/4,21,2,major,D0,major,D0,5,8.0
3/4,21,2,major,D0,major,D0,5,4.0
3/4,22,2,major,A0,major,C#,5,4.0
3/4,22,2,major,A0,major,D0,5,4.0
3/4,22,2,major,A0,major,C#,5,2.0
3/4,22,2,major,A0,major,B0,4,2.0
3/4,23,2,major,G0,major,C#,5,2.0
3/4,23,2,major,G0,major,B0,4,2.0
3/4,23,2,major,G0,major,B0,4,8.0
3/4,24,2,major,G0,major,rest,0,12.0
3/4,25,2,major,G0,major,rest,0,12.0
3/4,26,2,major,G0,major,D0,5,4.0
3/4,26,2,major,G0,major,F#,5,4.0
3/4,26,2,major,G0,major,G0,5,4.0
3/4,27,2,major,D0,major,A0,5,8.0
3/4,27,2,major,D0,major,A0,5,2.0
3/4,27,2,major,D0,major,F#,5,2.0
3/4,28,2,major,D0,major,A0,5,8.0
3/4,28,2,major,D0,major,A0,5,2.0
3/4,28,2,major,D0,major,F#,5,2.0
3/4,29,2,major,F#,minor,A0,5,8.0
3/4,29,2,major,F#,minor,B0,5,4.0
3/4,30,2,major,F#,minor,B0,5,2.0
3/4,30,2,major,F#,minor,A0,5,2.0
3/4,30,2,major,F#,minor,A0,5,8.0
3/4,31,2,major,G0,major,A0,5,4.0
3/4,31,2,major,G0,major,G0,5,4.0
3/4,31,2,major,G0,major,G0,5,2.0
3/4,31,2,major,G0,major,F#,5,2.0
3/4,32,2,major,G0,major,E0,5,8.0
3/4,32,2,major,G0,major,rest,0,2.0
3/4,32,2,major,G0,major,D0,5,2.0
3/4,33,2,major,C0,major,A0,5,4.0
3/4,33,2,major,C0,major,G0,5,4.0
3/4,33,2,major,C0,major,F#,5,4.0
3/4,34,2,major,C0,major,E0,5,4.0
3/4,34,2,major,C0,major,D0,5,4.0
3/4,34,2,major,C0,major,rest,0,2.0
3/4,34,2,major,C0,major,D0,5,2.0
3/4,35,2,major,D0,major,A0,4,4.0
3/4,35,2,major,D0,major,E0,5,4.0
3/4,35,2,major,D0,major,E0,5,2.0
3/4,35,2,major,D0,major,F#,5,2.0
3/4,36,2,major,D0,major,D0,5,4.0
3/4,36,2,major,D0,major,A0,4,8.0
3/4,37,2,major,D0,major,A0,4,4.0
3/4,37,2,major,D0,major,E0,5,4.0
3/4,37,2,major,D0,major,E0,5,2.0
3/4,37,2,major,D0,major,F#,5,2.0
3/4,38,2,major,D0,major,D0,5,4.0
3/4,38,2,major,D0,major,A0,4,8.0
