time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-3,major,[],[],rest,0,8.0
2/2,1,-3,major,[],[],rest,0,4.0
2/2,1,-3,major,[],[],Bb,4,4.0
2/2,2,-3,major,Bb,minor,Db,5,16.0
2/2,3,-3,major,Gb,major-seventh,Db,5,8.0
2/2,3,-3,major,Gb,major-seventh,C0,5,2.66666666667
2/2,3,-3,major,Gb,major-seventh,Db,5,2.66666666667
2/2,3,-3,major,Gb,major-seventh,C0,5,2.66666666667
2/2,4,-3,major,Eb,dominant,Bb,4,16.0
2/2,5,-3,major,Gb,major-seventh,Bb,4,8.0
2/2,5,-3,major,Gb,major-seventh,Bb,4,4.0
2/2,5,-3,major,Gb,major-seventh,rest,0,4.0
2/2,6,-3,major,Bb,minor,Db,5,16.0
2/2,7,-3,major,Gb,major-seventh,Db,5,8.0
2/2,7,-3,major,Gb,major-seventh,C0,5,2.66666666667
2/2,7,-3,major,Gb,major-seventh,Db,5,2.66666666667
2/2,7,-3,major,Gb,major-seventh,C0,5,2.66666666667
2/2,8,-3,major,Bb,minor-seventh,Bb,4,16.0
2/2,9,-3,major,Eb,dominant-ninth,Bb,4,8.0
2/2,9,-3,major,Eb,dominant-ninth,rest,0,4.0
2/2,9,-3,major,Eb,dominant-ninth,Eb,4,4.0
2/2,10,-3,major,Gb,major-seventh,Bb,4,16.0
2/2,11,-3,major,Eb,minor-sixth,Bb,4,8.0
2/2,11,-3,major,Eb,minor-sixth,Ab,4,2.66666666667
2/2,11,-3,major,Eb,minor-sixth,Bb,4,2.66666666667
2/2,11,-3,major,Eb,minor-sixth,Ab,4,2.66666666667
2/2,12,-3,major,B0,major-seventh,Gb,4,16.0
2/2,13,-3,major,Ab,dominant,Gb,4,8.0
2/2,13,-3,major,Ab,dominant,rest,0,4.0
2/2,13,-3,major,Ab,dominant,Ab,4,4.0
2/2,14,-3,major,Eb,major-sixth,Bb,4,4.0
2/2,14,-3,major,Eb,major-sixth,Bb,4,4.0
2/2,14,-3,major,Eb,major-sixth,Bb,4,4.0
