time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-2,major,B0,major-seventh,rest,0,16.0
4/4,2,-2,major,G0,minor-ninth,rest,0,16.0
4/4,3,-2,major,Bb,major-seventh,rest,0,16.0
4/4,4,-2,major,G0,minor-ninth,rest,0,16.0
4/4,5,-2,major,Bb,major-seventh,rest,0,16.0
4/4,6,-2,major,G0,minor-ninth,rest,0,16.0
4/4,7,-2,major,Bb,major-seventh,rest,0,2.0
4/4,7,-2,major,Bb,major-seventh,Bb,3,2.0
4/4,7,-2,major,Bb,major-seventh,D0,4,2.0
4/4,7,-2,major,Bb,major-seventh,F0,4,2.0
4/4,7,-2,major,Bb,major-seventh,F0,4,4.0
4/4,7,-2,major,Bb,major-seventh,F0,4,4.0
4/4,8,-2,major,G0,minor-ninth,F0,4,4.0
4/4,8,-2,major,G0,minor-ninth,D0,4,2.0
4/4,8,-2,major,G0,minor-ninth,G0,4,2.0
4/4,8,-2,major,G0,minor-ninth,G0,4,4.0
4/4,8,-2,major,G0,minor-ninth,rest,0,4.0
4/4,9,-2,major,Bb,major-seventh,rest,0,2.0
4/4,9,-2,major,Bb,major-seventh,F0,3,2.0
4/4,9,-2,major,Bb,major-seventh,D0,4,2.0
4/4,9,-2,major,Bb,major-seventh,F0,4,2.0
4/4,9,-2,major,Bb,major-seventh,F0,4,4.0
4/4,9,-2,major,Bb,major-seventh,G0,4,2.0
4/4,9,-2,major,Bb,major-seventh,D0,4,2.0
4/4,10,-2,major,G0,minor-ninth,D0,4,4.0
4/4,10,-2,major,G0,minor-ninth,rest,0,4.0
4/4,10,-2,major,G0,minor-ninth,rest,0,8.0
4/4,11,-2,major,Bb,major-seventh,rest,0,4.0
4/4,11,-2,major,Bb,major-seventh,D0,4,2.0
4/4,11,-2,major,Bb,major-seventh,F0,4,2.0
4/4,11,-2,major,Bb,major-seventh,F0,4,2.0
4/4,11,-2,major,Bb,major-seventh,D0,4,2.0
4/4,11,-2,major,Bb,major-seventh,F0,4,2.0
4/4,11,-2,major,Bb,major-seventh,G0,4,2.0
4/4,12,-2,major,G0,minor-ninth,F0,4,4.0
4/4,12,-2,major,G0,minor-ninth,rest,0,4.0
4/4,12,-2,major,G0,minor-ninth,rest,0,8.0
4/4,13,-2,major,Bb,major-seventh,rest,0,2.0
4/4,13,-2,major,Bb,major-seventh,Bb,3,2.0
4/4,13,-2,major,Bb,major-seventh,Bb,4,2.0
4/4,13,-2,major,Bb,major-seventh,A0,4,2.0
4/4,13,-2,major,Bb,major-seventh,A0,4,2.0
4/4,13,-2,major,Bb,major-seventh,F0,4,2.0
4/4,13,-2,major,Bb,major-seventh,D0,4,4.0
4/4,14,-2,major,G0,minor-ninth,rest,0,8.0
4/4,14,-2,major,G0,minor-ninth,rest,0,4.0
4/4,14,-2,major,G0,minor-ninth,rest,0,2.0
4/4,14,-2,major,G0,minor-ninth,G0,3,2.0
4/4,15,-2,major,D0,minor-seventh,D0,4,4.0
4/4,15,-2,major,D0,minor-seventh,F0,4,4.0
