time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,0,major,C0,major-seventh,rest,0,2.0
4/4,1,0,major,C0,major-seventh,G0,4,2.0
4/4,1,0,major,C0,major-seventh,E0,4,2.0
4/4,1,0,major,C0,major-seventh,F0,4,2.0
4/4,1,0,major,C0,major-seventh,G0,4,2.0
4/4,1,0,major,C0,major-seventh,A0,4,2.0
4/4,1,0,major,C0,major-seventh,B0,4,2.0
4/4,1,0,major,C0,major-seventh,C0,5,2.0
4/4,2,0,major,D0,minor-seventh,C0,5,2.0
4/4,2,0,major,D0,minor-seventh,G0,4,4.0
4/4,2,0,major,D0,minor-seventh,A0,4,2.0
4/4,2,0,major,D0,minor-seventh,B0,4,2.0
4/4,2,0,major,D0,minor-seventh,A0,4,2.0
4/4,2,0,major,D0,minor-seventh,E0,4,2.0
4/4,2,0,major,D0,minor-seventh,F0,4,2.0
4/4,3,0,major,C0,major-seventh,G0,4,2.0
4/4,3,0,major,C0,major-seventh,A0,4,2.0
4/4,3,0,major,C0,major-seventh,G0,4,2.0
4/4,3,0,major,C0,major-seventh,E0,4,2.0
4/4,3,0,major,C0,major-seventh,F0,4,2.0
4/4,3,0,major,C0,major-seventh,G0,4,2.0
4/4,3,0,major,C0,major-seventh,E0,4,2.0
4/4,3,0,major,C0,major-seventh,D0,4,2.0
4/4,4,0,major,G0,minor-seventh,rest,0,8.0
4/4,4,0,major,G0,minor-seventh,rest,0,2.0
4/4,4,0,major,G0,minor-seventh,C0,5,4.0
4/4,4,0,major,G0,minor-seventh,A0,4,2.0
4/4,5,0,major,F0,major-seventh,C0,5,4.0
4/4,5,0,major,F0,major-seventh,rest,0,2.0
4/4,5,0,major,F0,major-seventh,E0,4,2.0
4/4,5,0,major,F0,major-seventh,F0,4,2.0
4/4,5,0,major,F0,major-seventh,G0,4,2.0
4/4,5,0,major,F0,major-seventh,F0,4,2.0
4/4,5,0,major,F0,major-seventh,E0,4,2.0
4/4,6,0,major,F0,dominant,Eb,4,2.0
4/4,6,0,major,F0,dominant,G0,4,2.0
4/4,6,0,major,F0,dominant,A0,4,2.0
4/4,6,0,major,F0,dominant,B0,4,2.0
4/4,6,0,major,F0,dominant,B0,4,6.0
4/4,6,0,major,F0,dominant,A0,4,2.0
4/4,7,0,major,C0,major-seventh,G0,4,4.0
4/4,7,0,major,C0,major-seventh,rest,0,2.0
4/4,7,0,major,C0,major-seventh,Ab,4,2.0
4/4,7,0,major,C0,major-seventh,Ab,4,2.0
4/4,7,0,major,C0,major-seventh,C0,5,4.0
4/4,7,0,major,C0,major-seventh,D0,5,2.0
4/4,8,0,major,E0,minor-seventh,B0,4,2.0
4/4,8,0,major,E0,minor-seventh,G0,4,2.0
4/4,8,0,major,E0,minor-seventh,E0,4,2.0
4/4,8,0,major,E0,minor-seventh,Bb,4,2.0
4/4,8,0,major,E0,minor-seventh,Bb,4,6.0
4/4,8,0,major,E0,minor-seventh,G#,4,2.0
4/4,9,0,major,D0,minor-seventh,A0,4,4.0
4/4,9,0,major,D0,minor-seventh,rest,0,2.0
4/4,9,0,major,D0,minor-seventh,C0,5,2.0
4/4,9,0,major,D0,minor-seventh,E0,5,2.0
4/4,9,0,major,D0,minor-seventh,D0,5,2.0
4/4,9,0,major,D0,minor-seventh,C0,5,2.0
4/4,9,0,major,D0,minor-seventh,B0,4,2.0
4/4,10,0,major,G0,dominant,Ab,4,2.0
4/4,10,0,major,G0,dominant,F0,4,2.0
4/4,10,0,major,G0,dominant,G0,4,2.0
4/4,10,0,major,G0,dominant,F0,4,2.0
4/4,10,0,major,G0,dominant,rest,0,4.0
4/4,10,0,major,G0,dominant,rest,0,2.0
4/4,10,0,major,G0,dominant,G0,4,2.0
4/4,11,0,major,C0,major-seventh,E0,4,4.0
4/4,11,0,major,C0,major-seventh,rest,0,2.0
4/4,11,0,major,C0,major-seventh,G0,4,2.0
4/4,11,0,major,C0,major-seventh,F0,4,4.0
4/4,11,0,major,C0,major-seventh,rest,0,2.0
4/4,11,0,major,C0,major-seventh,A0,4,2.0
4/4,12,0,major,C0,major-seventh,G0,4,4.0
4/4,12,0,major,C0,major-seventh,rest,0,4.0
4/4,12,0,major,C0,major-seventh,rest,0,8.0
