time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/4,1,0,major,A0,minor,A0,4,6.0
2/4,1,0,major,A0,minor,B0,4,2.0
2/4,2,0,major,A0,minor,C0,5,4.0
2/4,2,0,major,A0,minor,C0,5,4.0
2/4,3,0,major,D0,minor,D0,5,2.0
2/4,3,0,major,D0,minor,C0,5,2.0
2/4,3,0,major,D0,minor,B0,4,2.0
2/4,3,0,major,D0,minor,A0,4,2.0
2/4,4,0,major,E0,major,B0,4,2.0
2/4,4,0,major,E0,major,B0,4,6.0
2/4,5,0,major,E0,major,B0,4,8.0
2/4,6,0,major,A0,minor,E0,5,4.0
2/4,6,0,major,A0,minor,E0,5,4.0
2/4,7,0,major,A0,minor,F0,5,4.0
2/4,7,0,major,A0,minor,E0,5,4.0
2/4,8,0,major,D0,minor,D0,5,2.0
2/4,8,0,major,D0,minor,D0,5,2.0
2/4,8,0,major,D0,minor,E0,5,2.0
2/4,8,0,major,D0,minor,D0,5,2.0
2/4,9,0,major,A0,minor,C0,5,2.0
2/4,9,0,major,A0,minor,B0,4,2.0
2/4,9,0,major,A0,minor,A0,4,4.0
2/4,10,0,major,A0,minor,A0,4,2.0
2/4,10,0,major,A0,minor,E0,4,2.0
2/4,10,0,major,A0,minor,A0,4,2.0
2/4,10,0,major,A0,minor,B0,4,2.0
2/4,11,0,major,E0,major,C0,5,2.0
2/4,11,0,major,E0,major,C0,5,2.0
2/4,11,0,major,E0,major,D0,5,2.0
2/4,11,0,major,E0,major,C0,5,2.0
2/4,12,0,major,A0,minor,B0,4,2.0
2/4,12,0,major,A0,minor,A0,4,6.0
2/4,13,0,major,A0,minor,A0,4,8.0
