time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,2,major,D0,major,F#,4,2.0
4/4,1,2,major,D0,major,A0,4,2.0
4/4,1,2,major,D0,major,D0,5,2.0
4/4,1,2,major,D0,major,D0,5,2.0
4/4,1,2,major,D0,major,D0,5,2.0
4/4,1,2,major,D0,major,E0,5,2.0
4/4,1,2,major,D0,major,D0,5,4.0
4/4,2,2,major,D0,major,F#,4,2.0
4/4,2,2,major,D0,major,A0,4,2.0
4/4,2,2,major,D0,major,D0,5,2.0
4/4,2,2,major,D0,major,D0,5,2.0
4/4,2,2,major,D0,major,D0,5,2.0
4/4,2,2,major,D0,major,E0,5,2.0
4/4,2,2,major,D0,major,D0,5,4.0
4/4,3,2,major,G0,major,D0,5,2.0
4/4,3,2,major,G0,major,D0,5,2.0
4/4,3,2,major,G0,major,D0,5,2.0
4/4,3,2,major,G0,major,D0,5,2.0
4/4,3,2,major,G0,major,F#,5,2.0
4/4,3,2,major,G0,major,D0,5,2.0
4/4,3,2,major,G0,major,E0,5,4.0
4/4,4,2,major,D0,major,D0,5,2.0
4/4,4,2,major,D0,major,B0,4,2.0
4/4,4,2,major,D0,major,A0,4,4.0
4/4,4,2,major,D0,major,rest,0,4.0
4/4,4,2,major,D0,major,rest,0,2.0
4/4,4,2,major,D0,major,A0,4,2.0
4/4,5,2,major,D0,major,F#,4,2.0
4/4,5,2,major,D0,major,B0,4,2.0
4/4,5,2,major,D0,major,D0,5,2.0
4/4,5,2,major,D0,major,D0,5,2.0
4/4,5,2,major,D0,major,D0,5,2.0
4/4,5,2,major,D0,major,E0,5,2.0
4/4,5,2,major,D0,major,D0,5,4.0
4/4,6,2,major,D0,major,F#,4,2.0
4/4,6,2,major,D0,major,A0,4,2.0
4/4,6,2,major,D0,major,D0,5,2.0
4/4,6,2,major,D0,major,D0,5,2.0
4/4,6,2,major,D0,major,E0,5,2.0
4/4,6,2,major,D0,major,F#,5,2.0
4/4,6,2,major,D0,major,E0,5,2.0
4/4,6,2,major,D0,major,D0,5,2.0
4/4,7,2,major,G0,major,D0,5,2.0
4/4,7,2,major,G0,major,D0,5,2.0
4/4,7,2,major,G0,major,D0,5,2.0
4/4,7,2,major,G0,major,D0,5,2.0
4/4,7,2,major,G0,major,F#,5,2.0
4/4,7,2,major,G0,major,F#,5,2.0
4/4,7,2,major,G0,major,D0,5,2.0
4/4,7,2,major,G0,major,E0,5,2.0
4/4,8,2,major,D0,major,D0,5,2.0
4/4,8,2,major,D0,major,B0,4,2.0
4/4,8,2,major,D0,major,A0,4,2.0
4/4,8,2,major,D0,major,A0,4,4.0
4/4,8,2,major,D0,major,rest,0,2.0
4/4,8,2,major,D0,major,rest,0,4.0
4/4,9,2,major,D0,major,rest,0,8.0
4/4,9,2,major,D0,major,rest,0,2.0
4/4,9,2,major,D0,major,B0,4,2.0
4/4,9,2,major,D0,major,D0,5,2.0
4/4,9,2,major,D0,major,F#,5,2.0
4/4,10,2,major,D0,major,F#,5,2.0
4/4,10,2,major,D0,major,rest,0,2.0
4/4,10,2,major,D0,major,rest,0,4.0
4/4,10,2,major,D0,major,rest,0,2.0
4/4,10,2,major,D0,major,D0,5,2.0
4/4,10,2,major,D0,major,D0,5,2.0
4/4,10,2,major,D0,major,B0,4,2.0
4/4,11,2,major,E0,minor,E0,5,2.0
4/4,11,2,major,E0,minor,A0,4,4.0
4/4,11,2,major,E0,minor,A0,4,2.0
4/4,11,2,major,E0,minor,rest,0,2.0
4/4,11,2,major,E0,minor,B0,4,2.0
4/4,11,2,major,E0,minor,D0,5,2.0
4/4,11,2,major,E0,minor,F#,5,2.0
4/4,12,2,major,D0,major,F#,5,2.0
4/4,12,2,major,D0,major,rest,0,2.0
4/4,12,2,major,D0,major,rest,0,4.0
4/4,12,2,major,D0,major,rest,0,2.0
4/4,12,2,major,D0,major,D0,5,2.0
4/4,12,2,major,D0,major,D0,5,2.0
4/4,12,2,major,D0,major,F#,5,2.0
4/4,13,2,major,E0,minor,E0,5,2.0
4/4,13,2,major,E0,minor,A0,4,4.0
4/4,13,2,major,E0,minor,A0,4,2.0
4/4,13,2,major,E0,minor,rest,0,4.0
4/4,13,2,major,E0,minor,B0,4,4.0
4/4,14,2,major,A0,major,A0,4,4.0
4/4,14,2,major,A0,major,rest,0,4.0
4/4,14,2,major,A0,major,rest,0,4.0
4/4,14,2,major,A0,major,B0,4,4.0
4/4,15,2,major,A0,major,A0,4,4.0
4/4,15,2,major,A0,major,rest,0,4.0
4/4,15,2,major,A0,major,rest,0,2.0
4/4,15,2,major,A0,major,A0,4,2.0
4/4,15,2,major,A0,major,B0,4,2.0
4/4,15,2,major,A0,major,A0,4,2.0
4/4,16,2,major,A0,major,A0,4,4.0
4/4,16,2,major,A0,major,rest,0,4.0
4/4,16,2,major,A0,major,rest,0,4.0
4/4,16,2,major,A0,major,B0,4,4.0
4/4,17,2,major,A0,major,A0,4,4.0
4/4,17,2,major,A0,major,rest,0,4.0
4/4,17,2,major,A0,major,rest,0,8.0
4/4,18,2,major,A0,major,A0,5,12.0
4/4,18,2,major,A0,major,A0,5,2.0
4/4,18,2,major,A0,major,A0,5,2.0
4/4,19,2,major,Bb,major,Bb,5,16.0
4/4,20,2,major,Bb,major,rest,0,16.0
4/4,21,-3,major,Eb,major,G0,4,2.0
4/4,21,-3,major,Eb,major,Bb,4,2.0
4/4,21,-3,major,Eb,major,Eb,5,2.0
4/4,21,-3,major,Eb,major,Eb,5,2.0
4/4,21,-3,major,Eb,major,Eb,5,2.0
4/4,21,-3,major,Eb,major,F0,5,2.0
4/4,21,-3,major,Eb,major,Eb,5,4.0
4/4,22,-3,major,Eb,major,rest,0,2.0
4/4,22,-3,major,Eb,major,G0,5,2.0
4/4,22,-3,major,Eb,major,G0,5,2.0
4/4,22,-3,major,Eb,major,G0,5,2.0
4/4,22,-3,major,Eb,major,F0,5,2.0
4/4,22,-3,major,Eb,major,Eb,5,2.0
4/4,22,-3,major,Eb,major,Eb,5,2.0
4/4,22,-3,major,Eb,major,C0,5,2.0
4/4,23,-3,major,Ab,major,Eb,5,2.0
4/4,23,-3,major,Ab,major,Eb,5,2.0
4/4,23,-3,major,Ab,major,Eb,5,2.0
4/4,23,-3,major,Ab,major,Eb,5,2.0
4/4,23,-3,major,Ab,major,G0,5,2.0
4/4,23,-3,major,Ab,major,G0,5,2.0
4/4,23,-3,major,Ab,major,Eb,5,2.0
4/4,23,-3,major,Ab,major,F0,5,2.0
4/4,24,-3,major,Eb,major,Eb,5,2.0
4/4,24,-3,major,Eb,major,C0,5,2.0
4/4,24,-3,major,Eb,major,Bb,4,2.0
4/4,24,-3,major,Eb,major,Bb,4,4.0
4/4,24,-3,major,Eb,major,rest,0,2.0
4/4,24,-3,major,Eb,major,rest,0,4.0
4/4,25,-3,major,Eb,major,G0,4,2.0
4/4,25,-3,major,Eb,major,Bb,4,2.0
4/4,25,-3,major,Eb,major,Eb,5,2.0
4/4,25,-3,major,Eb,major,F0,5,2.0
4/4,25,-3,major,Eb,major,F0,5,2.0
4/4,25,-3,major,Eb,major,Eb,5,2.0
4/4,25,-3,major,Eb,major,Eb,5,4.0
4/4,26,-3,major,Eb,major,rest,0,2.0
4/4,26,-3,major,Eb,major,G0,5,2.0
4/4,26,-3,major,Eb,major,F0,5,2.0
4/4,26,-3,major,Eb,major,G0,5,2.0
4/4,26,-3,major,Eb,major,F0,5,2.0
4/4,26,-3,major,Eb,major,Eb,5,2.0
4/4,26,-3,major,Eb,major,Eb,5,2.0
4/4,26,-3,major,Eb,major,F0,5,2.0
4/4,27,-3,major,Ab,major,rest,0,2.0
4/4,27,-3,major,Ab,major,G0,5,1.0
4/4,27,-3,major,Ab,major,F0,5,1.0
4/4,27,-3,major,Ab,major,Eb,5,1.0
4/4,27,-3,major,Ab,major,F0,5,1.0
4/4,27,-3,major,Ab,major,G0,5,2.0
4/4,27,-3,major,Ab,major,G0,5,2.0
4/4,27,-3,major,Ab,major,Eb,5,2.0
4/4,27,-3,major,Ab,major,Eb,5,2.0
4/4,27,-3,major,Ab,major,F0,5,2.0
4/4,28,-3,major,Eb,major,Eb,5,2.0
4/4,28,-3,major,Eb,major,C0,5,2.0
4/4,28,-3,major,Eb,major,Bb,4,2.0
4/4,28,-3,major,Eb,major,Bb,4,4.0
4/4,28,-3,major,Eb,major,Bb,5,2.0
4/4,28,-3,major,Eb,major,G0,5,2.0
4/4,28,-3,major,Eb,major,Eb,5,2.0
