time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,2,major,A0,dominant,C#,5,6.0
4/4,1,2,major,A0,dominant,B#,4,2.0
4/4,1,2,major,A0,dominant,C#,5,8.0
4/4,2,2,major,C0,diminished,C#,5,8.0
4/4,2,2,major,C0,diminished,C0,5,8.0
4/4,3,2,major,A0,dominant-ninth,B0,4,8.0
4/4,3,2,major,A0,dominant-ninth,B0,4,8.0
4/4,4,2,major,A0,dominant-ninth,B0,4,12.0
4/4,4,2,major,A0,dominant-ninth,rest,0,4.0
4/4,5,2,major,D0,major,B0,4,6.0
4/4,5,2,major,D0,major,A#,4,2.0
4/4,5,2,major,D0,major,B0,4,8.0
4/4,6,2,major,Bb,dominant,B0,4,8.0
4/4,6,2,major,Bb,dominant,Bb,4,8.0
4/4,7,2,major,D0,major,A0,4,16.0
4/4,8,2,major,D0,major,A0,4,12.0
4/4,8,2,major,D0,major,rest,0,4.0
4/4,9,2,major,A0,dominant,A0,4,6.0
4/4,9,2,major,A0,dominant,G#,4,2.0
4/4,9,2,major,A0,dominant,A0,4,8.0
4/4,10,2,major,Ab,dominant,A0,4,8.0
4/4,10,2,major,Ab,dominant,Ab,4,8.0
4/4,11,2,major,E0,minor-seventh,G0,4,4.0
4/4,11,2,major,E0,minor-seventh,D0,5,4.0
4/4,11,2,major,E0,minor-seventh,rest,0,4.0
4/4,11,2,major,E0,minor-seventh,G0,4,4.0
4/4,12,2,major,A0,dominant,F#,4,12.0
4/4,12,2,major,A0,dominant,A0,4,4.0
4/4,13,2,major,D0,major,E0,4,16.0
4/4,14,2,major,D0,major,D0,4,16.0
4/4,15,2,major,D0,major,C#,4,4.0
4/4,15,2,major,D0,major,A0,4,4.0
4/4,15,2,major,D0,major,rest,0,4.0
4/4,15,2,major,D0,major,C#,4,4.0
4/4,16,2,major,F0,diminished,B0,3,8.0
4/4,16,2,major,F0,diminished,A0,3,8.0
4/4,17,2,major,A0,dominant,C#,5,6.0
4/4,17,2,major,A0,dominant,B#,4,2.0
4/4,17,2,major,A0,dominant,C#,5,8.0
4/4,18,2,major,C0,diminished,C#,5,8.0
4/4,18,2,major,C0,diminished,C0,5,8.0
4/4,19,2,major,A0,dominant-ninth,B0,4,8.0
4/4,19,2,major,A0,dominant-ninth,B0,4,8.0
4/4,20,2,major,A0,dominant-ninth,B0,4,12.0
4/4,20,2,major,A0,dominant-ninth,rest,0,4.0
4/4,21,2,major,C#,dominant,B0,4,6.0
4/4,21,2,major,C#,dominant,A#,4,2.0
4/4,21,2,major,C#,dominant,B0,4,8.0
4/4,22,2,major,C#,dominant,D0,5,12.0
4/4,22,2,major,C#,dominant,C#,5,4.0
4/4,23,2,major,F#,dominant,F#,4,16.0
4/4,24,2,major,F0,diminished,F#,4,8.0
4/4,24,2,major,F0,diminished,E#,4,4.0
4/4,24,2,major,F0,diminished,E0,4,4.0
4/4,25,2,major,B0,dominant,D#,4,4.0
4/4,25,2,major,B0,dominant,E0,4,4.0
4/4,25,2,major,B0,dominant,F#,4,8.0
4/4,26,2,major,D#,diminished,A0,4,4.0
4/4,26,2,major,D#,diminished,G0,4,4.0
4/4,26,2,major,D#,diminished,rest,0,4.0
4/4,26,2,major,D#,diminished,G#,4,4.0
4/4,27,2,major,D0,major,B0,4,4.0
4/4,27,2,major,D0,major,A0,4,4.0
4/4,27,2,major,D0,major,rest,0,4.0
4/4,27,2,major,D0,major,A#,4,4.0
4/4,28,2,major,Bb,minor-sixth,C#,5,4.0
4/4,28,2,major,Bb,minor-sixth,B0,4,4.0
4/4,28,2,major,Bb,minor-sixth,A#,4,4.0
4/4,28,2,major,Bb,minor-sixth,B0,4,4.0
4/4,29,2,major,E0,dominant,E0,5,16.0
4/4,30,2,major,G0,major-sixth,D0,5,6.0
4/4,30,2,major,G0,major-sixth,B0,4,2.0
4/4,30,2,major,G0,major-sixth,C#,5,8.0
4/4,31,2,major,D0,major,D0,5,16.0
4/4,32,2,major,F0,dominant,D0,5,4.0
4/4,32,2,major,F0,dominant,rest,0,4.0
4/4,32,2,major,F0,dominant,rest,0,8.0
4/4,33,2,major,D0,major,D0,5,16.0
4/4,34,2,major,F0,major,D0,5,16.0
4/4,35,2,major,D0,major,D0,5,16.0
4/4,36,2,major,F0,major,D0,5,16.0
4/4,37,2,major,Bb,major,D0,5,16.0
4/4,38,2,major,C#,major,D0,5,16.0
4/4,39,2,major,D0,major,D0,5,4.0
4/4,39,2,major,D0,major,rest,0,4.0
4/4,39,2,major,D0,major,rest,0,8.0
