time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-1,minor,D0,minor,A0,4,1.33333333333
3/4,1,-1,minor,D0,minor,Bb,4,1.33333333333
3/4,1,-1,minor,D0,minor,A0,4,1.33333333333
3/4,1,-1,minor,D0,minor,D0,5,6.0
3/4,1,-1,minor,D0,minor,A0,4,2.0
3/4,2,-1,minor,G0,minor,G0,4,1.33333333333
3/4,2,-1,minor,G0,minor,A0,4,1.33333333333
3/4,2,-1,minor,G0,minor,G0,4,1.33333333333
3/4,2,-1,minor,G0,minor,D0,5,6.0
3/4,2,-1,minor,G0,minor,G0,4,2.0
3/4,3,-1,minor,A0,dominant,A0,4,6.0
3/4,3,-1,minor,A0,dominant,G0,4,2.0
3/4,3,-1,minor,A0,dominant,G0,4,1.33333333333
3/4,3,-1,minor,A0,dominant,F0,4,1.33333333333
3/4,3,-1,minor,A0,dominant,E0,4,1.33333333333
3/4,4,-1,minor,D0,minor,F0,4,8.0
3/4,4,-1,minor,D0,minor,rest,0,4.0
3/4,5,-1,minor,A0,dominant,A0,5,6.0
3/4,5,-1,minor,A0,dominant,G0,5,2.0
3/4,5,-1,minor,A0,dominant,G0,5,1.33333333333
3/4,5,-1,minor,A0,dominant,F0,5,1.33333333333
3/4,5,-1,minor,A0,dominant,E0,5,1.33333333333
3/4,6,-1,minor,D0,minor,F0,5,12.0
3/4,7,-1,minor,D0,minor,A0,4,1.33333333333
3/4,7,-1,minor,D0,minor,Bb,4,1.33333333333
3/4,7,-1,minor,D0,minor,A0,4,1.33333333333
3/4,7,-1,minor,D0,minor,F0,5,6.0
3/4,7,-1,minor,D0,minor,A0,4,2.0
3/4,8,-1,minor,G0,minor,G0,4,1.33333333333
3/4,8,-1,minor,G0,minor,A0,4,1.33333333333
3/4,8,-1,minor,G0,minor,G0,4,1.33333333333
3/4,8,-1,minor,G0,minor,E0,5,6.0
3/4,8,-1,minor,G0,minor,D0,5,2.0
3/4,9,-1,minor,C0,dominant,C0,5,6.0
3/4,9,-1,minor,C0,dominant,Bb,4,2.0
3/4,9,-1,minor,C0,dominant,Bb,4,1.33333333333
3/4,9,-1,minor,C0,dominant,A0,4,1.33333333333
3/4,9,-1,minor,C0,dominant,G0,4,1.33333333333
3/4,10,-1,minor,F0,major,A0,4,8.0
3/4,10,-1,minor,F0,major,rest,0,2.0
3/4,10,-1,minor,F0,major,D0,5,2.0
3/4,11,-1,minor,C0,dominant,C0,5,6.0
3/4,11,-1,minor,C0,dominant,Bb,4,2.0
3/4,11,-1,minor,C0,dominant,Bb,4,1.33333333333
3/4,11,-1,minor,C0,dominant,A0,4,1.33333333333
3/4,11,-1,minor,C0,dominant,G0,4,1.33333333333
3/4,12,-1,minor,F0,major,A0,4,12.0
3/4,13,-1,minor,A0,dominant,A0,4,3.0
3/4,13,-1,minor,A0,dominant,C#,5,1.0
3/4,13,-1,minor,A0,dominant,F0,5,6.0
3/4,13,-1,minor,A0,dominant,E0,5,2.0
3/4,14,-1,minor,D0,minor,D0,5,3.0
3/4,14,-1,minor,D0,minor,A0,4,1.0
3/4,14,-1,minor,D0,minor,F0,4,6.0
3/4,14,-1,minor,D0,minor,D0,4,2.0
3/4,15,-1,minor,G0,minor,Bb,4,1.33333333333
3/4,15,-1,minor,G0,minor,A0,4,1.33333333333
3/4,15,-1,minor,G0,minor,Bb,4,1.33333333333
3/4,15,-1,minor,G0,minor,D0,5,6.0
3/4,15,-1,minor,G0,minor,Bb,4,2.0
3/4,16,-1,minor,D0,minor,A0,4,8.0
3/4,16,-1,minor,D0,minor,rest,0,4.0
3/4,17,-1,minor,G0,minor,Bb,4,1.33333333333
3/4,17,-1,minor,G0,minor,A0,4,1.33333333333
3/4,17,-1,minor,G0,minor,Bb,4,1.33333333333
3/4,17,-1,minor,G0,minor,D0,5,6.0
3/4,17,-1,minor,G0,minor,Bb,4,2.0
3/4,18,-1,minor,D0,minor,A0,4,12.0
3/4,19,-1,minor,A0,dominant,A0,4,3.0
3/4,19,-1,minor,A0,dominant,C#,5,1.0
3/4,19,-1,minor,A0,dominant,F0,5,6.0
3/4,19,-1,minor,A0,dominant,E0,5,2.0
3/4,20,-1,minor,D0,major,D0,5,3.0
3/4,20,-1,minor,D0,major,A0,4,1.0
3/4,20,-1,minor,D0,major,F#,4,6.0
3/4,20,-1,minor,D0,major,D0,4,2.0
3/4,21,-1,minor,G0,major,B0,4,1.33333333333
3/4,21,-1,minor,G0,major,A#,4,1.33333333333
3/4,21,-1,minor,G0,major,B0,4,1.33333333333
3/4,21,-1,minor,G0,major,D0,5,6.0
3/4,21,-1,minor,G0,major,B0,4,2.0
3/4,22,-1,minor,D0,major,A0,4,12.0
3/4,23,-1,minor,A0,dominant,G0,5,1.33333333333
3/4,23,-1,minor,A0,dominant,F#,5,1.33333333333
3/4,23,-1,minor,A0,dominant,G0,5,1.33333333333
3/4,23,-1,minor,A0,dominant,B0,5,6.0
3/4,23,-1,minor,A0,dominant,G0,5,2.0
3/4,24,-1,minor,D0,major,F#,5,12.0
3/4,25,-1,minor,G0,minor,Bb,4,8.0
3/4,25,-1,minor,G0,minor,D0,5,3.0
3/4,25,-1,minor,G0,minor,Bb,4,1.0
3/4,26,-1,minor,D0,major,A0,4,6.0
3/4,26,-1,minor,D0,major,A0,4,2.0
3/4,26,-1,minor,D0,major,A0,4,2.0
3/4,26,-1,minor,D0,major,A0,4,2.0
3/4,27,-1,minor,A0,dominant,A0,4,6.0
3/4,27,-1,minor,A0,dominant,A0,4,2.0
3/4,27,-1,minor,A0,dominant,A0,4,2.0
3/4,27,-1,minor,A0,dominant,A0,4,2.0
3/4,28,-1,minor,D0,major,A0,4,8.0
3/4,28,-1,minor,D0,major,A0,4,4.0
3/4,29,-1,minor,G0,major,B0,4,8.0
3/4,29,-1,minor,G0,major,D0,5,3.0
3/4,29,-1,minor,G0,major,B0,4,1.0
3/4,30,-1,minor,D0,major,A0,4,6.0
3/4,30,-1,minor,D0,major,A0,4,2.0
3/4,30,-1,minor,D0,major,A0,4,2.0
3/4,30,-1,minor,D0,major,A0,4,2.0
3/4,31,-1,minor,A0,dominant,A0,4,6.0
3/4,31,-1,minor,A0,dominant,A0,4,2.0
3/4,31,-1,minor,A0,dominant,A0,4,2.0
3/4,31,-1,minor,A0,dominant,A0,4,2.0
3/4,32,-1,minor,D0,major,A0,4,12.0
