time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,0,-4,major,[],[],B0,4,6.0
4/4,1,-4,major,Bb,minor-seventh,C0,5,4.0
4/4,1,-4,major,Bb,minor-seventh,rest,0,4.0
4/4,1,-4,major,Bb,minor-seventh,Bb,4,2.0
4/4,1,-4,major,Bb,minor-seventh,C0,5,4.0
4/4,1,-4,major,Bb,minor-seventh,Eb,5,2.0
4/4,2,-4,major,Eb,dominant,Eb,5,2.0
4/4,2,-4,major,Eb,dominant,C0,5,6.0
4/4,2,-4,major,Eb,dominant,Bb,4,4.0
4/4,2,-4,major,Eb,dominant,C0,5,4.0
4/4,3,-4,major,Bb,minor-seventh,F0,4,4.0
4/4,3,-4,major,Bb,minor-seventh,Bb,4,4.0
4/4,3,-4,major,Bb,minor-seventh,C0,5,2.0
4/4,3,-4,major,Bb,minor-seventh,Bb,4,4.0
4/4,3,-4,major,Bb,minor-seventh,C0,5,2.0
4/4,4,-4,major,Eb,dominant,rest,0,4.0
4/4,4,-4,major,Eb,dominant,rest,0,4.0
4/4,4,-4,major,Eb,dominant,rest,0,2.0
4/4,4,-4,major,Eb,dominant,A0,4,6.0
4/4,5,-4,major,Ab,minor,Bb,4,4.0
4/4,5,-4,major,Ab,minor,rest,0,4.0
4/4,5,-4,major,Ab,minor,Ab,4,2.0
4/4,5,-4,major,Ab,minor,Bb,4,4.0
4/4,5,-4,major,Ab,minor,Eb,5,2.0
4/4,6,-4,major,Db,dominant,Eb,5,2.0
4/4,6,-4,major,Db,dominant,Bb,4,6.0
4/4,6,-4,major,Db,dominant,Ab,4,4.0
4/4,6,-4,major,Db,dominant,Bb,4,4.0
4/4,7,-4,major,C0,minor-seventh,Eb,4,4.0
4/4,7,-4,major,C0,minor-seventh,Ab,4,4.0
4/4,7,-4,major,C0,minor-seventh,Bb,4,2.0
4/4,7,-4,major,C0,minor-seventh,Ab,4,4.0
4/4,7,-4,major,C0,minor-seventh,Bb,4,2.0
4/4,8,-4,major,B0,diminished,rest,0,4.0
4/4,8,-4,major,B0,diminished,rest,0,4.0
4/4,8,-4,major,B0,diminished,rest,0,2.0
4/4,8,-4,major,B0,diminished,A0,4,6.0
4/4,9,-4,major,Bb,minor-seventh,Ab,4,4.0
4/4,9,-4,major,Bb,minor-seventh,rest,0,4.0
4/4,9,-4,major,Bb,minor-seventh,F0,4,2.0
4/4,9,-4,major,Bb,minor-seventh,Ab,4,2.0
4/4,9,-4,major,Bb,minor-seventh,C0,5,2.0
4/4,9,-4,major,Bb,minor-seventh,Eb,5,2.0
4/4,10,-4,major,Eb,dominant,Eb,5,8.0
4/4,10,-4,major,Eb,dominant,rest,0,2.0
4/4,10,-4,major,Eb,dominant,Cb,5,6.0
4/4,11,-4,major,C0,minor-seventh,Bb,4,4.0
4/4,11,-4,major,C0,minor-seventh,rest,0,4.0
4/4,11,-4,major,C0,minor-seventh,G0,4,2.0
4/4,11,-4,major,C0,minor-seventh,Bb,4,2.0
4/4,11,-4,major,C0,minor-seventh,D0,5,2.0
4/4,11,-4,major,C0,minor-seventh,F0,5,2.0
4/4,12,-4,major,F0,dominant,F0,5,8.0
4/4,12,-4,major,F0,dominant,rest,0,4.0
4/4,12,-4,major,F0,dominant,Db,5,2.0
4/4,12,-4,major,F0,dominant,C0,5,2.0
4/4,13,-4,major,D0,minor-seventh,rest,0,8.0
4/4,13,-4,major,D0,minor-seventh,A0,4,2.0
4/4,13,-4,major,D0,minor-seventh,C0,5,2.0
4/4,13,-4,major,D0,minor-seventh,E0,5,2.0
4/4,13,-4,major,D0,minor-seventh,G0,5,2.0
4/4,14,-4,major,G0,dominant,G0,5,8.0
4/4,14,-4,major,G0,dominant,rest,0,2.0
4/4,14,-4,major,G0,dominant,E0,5,6.0
