time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,1,-1,major,F0,maj,C0,5,12.0
6/8,2,-1,major,D0,min,rest,0,4.0
6/8,2,-1,major,D0,min,A0,4,2.0
6/8,2,-1,major,D0,min,G0,4,4.0
6/8,2,-1,major,D0,min,F0,4,2.0
6/8,3,-1,major,Bb,min,G0,4,2.0
6/8,3,-1,major,Bb,min,F0,4,2.0
6/8,3,-1,major,Bb,min,Db,4,2.0
6/8,3,-1,major,Bb,min,Db,4,6.0
6/8,4,-1,major,C0,7,rest,0,6.0
6/8,4,-1,major,C0,7,rest,0,4.0
6/8,4,-1,major,C0,7,C0,4,2.0
6/8,5,-1,major,F0,maj,C0,5,12.0
6/8,6,-1,major,D0,min,rest,0,4.0
6/8,6,-1,major,D0,min,A0,4,2.0
6/8,6,-1,major,D0,min,G0,4,4.0
6/8,6,-1,major,D0,min,F0,4,2.0
6/8,7,-1,major,Bb,min,G0,4,2.0
6/8,7,-1,major,Bb,min,F0,4,2.0
6/8,7,-1,major,Bb,min,Db,4,2.0
6/8,7,-1,major,Bb,min,Db,4,6.0
6/8,8,-1,major,C0,7,rest,0,12.0
6/8,9,-1,major,F0,maj7,F0,5,4.0
6/8,9,-1,major,F0,maj7,E0,5,2.0
6/8,9,-1,major,F0,maj7,D0,5,2.0
6/8,9,-1,major,F0,maj7,E0,5,2.0
6/8,9,-1,major,F0,maj7,D0,5,2.0
6/8,10,-1,major,D0,min,A0,4,2.0
6/8,10,-1,major,D0,min,G0,4,2.0
6/8,10,-1,major,D0,min,F0,4,2.0
6/8,10,-1,major,D0,min,F0,4,4.0
6/8,10,-1,major,D0,min,F0,4,2.0
6/8,11,-1,major,Bb,min,G0,4,2.0
6/8,11,-1,major,Bb,min,F0,4,2.0
6/8,11,-1,major,Bb,min,Db,4,2.0
6/8,11,-1,major,Bb,min,Db,4,6.0
6/8,12,-1,major,C0,7,rest,0,12.0
6/8,13,-1,major,G0,min,G0,4,6.0
6/8,13,-1,major,G0,min,G0,4,2.0
6/8,13,-1,major,G0,min,rest,0,2.0
6/8,13,-1,major,G0,min,A0,4,2.0
6/8,14,-1,major,G0,min,G0,4,6.0
6/8,14,-1,major,G0,min,G0,4,2.0
6/8,14,-1,major,G0,min,rest,0,2.0
6/8,14,-1,major,G0,min,A0,4,2.0
6/8,15,-1,major,C0,maj,C0,5,2.0
6/8,15,-1,major,C0,maj,A0,4,2.0
6/8,15,-1,major,C0,maj,G0,4,2.0
6/8,15,-1,major,C0,maj,G0,4,6.0
6/8,16,-1,major,C0,maj,rest,0,12.0
6/8,17,-1,major,F0,maj,C0,5,12.0
6/8,18,-1,major,D0,min,rest,0,4.0
6/8,18,-1,major,D0,min,A0,4,2.0
6/8,18,-1,major,D0,min,G0,4,4.0
6/8,18,-1,major,D0,min,F0,4,2.0
6/8,19,-1,major,Bb,min,G0,4,2.0
6/8,19,-1,major,Bb,min,F0,4,2.0
6/8,19,-1,major,Bb,min,Db,4,2.0
6/8,19,-1,major,Bb,min,Db,4,6.0
6/8,20,-1,major,C0,7,rest,0,6.0
6/8,20,-1,major,C0,7,rest,0,4.0
6/8,20,-1,major,C0,7,C0,4,2.0
6/8,21,-1,major,F0,maj,C0,5,12.0
6/8,22,-1,major,D0,min,rest,0,4.0
6/8,22,-1,major,D0,min,A0,4,2.0
6/8,22,-1,major,D0,min,G0,4,4.0
6/8,22,-1,major,D0,min,F0,4,2.0
6/8,23,-1,major,Bb,min,G0,4,2.0
6/8,23,-1,major,Bb,min,F0,4,2.0
6/8,23,-1,major,Bb,min,Db,4,2.0
6/8,23,-1,major,Bb,min,Db,4,6.0
6/8,24,-1,major,C0,7,rest,0,12.0
6/8,25,-1,major,F0,maj7,F0,5,4.0
6/8,25,-1,major,F0,maj7,E0,5,2.0
6/8,25,-1,major,F0,maj7,D0,5,2.0
6/8,25,-1,major,F0,maj7,E0,5,2.0
6/8,25,-1,major,F0,maj7,D0,5,2.0
6/8,26,-1,major,D0,min,A0,4,2.0
6/8,26,-1,major,D0,min,G0,4,2.0
6/8,26,-1,major,D0,min,F0,4,2.0
6/8,26,-1,major,D0,min,F0,4,4.0
6/8,26,-1,major,D0,min,F0,4,2.0
6/8,27,-1,major,Bb,min,G0,4,2.0
6/8,27,-1,major,Bb,min,F0,4,2.0
6/8,27,-1,major,Bb,min,Db,4,2.0
6/8,27,-1,major,Bb,min,Db,4,6.0
6/8,28,-1,major,C0,7,rest,0,12.0
6/8,29,-1,major,G0,min,G0,4,6.0
6/8,29,-1,major,G0,min,G0,4,2.0
6/8,29,-1,major,G0,min,rest,0,2.0
6/8,29,-1,major,G0,min,A0,4,2.0
6/8,30,-1,major,C0,7,G0,4,6.0
6/8,30,-1,major,C0,7,G0,4,2.0
6/8,30,-1,major,C0,7,rest,0,2.0
6/8,30,-1,major,C0,7,A0,4,2.0
6/8,31,-1,major,F0,maj,A0,4,2.0
6/8,31,-1,major,F0,maj,G0,4,2.0
6/8,31,-1,major,F0,maj,F0,4,2.0
6/8,31,-1,major,F0,maj,F0,4,6.0
6/8,32,-1,major,G0,min,rest,0,12.0
6/8,33,-1,major,Bb,maj,rest,0,6.0
