time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-4,major,Bb,min,rest,0,4.0
4/4,1,-4,major,Bb,min,F0,5,2.0
4/4,1,-4,major,Bb,min,Eb,5,2.0
4/4,1,-4,major,Bb,min,rest,0,2.0
4/4,1,-4,major,Bb,min,Db,5,2.0
4/4,1,-4,major,Bb,min,rest,0,2.0
4/4,1,-4,major,Bb,min,Eb,5,2.0
4/4,2,-4,major,Bb,min,rest,0,2.0
4/4,2,-4,major,Bb,min,Db,5,2.0
4/4,2,-4,major,Bb,min,rest,0,2.0
4/4,2,-4,major,Bb,min,Eb,5,2.0
4/4,2,-4,major,Bb,min,rest,0,2.0
4/4,2,-4,major,Bb,min,F0,5,2.0
4/4,2,-4,major,Bb,min,rest,0,4.0
4/4,3,-4,major,Db,maj,rest,0,2.0
4/4,3,-4,major,Db,maj,Ab,5,2.0
4/4,3,-4,major,Db,maj,Eb,5,2.0
4/4,3,-4,major,Db,maj,F0,5,2.0
4/4,3,-4,major,Db,maj,F0,5,4.0
4/4,3,-4,major,Db,maj,rest,0,4.0
4/4,4,-4,major,Ab,maj,rest,0,2.0
4/4,4,-4,major,Ab,maj,C0,5,2.0
4/4,4,-4,major,Ab,maj,Ab,4,2.0
4/4,4,-4,major,Ab,maj,F0,4,2.0
4/4,4,-4,major,Ab,maj,F0,4,4.0
4/4,4,-4,major,Ab,maj,rest,0,4.0
4/4,5,-4,major,Bb,min,rest,0,4.0
4/4,5,-4,major,Bb,min,F0,5,2.0
4/4,5,-4,major,Bb,min,Eb,5,2.0
4/4,5,-4,major,Bb,min,rest,0,2.0
4/4,5,-4,major,Bb,min,Db,5,2.0
4/4,5,-4,major,Bb,min,rest,0,2.0
4/4,5,-4,major,Bb,min,Eb,5,2.0
4/4,6,-4,major,Bb,min,rest,0,2.0
4/4,6,-4,major,Bb,min,Db,5,2.0
4/4,6,-4,major,Bb,min,rest,0,2.0
4/4,6,-4,major,Bb,min,Eb,5,2.0
4/4,6,-4,major,Bb,min,rest,0,2.0
4/4,6,-4,major,Bb,min,F0,5,2.0
4/4,6,-4,major,Bb,min,rest,0,4.0
4/4,7,-4,major,Db,maj,rest,0,2.0
4/4,7,-4,major,Db,maj,Ab,5,2.0
4/4,7,-4,major,Db,maj,Eb,5,2.0
4/4,7,-4,major,Db,maj,F0,5,2.0
4/4,7,-4,major,Db,maj,F0,5,4.0
4/4,7,-4,major,Db,maj,rest,0,4.0
4/4,8,-4,major,Ab,maj,C0,5,2.0
4/4,8,-4,major,Ab,maj,Ab,4,2.0
4/4,8,-4,major,Ab,maj,Eb,4,2.0
4/4,8,-4,major,Ab,maj,F0,4,2.0
4/4,8,-4,major,Ab,maj,F0,4,4.0
4/4,8,-4,major,Ab,maj,Bb,3,2.0
4/4,8,-4,major,Ab,maj,Db,4,2.0
4/4,9,-4,major,Eb,min,Eb,4,2.0
4/4,9,-4,major,Eb,min,Eb,4,2.0
4/4,9,-4,major,Eb,min,Eb,4,2.0
4/4,9,-4,major,Eb,min,Db,4,2.0
4/4,9,-4,major,Eb,min,Bb,3,4.0
4/4,9,-4,major,Eb,min,rest,0,2.0
4/4,9,-4,major,Eb,min,C0,4,2.0
4/4,10,-4,major,Gb,maj,Eb,4,2.0
4/4,10,-4,major,Gb,maj,Eb,4,2.0
4/4,10,-4,major,Gb,maj,Eb,4,2.0
4/4,10,-4,major,Gb,maj,Db,4,2.0
4/4,10,-4,major,Gb,maj,Bb,3,4.0
4/4,10,-4,major,Gb,maj,rest,0,2.0
4/4,10,-4,major,Gb,maj,Ab,3,2.0
4/4,11,-4,major,Bb,min7,Ab,4,4.0
4/4,11,-4,major,Bb,min7,Ab,4,2.0
4/4,11,-4,major,Bb,min7,Ab,4,4.0
4/4,11,-4,major,Bb,min7,Ab,4,2.0
4/4,11,-4,major,Bb,min7,Ab,4,2.0
4/4,11,-4,major,Bb,min7,F0,4,1.0
4/4,11,-4,major,Bb,min7,Eb,4,1.0
4/4,12,-4,major,Db,maj,Db,4,8.0
4/4,12,-4,major,Db,maj,rest,0,2.0
4/4,12,-4,major,Db,maj,Ab,3,2.0
4/4,12,-4,major,Db,maj,Bb,3,2.0
4/4,12,-4,major,Db,maj,C0,4,2.0
4/4,13,-4,major,Eb,min,Eb,4,2.0
4/4,13,-4,major,Eb,min,Eb,4,2.0
4/4,13,-4,major,Eb,min,Db,4,2.0
4/4,13,-4,major,Eb,min,Eb,4,1.0
4/4,13,-4,major,Eb,min,Db,4,1.0
4/4,13,-4,major,Eb,min,Bb,3,4.0
4/4,13,-4,major,Eb,min,rest,0,2.0
4/4,13,-4,major,Eb,min,C0,4,2.0
4/4,14,-4,major,Gb,maj,Db,4,2.0
4/4,14,-4,major,Gb,maj,Eb,4,2.0
4/4,14,-4,major,Gb,maj,Db,4,2.0
4/4,14,-4,major,Gb,maj,Eb,4,1.0
4/4,14,-4,major,Gb,maj,Db,4,1.0
4/4,14,-4,major,Gb,maj,Bb,3,4.0
4/4,14,-4,major,Gb,maj,rest,0,4.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,F0,4,2.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,Ab,4,2.0
4/4,15,-4,major,Bb,min7,F0,4,1.0
4/4,15,-4,major,Bb,min7,Eb,4,1.0
4/4,16,-4,major,Db,maj,Db,4,6.0
4/4,16,-4,major,Db,maj,rest,0,2.0
4/4,16,-4,major,Db,maj,F0,4,4.0
4/4,16,-4,major,Db,maj,Ab,4,4.0
4/4,17,-4,major,Bb,min,Bb,4,2.0
4/4,17,-4,major,Bb,min,Bb,4,2.0
4/4,17,-4,major,Bb,min,Ab,4,2.0
4/4,17,-4,major,Bb,min,Bb,4,1.0
4/4,17,-4,major,Bb,min,Ab,4,1.0
4/4,17,-4,major,Bb,min,F0,4,4.0
4/4,17,-4,major,Bb,min,F0,4,2.0
4/4,17,-4,major,Bb,min,Ab,4,2.0
4/4,18,-4,major,Bb,min,Bb,4,2.0
4/4,18,-4,major,Bb,min,Bb,4,2.0
4/4,18,-4,major,Bb,min,Ab,4,2.0
4/4,18,-4,major,Bb,min,Bb,4,1.0
4/4,18,-4,major,Bb,min,Ab,4,1.0
4/4,18,-4,major,Bb,min,F0,4,4.0
4/4,18,-4,major,Bb,min,Eb,4,2.0
4/4,18,-4,major,Bb,min,Db,4,2.0
4/4,19,-4,major,Gb,maj,Eb,4,4.0
4/4,19,-4,major,Gb,maj,Db,4,2.0
4/4,19,-4,major,Gb,maj,Eb,4,4.0
4/4,19,-4,major,Gb,maj,Db,4,2.0
4/4,19,-4,major,Gb,maj,Fb,4,2.0
4/4,19,-4,major,Gb,maj,Eb,4,2.0
4/4,20,-4,major,Gb,maj,Eb,4,1.0
4/4,20,-4,major,Gb,maj,Db,4,1.0
4/4,20,-4,major,Gb,maj,Bb,3,2.0
4/4,20,-4,major,Gb,maj,Bb,3,4.0
4/4,20,-4,major,Gb,maj,rest,0,2.0
4/4,20,-4,major,Gb,maj,Ab,3,2.0
4/4,20,-4,major,Gb,maj,Bb,3,2.0
4/4,20,-4,major,Gb,maj,Db,4,2.0
4/4,21,-4,major,Eb,min,Eb,4,6.0
4/4,21,-4,major,Eb,min,F0,4,2.0
4/4,21,-4,major,Eb,min,rest,0,2.0
4/4,21,-4,major,Eb,min,Ab,3,2.0
4/4,21,-4,major,Eb,min,Bb,3,2.0
4/4,21,-4,major,Eb,min,Db,4,2.0
4/4,22,-4,major,Eb,min,Eb,4,4.0
4/4,22,-4,major,Eb,min,rest,0,2.0
4/4,22,-4,major,Eb,min,Fb,4,4.0
4/4,22,-4,major,Eb,min,Eb,4,6.0
4/4,23,-4,major,Ab,maj,rest,0,8.0
4/4,23,-4,major,Ab,maj,F0,4,2.0
4/4,23,-4,major,Ab,maj,Ab,4,2.0
4/4,23,-4,major,Ab,maj,F0,4,2.0
4/4,23,-4,major,Ab,maj,Ab,4,2.0
4/4,24,-4,major,Ab,maj,Ab,4,2.0
4/4,24,-4,major,Ab,maj,F0,4,2.0
4/4,24,-4,major,Ab,maj,Db,4,2.0
4/4,24,-4,major,Ab,maj,Eb,4,2.0
4/4,24,-4,major,Ab,maj,Eb,4,8.0
4/4,25,-4,major,Ab,7,rest,0,2.0
4/4,25,-4,major,Ab,7,E0,4,2.0
4/4,25,-4,major,Ab,7,E0,4,2.0
4/4,25,-4,major,Ab,7,E0,4,2.0
4/4,25,-4,major,Ab,7,F0,4,2.0
4/4,25,-4,major,Ab,7,Eb,4,2.0
4/4,25,-4,major,Ab,7,Db,4,2.0
4/4,25,-4,major,Ab,7,Bb,3,2.0
4/4,26,-4,major,Db,maj,Eb,4,6.0
4/4,26,-4,major,Db,maj,Db,4,2.0
4/4,26,-4,major,Db,maj,Db,4,8.0
4/4,27,-4,major,Db,min,rest,0,2.0
4/4,27,-4,major,Db,min,Fb,4,2.0
4/4,27,-4,major,Db,min,Fb,4,2.0
4/4,27,-4,major,Db,min,Fb,4,2.0
4/4,27,-4,major,Db,min,Fb,4,2.0
4/4,27,-4,major,Db,min,Eb,4,2.0
4/4,27,-4,major,Db,min,Eb,4,2.0
4/4,27,-4,major,Db,min,Db,4,2.0
4/4,28,-4,major,Bb,min,Eb,4,4.0
4/4,28,-4,major,Bb,min,Db,4,2.0
4/4,28,-4,major,Bb,min,Bb,3,2.0
4/4,28,-4,major,Bb,min,Bb,3,4.0
4/4,28,-4,major,Bb,min,rest,0,4.0
4/4,29,-4,major,Db,maj,rest,0,2.0
4/4,29,-4,major,Db,maj,Db,4,2.0
4/4,29,-4,major,Db,maj,F0,4,2.0
4/4,29,-4,major,Db,maj,Ab,4,2.0
4/4,29,-4,major,Db,maj,Ab,4,2.0
4/4,29,-4,major,Db,maj,Ab,4,2.0
4/4,29,-4,major,Db,maj,Ab,4,2.0
4/4,29,-4,major,Db,maj,F0,4,2.0
4/4,30,-4,major,Ab,maj,Ab,4,4.0
4/4,30,-4,major,Ab,maj,Ab,4,2.0
4/4,30,-4,major,Ab,maj,F0,4,1.0
4/4,30,-4,major,Ab,maj,Eb,4,1.0
4/4,30,-4,major,Ab,maj,Db,4,8.0
4/4,31,-4,major,Db,min,rest,0,2.0
4/4,31,-4,major,Db,min,Fb,4,2.0
4/4,31,-4,major,Db,min,Fb,4,2.0
4/4,31,-4,major,Db,min,Fb,4,2.0
4/4,31,-4,major,Db,min,Fb,4,2.0
4/4,31,-4,major,Db,min,Eb,4,2.0
4/4,31,-4,major,Db,min,Eb,4,2.0
4/4,31,-4,major,Db,min,Db,4,2.0
4/4,32,-4,major,Bb,min,Eb,4,4.0
4/4,32,-4,major,Bb,min,Db,4,2.0
4/4,32,-4,major,Bb,min,Bb,3,2.0
4/4,32,-4,major,Bb,min,Bb,3,4.0
4/4,32,-4,major,Bb,min,rest,0,4.0
4/4,33,-4,major,Bb,dim,rest,0,2.0
4/4,33,-4,major,Bb,dim,Fb,4,2.0
4/4,33,-4,major,Bb,dim,Fb,4,2.0
4/4,33,-4,major,Bb,dim,Fb,4,2.0
4/4,33,-4,major,Bb,dim,Fb,4,2.0
4/4,33,-4,major,Bb,dim,Eb,4,2.0
4/4,33,-4,major,Bb,dim,Eb,4,2.0
4/4,33,-4,major,Bb,dim,Db,4,2.0
4/4,34,-4,major,Gb,maj,Eb,4,4.0
4/4,34,-4,major,Gb,maj,Eb,4,2.0
4/4,34,-4,major,Gb,maj,F0,4,4.0
4/4,34,-4,major,Gb,maj,Eb,4,6.0
4/4,35,-4,major,Ab,7,rest,0,2.0
4/4,35,-4,major,Ab,7,Eb,4,1.0
4/4,35,-4,major,Ab,7,Eb,4,1.0
4/4,35,-4,major,Ab,7,Eb,4,2.0
4/4,35,-4,major,Ab,7,Eb,4,2.0
4/4,35,-4,major,Ab,7,F0,4,2.0
4/4,35,-4,major,Ab,7,Ab,3,2.0
4/4,35,-4,major,Ab,7,Bb,3,2.0
4/4,35,-4,major,Ab,7,Ab,3,2.0
4/4,36,-4,major,Db,maj,Db,4,6.0
4/4,36,-4,major,Db,maj,Db,4,2.0
4/4,36,-4,major,Db,maj,Db,4,4.0
4/4,36,-4,major,Db,maj,rest,0,4.0
4/4,37,-4,major,Db,7,rest,0,16.0
4/4,38,-4,major,Bb,min,rest,0,2.0
4/4,38,-4,major,Bb,min,F0,4,2.0
4/4,38,-4,major,Bb,min,F0,5,2.0
4/4,38,-4,major,Bb,min,Eb,5,2.0
4/4,38,-4,major,Bb,min,rest,0,2.0
4/4,38,-4,major,Bb,min,Db,5,2.0
4/4,38,-4,major,Bb,min,rest,0,2.0
4/4,38,-4,major,Bb,min,Eb,5,2.0
4/4,39,-4,major,Bb,min,rest,0,2.0
4/4,39,-4,major,Bb,min,Db,5,2.0
4/4,39,-4,major,Bb,min,rest,0,2.0
4/4,39,-4,major,Bb,min,Eb,5,2.0
4/4,39,-4,major,Bb,min,rest,0,2.0
4/4,39,-4,major,Bb,min,F0,5,2.0
4/4,39,-4,major,Bb,min,rest,0,4.0
4/4,40,-4,major,Db,maj,rest,0,2.0
4/4,40,-4,major,Db,maj,Ab,5,2.0
4/4,40,-4,major,Db,maj,Eb,5,2.0
4/4,40,-4,major,Db,maj,F0,5,2.0
4/4,40,-4,major,Db,maj,F0,5,4.0
4/4,40,-4,major,Db,maj,rest,0,4.0
4/4,41,-4,major,Ab,maj,rest,0,2.0
4/4,41,-4,major,Ab,maj,C0,5,2.0
4/4,41,-4,major,Ab,maj,Ab,4,2.0
4/4,41,-4,major,Ab,maj,F0,4,2.0
4/4,41,-4,major,Ab,maj,F0,4,4.0
4/4,41,-4,major,Ab,maj,rest,0,4.0
4/4,42,-4,major,Bb,min,rest,0,2.0
4/4,42,-4,major,Bb,min,F0,4,2.0
4/4,42,-4,major,Bb,min,F0,5,2.0
4/4,42,-4,major,Bb,min,Eb,5,2.0
4/4,42,-4,major,Bb,min,rest,0,2.0
4/4,42,-4,major,Bb,min,Db,5,2.0
4/4,42,-4,major,Bb,min,rest,0,2.0
4/4,42,-4,major,Bb,min,Eb,5,2.0
4/4,43,-4,major,Bb,min,rest,0,2.0
4/4,43,-4,major,Bb,min,Db,5,2.0
4/4,43,-4,major,Bb,min,rest,0,2.0
4/4,43,-4,major,Bb,min,Eb,5,2.0
4/4,43,-4,major,Bb,min,rest,0,2.0
4/4,43,-4,major,Bb,min,F0,5,2.0
4/4,43,-4,major,Bb,min,rest,0,4.0
4/4,44,-4,major,Db,maj,rest,0,2.0
4/4,44,-4,major,Db,maj,Ab,5,2.0
4/4,44,-4,major,Db,maj,Eb,5,2.0
4/4,44,-4,major,Db,maj,F0,5,2.0
4/4,44,-4,major,Db,maj,F0,5,4.0
4/4,44,-4,major,Db,maj,rest,0,4.0
4/4,45,-4,major,Ab,maj,C0,5,2.0
4/4,45,-4,major,Ab,maj,Ab,4,2.0
4/4,45,-4,major,Ab,maj,Eb,4,2.0
4/4,45,-4,major,Ab,maj,F0,4,2.0
4/4,45,-4,major,Ab,maj,F0,4,4.0
4/4,45,-4,major,Ab,maj,Bb,3,2.0
4/4,45,-4,major,Ab,maj,Db,4,2.0
4/4,46,-4,major,Eb,min,Eb,4,2.0
4/4,46,-4,major,Eb,min,Eb,4,2.0
4/4,46,-4,major,Eb,min,Db,4,2.0
4/4,46,-4,major,Eb,min,Eb,4,1.0
4/4,46,-4,major,Eb,min,Db,4,1.0
4/4,46,-4,major,Eb,min,Bb,3,4.0
4/4,46,-4,major,Eb,min,rest,0,2.0
4/4,46,-4,major,Eb,min,Bb,3,2.0
4/4,47,-4,major,Gb,maj,Eb,4,2.0
4/4,47,-4,major,Gb,maj,Eb,4,2.0
4/4,47,-4,major,Gb,maj,Db,4,2.0
4/4,47,-4,major,Gb,maj,Eb,4,1.0
4/4,47,-4,major,Gb,maj,Db,4,1.0
4/4,47,-4,major,Gb,maj,Bb,3,4.0
4/4,47,-4,major,Gb,maj,rest,0,2.0
4/4,47,-4,major,Gb,maj,Ab,3,2.0
4/4,48,-4,major,Bb,min7,Bb,3,4.0
4/4,48,-4,major,Bb,min7,Ab,4,2.0
4/4,48,-4,major,Bb,min7,Ab,4,4.0
4/4,48,-4,major,Bb,min7,Ab,4,2.0
