time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,0,major,[],[],rest,0,8.0
4/4,1,0,major,[],[],rest,0,4.0
4/4,1,0,major,[],[],G0,3,4.0
4/4,2,0,major,F0,major,E0,4,8.0
4/4,2,0,major,F0,major,E0,4,2.0
4/4,2,0,major,F0,major,F0,4,2.0
4/4,2,0,major,F0,major,E0,4,2.0
4/4,2,0,major,F0,major,G0,3,2.0
4/4,3,0,major,G0,dominant,E0,4,8.0
4/4,3,0,major,G0,dominant,E0,4,2.0
4/4,3,0,major,G0,dominant,F0,4,2.0
4/4,3,0,major,G0,dominant,E0,4,2.0
4/4,3,0,major,G0,dominant,G0,3,2.0
4/4,4,0,major,G0,minor-seventh,E0,4,8.0
4/4,4,0,major,G0,minor-seventh,E0,4,2.0
4/4,4,0,major,G0,minor-seventh,F0,4,2.0
4/4,4,0,major,G0,minor-seventh,E0,4,2.0
4/4,4,0,major,G0,minor-seventh,G0,3,2.0
4/4,5,0,major,C0,dominant,E0,4,8.0
4/4,5,0,major,C0,dominant,A0,4,2.66666666667
4/4,5,0,major,C0,dominant,G0,4,2.66666666667
4/4,5,0,major,C0,dominant,E0,4,2.66666666667
4/4,6,0,major,F0,major-seventh,E0,4,6.0
4/4,6,0,major,F0,major-seventh,C0,4,2.0
4/4,6,0,major,F0,major-seventh,C0,4,8.0
4/4,7,0,major,Bb,dominant-13th,C0,4,12.0
4/4,7,0,major,Bb,dominant-13th,G0,3,4.0
4/4,8,0,major,E0,minor,G0,4,8.0
4/4,8,0,major,E0,minor,G0,4,2.0
4/4,8,0,major,E0,minor,A0,4,2.0
4/4,8,0,major,E0,minor,F#,4,2.0
4/4,8,0,major,E0,minor,E0,4,2.0
4/4,9,0,major,E0,minor-sixth,G0,4,8.0
4/4,9,0,major,E0,minor-sixth,G0,4,2.0
4/4,9,0,major,E0,minor-sixth,A0,4,2.0
4/4,9,0,major,E0,minor-sixth,F#,4,2.0
4/4,9,0,major,E0,minor-sixth,E0,4,2.0
4/4,10,0,major,E0,minor-major,G0,4,4.0
4/4,10,0,major,E0,minor-major,A0,4,2.0
4/4,10,0,major,E0,minor-major,F#,4,2.0
4/4,10,0,major,E0,minor-major,F#,4,2.0
4/4,10,0,major,E0,minor-major,E0,4,2.0
4/4,10,0,major,E0,minor-major,G0,4,4.0
4/4,11,0,major,A0,dominant,G0,4,8.0
4/4,11,0,major,A0,dominant,A0,4,2.66666666667
4/4,11,0,major,A0,dominant,G0,4,2.66666666667
4/4,11,0,major,A0,dominant,G0,3,2.66666666667
4/4,12,0,major,D0,minor-seventh,E0,4,8.0
4/4,12,0,major,D0,minor-seventh,E0,4,2.0
4/4,12,0,major,D0,minor-seventh,F0,4,2.0
4/4,12,0,major,D0,minor-seventh,E0,4,2.0
4/4,12,0,major,D0,minor-seventh,G0,3,2.0
4/4,13,0,major,G0,dominant,E0,4,8.0
4/4,13,0,major,G0,dominant,E0,4,2.0
4/4,13,0,major,G0,dominant,F0,4,2.0
4/4,13,0,major,G0,dominant,E0,4,2.0
4/4,13,0,major,G0,dominant,G0,3,2.0
4/4,14,0,major,C0,major-sixth,E0,4,16.0
4/4,15,0,major,A0,suspended-fourth,E0,4,8.0
4/4,15,0,major,A0,suspended-fourth,rest,0,4.0
4/4,15,0,major,A0,suspended-fourth,G0,3,4.0
4/4,16,0,major,F0,major,E0,4,8.0
4/4,16,0,major,F0,major,E0,4,2.0
4/4,16,0,major,F0,major,F0,4,2.0
4/4,16,0,major,F0,major,E0,4,2.0
4/4,16,0,major,F0,major,G0,3,2.0
4/4,17,0,major,G0,dominant,E0,4,8.0
4/4,17,0,major,G0,dominant,E0,4,2.0
4/4,17,0,major,G0,dominant,F0,4,2.0
4/4,17,0,major,G0,dominant,E0,4,2.0
4/4,17,0,major,G0,dominant,G0,3,2.0
4/4,18,0,major,G0,minor-seventh,E0,4,8.0
4/4,18,0,major,G0,minor-seventh,E0,4,2.0
4/4,18,0,major,G0,minor-seventh,F0,4,2.0
4/4,18,0,major,G0,minor-seventh,E0,4,2.0
4/4,18,0,major,G0,minor-seventh,G0,3,2.0
4/4,19,0,major,C0,dominant,E0,4,8.0
4/4,19,0,major,C0,dominant,A0,4,2.66666666667
4/4,19,0,major,C0,dominant,G0,4,2.66666666667
4/4,19,0,major,C0,dominant,E0,4,2.66666666667
4/4,20,0,major,F0,major-seventh,E0,4,6.0
4/4,20,0,major,F0,major-seventh,C0,4,2.0
4/4,20,0,major,F0,major-seventh,C0,4,8.0
4/4,21,0,major,Bb,dominant-13th,C0,4,12.0
4/4,21,0,major,Bb,dominant-13th,G0,3,4.0
4/4,22,0,major,E0,minor,G0,4,8.0
4/4,22,0,major,E0,minor,G0,4,2.0
4/4,22,0,major,E0,minor,A0,4,2.0
4/4,22,0,major,E0,minor,F#,4,2.0
4/4,22,0,major,E0,minor,E0,4,2.0
4/4,23,0,major,E0,minor-sixth,G0,4,8.0
4/4,23,0,major,E0,minor-sixth,G0,4,2.0
4/4,23,0,major,E0,minor-sixth,A0,4,2.0
4/4,23,0,major,E0,minor-sixth,F#,4,2.0
4/4,23,0,major,E0,minor-sixth,E0,4,2.0
4/4,24,0,major,E0,minor-major,G0,4,4.0
4/4,24,0,major,E0,minor-major,A0,4,2.0
4/4,24,0,major,E0,minor-major,F#,4,2.0
4/4,24,0,major,E0,minor-major,F#,4,2.0
4/4,24,0,major,E0,minor-major,E0,4,2.0
4/4,24,0,major,E0,minor-major,G0,4,4.0
4/4,25,0,major,A0,dominant,G0,4,8.0
4/4,25,0,major,A0,dominant,A0,4,2.66666666667
4/4,25,0,major,A0,dominant,G0,4,2.66666666667
4/4,25,0,major,A0,dominant,G0,3,2.66666666667
4/4,26,0,major,D0,minor-seventh,E0,4,8.0
4/4,26,0,major,D0,minor-seventh,E0,4,2.0
4/4,26,0,major,D0,minor-seventh,F0,4,2.0
4/4,26,0,major,D0,minor-seventh,E0,4,2.0
4/4,26,0,major,D0,minor-seventh,G0,3,2.0
4/4,27,0,major,G0,dominant,E0,4,8.0
4/4,27,0,major,G0,dominant,E0,4,2.0
4/4,27,0,major,G0,dominant,F0,4,2.0
4/4,27,0,major,G0,dominant,E0,4,2.0
4/4,27,0,major,G0,dominant,G0,3,2.0
4/4,28,0,major,C0,major-sixth,E0,4,16.0
4/4,29,0,major,C0,major-sixth,E0,4,8.0
4/4,29,0,major,C0,major-sixth,rest,0,4.0
4/4,29,0,major,C0,major-sixth,G0,3,4.0
4/4,30,0,major,F#,minor-ninth,B0,4,8.0
4/4,30,0,major,F#,minor-ninth,B0,4,2.0
4/4,30,0,major,F#,minor-ninth,C0,5,2.0
4/4,30,0,major,F#,minor-ninth,B0,4,2.0
4/4,30,0,major,F#,minor-ninth,B0,3,2.0
4/4,31,0,major,F0,dominant,B0,4,8.0
4/4,31,0,major,F0,dominant,B0,4,2.0
4/4,31,0,major,F0,dominant,C0,5,2.0
4/4,31,0,major,F0,dominant,B0,4,2.0
4/4,31,0,major,F0,dominant,B0,3,2.0
4/4,32,0,major,E0,minor-ninth,A0,4,8.0
4/4,32,0,major,E0,minor-ninth,A0,4,2.0
4/4,32,0,major,E0,minor-ninth,Bb,4,2.0
4/4,32,0,major,E0,minor-ninth,A0,4,2.0
4/4,32,0,major,E0,minor-ninth,A0,3,2.0
4/4,33,0,major,A0,dominant,A0,4,8.0
4/4,33,0,major,A0,dominant,A0,4,2.0
4/4,33,0,major,A0,dominant,Bb,4,2.0
4/4,33,0,major,A0,dominant,A0,4,2.0
4/4,33,0,major,A0,dominant,A0,3,2.0
4/4,34,0,major,D0,minor-ninth,G0,4,8.0
4/4,34,0,major,D0,minor-ninth,G0,4,2.0
4/4,34,0,major,D0,minor-ninth,A0,4,2.0
4/4,34,0,major,D0,minor-ninth,G0,4,2.0
4/4,34,0,major,D0,minor-ninth,G0,3,2.0
4/4,35,0,major,G0,dominant,G0,4,8.0
4/4,35,0,major,G0,dominant,G0,4,2.0
4/4,35,0,major,G0,dominant,A0,4,2.0
4/4,35,0,major,G0,dominant,G0,4,2.0
4/4,35,0,major,G0,dominant,G0,3,2.0
4/4,36,0,major,E0,dominant-13th,E0,4,16.0
4/4,37,0,major,A0,suspended-fourth,E0,4,8.0
4/4,37,0,major,A0,suspended-fourth,E0,4,2.0
4/4,37,0,major,A0,suspended-fourth,F0,4,2.0
4/4,37,0,major,A0,suspended-fourth,E0,4,2.0
4/4,37,0,major,A0,suspended-fourth,G0,3,2.0
4/4,38,0,major,F0,major,E0,4,8.0
4/4,38,0,major,F0,major,E0,4,2.0
4/4,38,0,major,F0,major,F0,4,2.0
4/4,38,0,major,F0,major,E0,4,2.0
4/4,38,0,major,F0,major,G0,3,2.0
4/4,39,0,major,G0,dominant,E0,4,8.0
4/4,39,0,major,G0,dominant,E0,4,2.0
4/4,39,0,major,G0,dominant,F0,4,2.0
4/4,39,0,major,G0,dominant,E0,4,2.0
4/4,39,0,major,G0,dominant,F0,4,2.0
4/4,40,0,major,E0,minor-ninth,F#,4,8.0
4/4,40,0,major,E0,minor-ninth,F#,4,2.0
4/4,40,0,major,E0,minor-ninth,G0,4,2.0
4/4,40,0,major,E0,minor-ninth,F#,4,2.0
4/4,40,0,major,E0,minor-ninth,A0,3,2.0
4/4,41,0,major,A0,major,A0,4,8.0
4/4,41,0,major,A0,major,A0,4,2.66666666667
4/4,41,0,major,A0,major,G0,4,2.66666666667
4/4,41,0,major,A0,major,F0,4,2.66666666667
4/4,42,0,major,D0,minor-ninth,E0,4,8.0
4/4,42,0,major,D0,minor-ninth,E0,4,2.0
4/4,42,0,major,D0,minor-ninth,F0,4,2.0
4/4,42,0,major,D0,minor-ninth,E0,4,2.0
4/4,42,0,major,D0,minor-ninth,G0,3,2.0
4/4,43,0,major,G0,dominant,E0,4,8.0
4/4,43,0,major,G0,dominant,E0,4,2.0
4/4,43,0,major,G0,dominant,F0,4,2.0
4/4,43,0,major,G0,dominant,E0,4,2.0
4/4,43,0,major,G0,dominant,G0,3,2.0
4/4,44,0,major,C0,major-sixth,E0,4,16.0
4/4,45,0,major,C0,major-sixth,E0,4,16.0
