time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,0,-3,major,[],[],Bb,4,4.0
4/4,0,-3,major,[],[],C0,5,4.0
4/4,1,-3,major,Eb,major-seventh,D0,5,6.0
4/4,1,-3,major,Eb,major-seventh,D0,5,2.0
4/4,1,-3,major,Eb,major-seventh,D0,5,8.0
4/4,2,-3,major,C0,minor-seventh,D0,5,8.0
4/4,2,-3,major,C0,minor-seventh,Eb,5,8.0
4/4,3,-3,major,F0,dominant-seventh,Eb,5,16.0
4/4,4,-3,major,F0,dominant-seventh,G0,4,12.0
4/4,4,-3,major,F0,dominant-seventh,C0,5,4.0
4/4,5,-3,major,F0,minor,C0,5,4.0
4/4,5,-3,major,F0,minor,Bb,4,4.0
4/4,5,-3,major,F0,minor,Bb,4,8.0
4/4,6,-3,major,Bb,dominant-seventh,Bb,4,4.0
4/4,6,-3,major,Bb,dominant-seventh,Ab,4,4.0
4/4,6,-3,major,Bb,dominant-seventh,Ab,4,6.0
4/4,6,-3,major,Bb,dominant-seventh,G0,4,2.0
4/4,7,-3,major,Eb,major-seventh,G0,4,16.0
4/4,8,-3,major,F0,minor,G0,4,8.0
4/4,8,-3,major,F0,minor,Bb,4,4.0
4/4,8,-3,major,F0,minor,C0,5,4.0
4/4,9,-3,major,Eb,major-seventh,G0,4,16.0
4/4,10,-3,major,Eb,dominant-seventh,G0,4,12.0
4/4,10,-3,major,Eb,dominant-seventh,rest,0,2.0
4/4,10,-3,major,Eb,dominant-seventh,C0,5,2.0
4/4,11,-3,major,Ab,major-seventh,Eb,5,2.0
4/4,11,-3,major,Ab,major-seventh,C0,5,2.0
4/4,11,-3,major,Ab,major-seventh,Eb,5,2.0
4/4,11,-3,major,Ab,major-seventh,Eb,4,2.0
4/4,11,-3,major,Ab,major-seventh,Eb,4,6.0
4/4,11,-3,major,Ab,major-seventh,C0,5,2.0
4/4,12,-3,major,A0,diminished,Eb,5,2.0
4/4,12,-3,major,A0,diminished,C0,5,2.0
4/4,12,-3,major,A0,diminished,Eb,5,2.0
4/4,12,-3,major,A0,diminished,Eb,4,2.0
4/4,12,-3,major,A0,diminished,Eb,4,6.0
4/4,12,-3,major,A0,diminished,C0,5,2.0
4/4,13,-3,major,Eb,major,Eb,5,2.0
4/4,13,-3,major,Eb,major,C0,5,2.0
4/4,13,-3,major,Eb,major,Eb,5,4.0
4/4,13,-3,major,Eb,major,C0,5,4.0
4/4,13,-3,major,Eb,major,G0,4,4.0
4/4,14,-3,major,Bb,minor,F0,4,12.0
4/4,14,-3,major,Bb,minor,rest,0,2.0
4/4,14,-3,major,Bb,minor,C0,5,2.0
4/4,15,-3,major,Ab,major-seventh,Eb,5,2.0
4/4,15,-3,major,Ab,major-seventh,C0,5,2.0
4/4,15,-3,major,Ab,major-seventh,Eb,5,2.0
4/4,15,-3,major,Ab,major-seventh,Eb,4,2.0
4/4,15,-3,major,Ab,major-seventh,Eb,4,6.0
4/4,15,-3,major,Ab,major-seventh,C0,5,2.0
4/4,16,-3,major,A0,diminished,Eb,5,2.0
4/4,16,-3,major,A0,diminished,C0,5,2.0
4/4,16,-3,major,A0,diminished,Eb,5,2.0
4/4,16,-3,major,A0,diminished,Eb,4,2.0
4/4,16,-3,major,A0,diminished,Eb,4,6.0
4/4,16,-3,major,A0,diminished,C0,5,2.0
4/4,17,-3,major,Eb,dominant-seventh,Eb,5,2.0
4/4,17,-3,major,Eb,dominant-seventh,C0,5,2.0
4/4,17,-3,major,Eb,dominant-seventh,Eb,5,4.0
4/4,17,-3,major,Eb,dominant-seventh,C0,5,4.0
4/4,17,-3,major,Eb,dominant-seventh,C0,5,4.0
4/4,18,-3,major,F0,minor-seventh,C0,5,8.0
4/4,18,-3,major,F0,minor-seventh,Bb,4,4.0
4/4,18,-3,major,F0,minor-seventh,C0,5,4.0
4/4,19,-3,major,Eb,major-seventh,D0,5,6.0
4/4,19,-3,major,Eb,major-seventh,D0,5,2.0
4/4,19,-3,major,Eb,major-seventh,D0,5,8.0
4/4,20,-3,major,C0,minor-seventh,D0,5,8.0
4/4,20,-3,major,C0,minor-seventh,Eb,5,8.0
4/4,21,-3,major,F0,dominant-seventh,Eb,5,16.0
4/4,22,-3,major,F0,dominant-seventh,G0,4,12.0
4/4,22,-3,major,F0,dominant-seventh,C0,5,4.0
4/4,23,-3,major,F0,minor-seventh,C0,5,4.0
4/4,23,-3,major,F0,minor-seventh,Bb,4,4.0
4/4,23,-3,major,F0,minor-seventh,Bb,4,8.0
4/4,24,-3,major,Bb,dominant-seventh,Bb,4,4.0
4/4,24,-3,major,Bb,dominant-seventh,Ab,4,4.0
4/4,24,-3,major,Bb,dominant-seventh,Ab,4,6.0
4/4,24,-3,major,Bb,dominant-seventh,G0,4,2.0
4/4,25,-3,major,Eb,major-seventh,G0,4,12.0
4/4,25,-3,major,Eb,major-seventh,rest,0,4.0
4/4,26,-3,major,F0,minor-seventh,rest,0,16.0
