time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,Eb,major,Bb,4,2.0
4/4,1,-3,major,Eb,major,Bb,4,2.0
4/4,1,-3,major,Eb,major,Bb,4,8.0
4/4,1,-3,major,Eb,major,rest,0,2.0
4/4,1,-3,major,Eb,major,Bb,4,2.0
4/4,2,-3,major,Bb,major,Bb,4,4.0
4/4,2,-3,major,Bb,major,F0,4,12.0
4/4,3,-3,major,Eb,major,G0,4,2.0
4/4,3,-3,major,Eb,major,G0,4,2.0
4/4,3,-3,major,Eb,major,G0,4,4.0
4/4,3,-3,major,Eb,major,G0,4,2.0
4/4,3,-3,major,Eb,major,D0,4,2.0
4/4,3,-3,major,Eb,major,Eb,4,2.0
4/4,3,-3,major,Eb,major,F0,4,2.0
4/4,4,-3,major,C0,minor,Eb,4,16.0
4/4,5,-3,major,Bb,major,F0,4,2.0
4/4,5,-3,major,Bb,major,F0,4,2.0
4/4,5,-3,major,Bb,major,F0,4,8.0
4/4,5,-3,major,Bb,major,rest,0,2.0
4/4,5,-3,major,Bb,major,F0,4,2.0
4/4,6,-3,major,F0,dominant,F0,4,4.0
4/4,6,-3,major,F0,dominant,C0,4,8.0
4/4,6,-3,major,F0,dominant,D0,4,4.0
4/4,7,-3,major,C0,minor,G0,4,2.0
4/4,7,-3,major,C0,minor,F0,4,4.0
4/4,7,-3,major,C0,minor,G0,4,2.0
4/4,7,-3,major,C0,minor,A0,4,4.0
4/4,7,-3,major,C0,minor,Ab,4,4.0
4/4,8,-3,major,Bb,dominant,Bb,4,16.0
4/4,9,-3,major,Eb,major,rest,0,2.0
4/4,9,-3,major,Eb,major,Eb,4,2.0
4/4,9,-3,major,Eb,major,D0,4,2.0
4/4,9,-3,major,Eb,major,Eb,4,2.0
4/4,9,-3,major,Eb,major,Eb,4,1.33333333333
4/4,9,-3,major,Eb,major,G0,4,1.33333333333
4/4,9,-3,major,Eb,major,F0,4,1.33333333333
4/4,9,-3,major,Eb,major,Eb,4,4.0
4/4,10,-3,major,G0,dominant,rest,0,2.0
4/4,10,-3,major,G0,dominant,Eb,4,2.0
4/4,10,-3,major,G0,dominant,D0,4,2.0
4/4,10,-3,major,G0,dominant,Eb,4,2.0
4/4,10,-3,major,G0,dominant,G0,4,1.33333333333
4/4,10,-3,major,G0,dominant,F0,4,1.33333333333
4/4,10,-3,major,G0,dominant,Eb,4,1.33333333333
4/4,10,-3,major,G0,dominant,Eb,4,4.0
4/4,11,-3,major,Ab,major,rest,0,4.0
4/4,11,-3,major,Ab,major,F0,4,2.0
4/4,11,-3,major,Ab,major,E0,4,2.0
4/4,11,-3,major,Ab,major,F0,4,2.0
4/4,11,-3,major,Ab,major,Ab,4,1.33333333333
4/4,11,-3,major,Ab,major,G0,4,1.33333333333
4/4,11,-3,major,Ab,major,F0,4,1.33333333333
4/4,11,-3,major,Ab,major,rest,0,2.0
4/4,12,-3,major,Bb,major,Ab,4,16.0
4/4,13,-3,major,C0,dominant,rest,0,2.0
4/4,13,-3,major,C0,dominant,Bb,4,2.0
4/4,13,-3,major,C0,dominant,A0,4,2.0
4/4,13,-3,major,C0,dominant,Bb,4,2.0
4/4,13,-3,major,C0,dominant,Db,5,4.0
4/4,13,-3,major,C0,dominant,C0,5,4.0
4/4,14,-3,major,F0,dominant,F0,4,4.0
4/4,14,-3,major,F0,dominant,F0,4,12.0
4/4,15,-3,major,Bb,dominant,rest,0,2.0
4/4,15,-3,major,Bb,dominant,F0,4,2.0
4/4,15,-3,major,Bb,dominant,E0,4,2.0
4/4,15,-3,major,Bb,dominant,F0,4,2.0
4/4,15,-3,major,Bb,dominant,Ab,4,4.0
4/4,15,-3,major,Bb,dominant,G0,4,4.0
4/4,16,-3,major,Eb,major,Bb,3,12.0
4/4,16,-3,major,Eb,major,rest,0,4.0
4/4,17,-3,major,Eb,major,rest,0,2.0
4/4,17,-3,major,Eb,major,Eb,4,2.0
4/4,17,-3,major,Eb,major,D0,4,2.0
4/4,17,-3,major,Eb,major,Eb,4,2.0
4/4,17,-3,major,Eb,major,G0,4,1.33333333333
4/4,17,-3,major,Eb,major,F0,4,1.33333333333
4/4,17,-3,major,Eb,major,Eb,4,1.33333333333
4/4,17,-3,major,Eb,major,Eb,4,4.0
4/4,18,-3,major,G0,dominant,rest,0,2.0
4/4,18,-3,major,G0,dominant,Eb,4,2.0
4/4,18,-3,major,G0,dominant,D0,4,2.0
4/4,18,-3,major,G0,dominant,Eb,4,2.0
4/4,18,-3,major,G0,dominant,G0,4,1.33333333333
4/4,18,-3,major,G0,dominant,F0,4,1.33333333333
4/4,18,-3,major,G0,dominant,Eb,4,1.33333333333
4/4,18,-3,major,G0,dominant,Eb,4,4.0
4/4,19,-3,major,Ab,major,rest,0,2.0
4/4,19,-3,major,Ab,major,F0,4,2.0
4/4,19,-3,major,Ab,major,E0,4,2.0
4/4,19,-3,major,Ab,major,F0,4,2.0
4/4,19,-3,major,Ab,major,Ab,4,1.33333333333
4/4,19,-3,major,Ab,major,G0,4,1.33333333333
4/4,19,-3,major,Ab,major,F0,4,1.33333333333
4/4,19,-3,major,Ab,major,rest,0,4.0
4/4,20,-3,major,Bb,dominant,Ab,4,16.0
4/4,21,-3,major,C0,dominant,rest,0,2.0
4/4,21,-3,major,C0,dominant,Bb,4,2.0
4/4,21,-3,major,C0,dominant,A0,4,2.0
4/4,21,-3,major,C0,dominant,Bb,4,2.0
4/4,21,-3,major,C0,dominant,Db,5,4.0
4/4,21,-3,major,C0,dominant,C0,5,4.0
4/4,22,-3,major,F0,dominant,F0,4,4.0
4/4,22,-3,major,F0,dominant,F0,4,12.0
4/4,23,-3,major,Bb,dominant,rest,0,2.0
4/4,23,-3,major,Bb,dominant,F0,4,2.0
4/4,23,-3,major,Bb,dominant,E0,4,2.0
4/4,23,-3,major,Bb,dominant,F0,4,2.0
4/4,23,-3,major,Bb,dominant,Ab,4,4.0
4/4,23,-3,major,Bb,dominant,D0,4,4.0
4/4,24,-3,major,Eb,major,Eb,4,8.0
4/4,24,-3,major,Eb,major,Eb,4,2.0
4/4,24,-3,major,Eb,major,Eb,4,2.0
4/4,24,-3,major,Eb,major,F0,4,2.0
4/4,24,-3,major,Eb,major,Eb,4,2.0
4/4,25,-3,major,G0,dominant,D0,4,8.0
4/4,25,-3,major,G0,dominant,D0,4,2.0
4/4,25,-3,major,G0,dominant,E0,4,2.0
4/4,25,-3,major,G0,dominant,F#,4,2.0
4/4,25,-3,major,G0,dominant,G0,4,2.0
4/4,26,-3,major,A0,minor-seventh,B0,4,2.0
4/4,26,-3,major,A0,minor-seventh,A0,4,2.0
4/4,26,-3,major,A0,minor-seventh,G#,4,1.33333333333
4/4,26,-3,major,A0,minor-seventh,Ab,4,1.33333333333
4/4,26,-3,major,A0,minor-seventh,C0,5,1.33333333333
4/4,26,-3,major,A0,minor-seventh,C0,5,2.0
4/4,26,-3,major,A0,minor-seventh,B0,4,2.0
4/4,26,-3,major,A0,minor-seventh,A#,4,2.0
4/4,26,-3,major,A0,minor-seventh,B0,4,2.0
4/4,27,-3,major,G0,major,D0,5,2.0
4/4,27,-3,major,G0,major,D0,5,2.0
4/4,27,-3,major,G0,major,D0,5,12.0
4/4,28,-3,major,A0,minor-seventh,D0,4,2.0
4/4,28,-3,major,A0,minor-seventh,D0,4,2.0
4/4,28,-3,major,A0,minor-seventh,D0,4,4.0
4/4,28,-3,major,A0,minor-seventh,D0,4,2.0
4/4,28,-3,major,A0,minor-seventh,Eb,4,2.0
4/4,28,-3,major,A0,minor-seventh,F0,4,2.0
4/4,28,-3,major,A0,minor-seventh,Eb,4,2.0
4/4,29,-3,major,G0,major,D0,4,8.0
4/4,29,-3,major,G0,major,D0,4,2.0
4/4,29,-3,major,G0,major,E0,4,2.0
4/4,29,-3,major,G0,major,F#,4,2.0
4/4,29,-3,major,G0,major,G0,4,2.0
4/4,30,-3,major,A0,minor-seventh,B0,4,2.0
4/4,30,-3,major,A0,minor-seventh,A0,4,2.0
4/4,30,-3,major,A0,minor-seventh,G#,4,1.33333333333
4/4,30,-3,major,A0,minor-seventh,Ab,4,1.33333333333
4/4,30,-3,major,A0,minor-seventh,C0,5,1.33333333333
4/4,30,-3,major,A0,minor-seventh,C0,5,2.0
4/4,30,-3,major,A0,minor-seventh,B0,4,2.0
4/4,30,-3,major,A0,minor-seventh,A#,4,2.0
4/4,30,-3,major,A0,minor-seventh,Bb,4,2.0
4/4,31,-3,major,G0,major,D0,5,2.0
4/4,31,-3,major,G0,major,D0,5,2.0
4/4,31,-3,major,G0,major,D0,5,12.0
4/4,32,-3,major,Bb,dominant,D0,5,2.0
4/4,32,-3,major,Bb,dominant,C0,5,2.0
4/4,32,-3,major,Bb,dominant,Bb,4,12.0
4/4,33,-3,major,Eb,major,rest,0,2.0
4/4,33,-3,major,Eb,major,Eb,4,2.0
4/4,33,-3,major,Eb,major,D0,4,2.0
4/4,33,-3,major,Eb,major,Eb,4,2.0
4/4,33,-3,major,Eb,major,G0,4,1.33333333333
4/4,33,-3,major,Eb,major,F0,4,1.33333333333
4/4,33,-3,major,Eb,major,Eb,4,1.33333333333
4/4,33,-3,major,Eb,major,Eb,4,4.0
4/4,34,-3,major,G0,dominant,rest,0,2.0
4/4,34,-3,major,G0,dominant,Eb,4,2.0
4/4,34,-3,major,G0,dominant,D0,4,2.0
4/4,34,-3,major,G0,dominant,Eb,4,2.0
4/4,34,-3,major,G0,dominant,G0,4,1.33333333333
4/4,34,-3,major,G0,dominant,F0,4,1.33333333333
4/4,34,-3,major,G0,dominant,Eb,4,1.33333333333
4/4,34,-3,major,G0,dominant,Eb,4,4.0
4/4,35,-3,major,Ab,major,rest,0,2.0
4/4,35,-3,major,Ab,major,F0,4,2.0
4/4,35,-3,major,Ab,major,E0,4,2.0
4/4,35,-3,major,Ab,major,F0,4,2.0
4/4,35,-3,major,Ab,major,Ab,4,1.33333333333
4/4,35,-3,major,Ab,major,G0,4,1.33333333333
4/4,35,-3,major,Ab,major,F0,4,1.33333333333
4/4,35,-3,major,Ab,major,rest,0,4.0
4/4,36,-3,major,Bb,dominant,Ab,4,16.0
4/4,37,-3,major,C0,dominant,rest,0,2.0
4/4,37,-3,major,C0,dominant,Bb,4,2.0
4/4,37,-3,major,C0,dominant,A0,4,2.0
4/4,37,-3,major,C0,dominant,Bb,4,2.0
4/4,37,-3,major,C0,dominant,Db,5,4.0
4/4,37,-3,major,C0,dominant,C0,5,4.0
4/4,38,-3,major,F0,dominant,F0,4,4.0
4/4,38,-3,major,F0,dominant,F0,4,12.0
4/4,39,-3,major,F0,minor-seventh,rest,0,2.0
4/4,39,-3,major,F0,minor-seventh,F0,4,2.0
4/4,39,-3,major,F0,minor-seventh,E0,4,2.0
4/4,39,-3,major,F0,minor-seventh,F0,4,2.0
4/4,39,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,39,-3,major,F0,minor-seventh,D0,4,4.0
4/4,40,-3,major,Eb,major,Eb,4,12.0
4/4,40,-3,major,Eb,major,rest,0,4.0
4/4,41,-3,major,F0,minor-seventh,rest,0,2.0
4/4,41,-3,major,F0,minor-seventh,F0,4,2.0
4/4,41,-3,major,F0,minor-seventh,E0,4,2.0
4/4,41,-3,major,F0,minor-seventh,F0,4,2.0
4/4,41,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,41,-3,major,F0,minor-seventh,Bb,4,4.0
4/4,42,-3,major,Eb,major,Eb,5,16.0
