time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,minor,C0,minor,Eb,5,16.0
4/4,2,-3,minor,D0,major,D0,5,16.0
4/4,3,-3,minor,D0,major,C0,5,16.0
4/4,4,-3,minor,D0,major,C0,5,8.0
4/4,4,-3,minor,D0,major,rest,0,4.0
4/4,4,-3,minor,D0,major,rest,0,2.0
4/4,4,-3,minor,D0,major,Gb,5,2.0
4/4,5,-3,minor,Ab,minor-ninth,F0,5,16.0
4/4,6,-3,minor,Ab,minor-ninth,rest,0,16.0
4/4,7,-3,minor,C0,minor,Eb,5,16.0
4/4,8,-3,minor,C0,minor,rest,0,12.0
4/4,8,-3,minor,C0,minor,rest,0,2.0
4/4,8,-3,minor,C0,minor,G0,4,2.0
4/4,9,-3,minor,C0,minor,Eb,5,16.0
4/4,10,-3,minor,D0,major,D0,5,16.0
4/4,11,-3,minor,D0,major,C0,5,16.0
4/4,12,-3,minor,D0,major,C0,5,8.0
4/4,12,-3,minor,D0,major,rest,0,4.0
4/4,12,-3,minor,D0,major,rest,0,2.0
4/4,12,-3,minor,D0,major,Gb,5,2.0
4/4,13,-3,minor,Ab,minor-ninth,F0,5,16.0
4/4,14,-3,minor,Ab,minor-ninth,rest,0,16.0
4/4,15,-3,minor,C0,minor,Eb,5,16.0
4/4,16,-3,minor,C0,minor,rest,0,12.0
4/4,16,-3,minor,C0,minor,Eb,5,2.0
4/4,16,-3,minor,C0,minor,F0,5,2.0
4/4,17,-3,minor,F0,minor-ninth,G0,5,12.0
4/4,17,-3,minor,F0,minor-ninth,rest,0,2.0
4/4,17,-3,minor,F0,minor-ninth,Ab,5,2.0
4/4,18,-3,minor,G0,dominant,F0,5,12.0
4/4,18,-3,minor,G0,dominant,rest,0,2.0
4/4,18,-3,minor,G0,dominant,G0,5,2.0
4/4,19,-3,minor,C0,minor,Eb,5,16.0
4/4,20,-3,minor,C0,minor,rest,0,12.0
4/4,20,-3,minor,C0,minor,Eb,5,2.0
4/4,20,-3,minor,C0,minor,F0,5,2.0
4/4,21,-3,minor,F0,minor-ninth,G0,5,12.0
4/4,21,-3,minor,F0,minor-ninth,rest,0,2.0
4/4,21,-3,minor,F0,minor-ninth,Ab,5,2.0
4/4,22,-3,minor,G0,dominant,F0,5,12.0
4/4,22,-3,minor,G0,dominant,rest,0,2.0
4/4,22,-3,minor,G0,dominant,G0,5,2.0
4/4,23,-3,minor,C0,minor,Eb,5,16.0
4/4,24,-3,minor,G0,dominant,D0,5,12.0
4/4,24,-3,minor,G0,dominant,rest,0,2.0
4/4,24,-3,minor,G0,dominant,rest,0,2.0
4/4,24,-3,minor,G0,dominant,G0,4,2.0
4/4,25,-3,minor,F0,minor,Ab,4,16.0
4/4,26,-3,minor,D0,major,D0,5,16.0
4/4,27,-3,minor,D0,major,C0,5,16.0
4/4,28,-3,minor,D0,major,rest,0,12.0
4/4,28,-3,minor,D0,major,rest,0,2.0
4/4,28,-3,minor,D0,major,Gb,5,2.0
4/4,29,-3,minor,Ab,minor-ninth,F0,5,16.0
4/4,30,-3,minor,Ab,minor-ninth,rest,0,16.0
4/4,31,-3,minor,C0,minor,Eb,5,16.0
4/4,32,-3,minor,C0,minor,rest,0,16.0
