time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-4,major,[],[],rest,0,16.0
4/4,2,-4,major,[],[],rest,0,16.0
4/4,3,-4,major,[],[],rest,0,16.0
4/4,4,-4,major,[],[],rest,0,16.0
4/4,5,-4,major,[],[],rest,0,16.0
4/4,6,-4,major,[],[],rest,0,16.0
4/4,7,-4,major,[],[],rest,0,4.0
4/4,7,-4,major,[],[],Eb,4,4.0
4/4,7,-4,major,[],[],C0,5,6.0
4/4,7,-4,major,[],[],Bb,4,2.0
4/4,8,-4,major,Ab,major,Ab,4,16.0
4/4,9,-4,major,Db,major,Ab,4,6.0
4/4,9,-4,major,Db,major,Eb,4,2.0
4/4,9,-4,major,Db,major,F0,4,6.0
4/4,9,-4,major,Db,major,Ab,4,2.0
4/4,10,-4,major,Db,major,F0,4,4.0
4/4,10,-4,major,Db,major,Eb,4,12.0
4/4,11,-4,major,Ab,major,Eb,4,6.0
4/4,11,-4,major,Ab,major,Eb,4,2.0
4/4,11,-4,major,Ab,major,Ab,4,2.0
4/4,11,-4,major,Ab,major,Bb,4,2.0
4/4,11,-4,major,Ab,major,C0,5,2.0
4/4,11,-4,major,Ab,major,Db,5,2.0
4/4,12,-4,major,C0,minor,Eb,5,16.0
4/4,13,-4,major,Db,major-sixth,Db,5,6.0
4/4,13,-4,major,Db,major-sixth,Db,5,2.0
4/4,13,-4,major,Db,major-sixth,Eb,5,6.0
4/4,13,-4,major,Db,major-sixth,Ab,4,2.0
4/4,14,-4,major,Ab,major,C0,5,16.0
4/4,15,-4,major,Eb,dominant,C0,5,4.0
4/4,15,-4,major,Eb,dominant,Eb,4,2.0
4/4,15,-4,major,Eb,dominant,Ab,4,2.0
4/4,15,-4,major,Eb,dominant,C0,5,6.0
4/4,15,-4,major,Eb,dominant,Bb,4,2.0
4/4,16,-4,major,Ab,major,Ab,4,16.0
4/4,17,-4,major,Db,major,Ab,4,6.0
4/4,17,-4,major,Db,major,Eb,4,2.0
4/4,17,-4,major,Db,major,F0,4,6.0
4/4,17,-4,major,Db,major,Ab,4,2.0
4/4,18,-4,major,Db,major,F0,4,4.0
4/4,18,-4,major,Db,major,Eb,4,12.0
4/4,19,-4,major,Ab,major,Eb,4,6.0
4/4,19,-4,major,Ab,major,Eb,4,2.0
4/4,19,-4,major,Ab,major,Ab,4,2.0
4/4,19,-4,major,Ab,major,Bb,4,2.0
4/4,19,-4,major,Ab,major,C0,5,2.0
4/4,19,-4,major,Ab,major,Db,5,2.0
4/4,20,-4,major,C0,minor,Eb,5,16.0
4/4,21,-4,major,Db,major-sixth,Db,5,6.0
4/4,21,-4,major,Db,major-sixth,C0,5,2.0
4/4,21,-4,major,Db,major-sixth,Bb,4,4.0
4/4,21,-4,major,Db,major-sixth,C0,5,4.0
4/4,22,-4,major,Ab,major,Ab,4,16.0
4/4,23,-4,major,Ab,major,Ab,4,4.0
4/4,23,-4,major,Ab,major,rest,0,4.0
4/4,23,-4,major,Ab,major,C0,5,4.0
4/4,23,-4,major,Ab,major,Eb,5,4.0
4/4,24,-4,major,Ab,major,Eb,5,16.0
4/4,25,-4,major,Ab,major,Eb,5,4.0
4/4,25,-4,major,Ab,major,F0,5,2.0
4/4,25,-4,major,Ab,major,Eb,5,2.0
4/4,25,-4,major,Ab,major,C0,5,2.0
4/4,25,-4,major,Ab,major,Bb,4,2.0
4/4,25,-4,major,Ab,major,Ab,4,4.0
4/4,26,-4,major,Ab,major,C0,5,6.0
