time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,4,major,E0,dominant,rest,0,4.0
4/4,1,4,major,E0,dominant,rest,0,4.0
4/4,1,4,major,E0,dominant,rest,0,4.0
4/4,1,4,major,E0,dominant,rest,0,4.0
4/4,2,4,major,D0,dominant-ninth,rest,0,4.0
4/4,2,4,major,D0,dominant-ninth,E0,4,2.0
4/4,2,4,major,D0,dominant-ninth,A0,4,2.0
4/4,2,4,major,D0,dominant-ninth,D0,4,2.0
4/4,2,4,major,D0,dominant-ninth,E0,4,2.0
4/4,2,4,major,D0,dominant-ninth,A0,4,2.0
4/4,2,4,major,D0,dominant-ninth,D0,4,2.0
4/4,2,4,major,D0,dominant-ninth,E0,4,2.0
4/4,2,4,major,D0,dominant-ninth,A0,4,2.0
4/4,2,4,major,D0,dominant-ninth,D0,4,2.0
4/4,3,4,major,E0,dominant,rest,0,4.0
4/4,3,4,major,E0,dominant,rest,0,4.0
4/4,3,4,major,E0,dominant,rest,0,4.0
4/4,3,4,major,E0,dominant,rest,0,4.0
4/4,4,4,major,D0,dominant-ninth,rest,0,8.0
4/4,4,4,major,D0,dominant-ninth,rest,0,2.0
4/4,4,4,major,D0,dominant-ninth,E0,4,2.0
4/4,4,4,major,D0,dominant-ninth,E0,4,1.0
4/4,4,4,major,D0,dominant-ninth,E0,4,2.0
4/4,4,4,major,D0,dominant-ninth,E0,4,1.0
4/4,5,4,major,E0,dominant,A0,4,4.0
4/4,5,4,major,E0,dominant,G0,4,2.0
4/4,5,4,major,E0,dominant,F#,4,2.0
4/4,5,4,major,E0,dominant,F#,4,2.0
4/4,5,4,major,E0,dominant,E0,4,6.0
4/4,6,4,major,D0,dominant-ninth,E0,4,8.0
4/4,6,4,major,D0,dominant-ninth,rest,0,4.0
4/4,6,4,major,D0,dominant-ninth,rest,0,2.0
4/4,6,4,major,D0,dominant-ninth,B0,3,2.0
4/4,7,4,major,E0,dominant,D0,4,2.0
4/4,7,4,major,E0,dominant,E0,4,2.0
4/4,7,4,major,E0,dominant,E0,4,2.0
4/4,7,4,major,E0,dominant,E0,4,2.0
4/4,7,4,major,E0,dominant,E0,4,2.0
4/4,7,4,major,E0,dominant,D0,4,2.0
4/4,7,4,major,E0,dominant,E0,4,2.0
4/4,7,4,major,E0,dominant,D0,4,2.0
4/4,8,4,major,D0,dominant-ninth,F#,4,4.0
4/4,8,4,major,D0,dominant-ninth,D0,4,2.0
4/4,8,4,major,D0,dominant-ninth,B0,3,2.0
4/4,8,4,major,D0,dominant-ninth,B0,3,4.0
4/4,8,4,major,D0,dominant-ninth,B0,3,2.0
4/4,8,4,major,D0,dominant-ninth,B0,3,2.0
4/4,9,4,major,E0,dominant,E0,4,4.0
4/4,9,4,major,E0,dominant,B0,4,2.0
4/4,9,4,major,E0,dominant,B0,4,2.0
4/4,9,4,major,E0,dominant,A0,4,8.0
4/4,10,4,major,D0,dominant-ninth,A0,4,4.0
4/4,10,4,major,D0,dominant-ninth,rest,0,4.0
4/4,10,4,major,D0,dominant-ninth,rest,0,4.0
4/4,10,4,major,D0,dominant-ninth,rest,0,2.0
4/4,10,4,major,D0,dominant-ninth,E0,4,2.0
4/4,11,4,major,E0,dominant,A0,4,4.0
4/4,11,4,major,E0,dominant,G0,4,2.0
4/4,11,4,major,E0,dominant,F#,4,2.0
4/4,11,4,major,E0,dominant,D#,4,4.0
4/4,11,4,major,E0,dominant,D#,4,4.0
