time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,2,major,B0,minor-ninth,rest,0,2.0
4/4,1,2,major,B0,minor-ninth,B0,4,2.0
4/4,1,2,major,B0,minor-ninth,C#,5,2.0
4/4,1,2,major,B0,minor-ninth,B0,4,2.0
4/4,1,2,major,B0,minor-ninth,C#,5,2.0
4/4,1,2,major,B0,minor-ninth,B0,4,1.0
4/4,1,2,major,B0,minor-ninth,C#,5,1.0
4/4,1,2,major,B0,minor-ninth,C#,5,2.0
4/4,1,2,major,B0,minor-ninth,D0,5,2.0
4/4,2,2,major,G0,major-seventh,E0,5,1.0
4/4,2,2,major,G0,major-seventh,F#,5,3.0
4/4,2,2,major,G0,major-seventh,F#,5,1.0
4/4,2,2,major,G0,major-seventh,D0,5,2.0
4/4,2,2,major,G0,major-seventh,D0,5,1.0
4/4,2,2,major,G0,major-seventh,D0,5,8.0
4/4,3,2,major,B0,minor-ninth,rest,0,4.0
4/4,3,2,major,B0,minor-ninth,B0,4,1.0
4/4,3,2,major,B0,minor-ninth,C#,5,1.0
4/4,3,2,major,B0,minor-ninth,B0,4,1.0
4/4,3,2,major,B0,minor-ninth,C#,5,1.0
4/4,3,2,major,B0,minor-ninth,C#,5,1.0
4/4,3,2,major,B0,minor-ninth,B0,4,3.0
4/4,3,2,major,B0,minor-ninth,B0,4,1.0
4/4,3,2,major,B0,minor-ninth,C#,5,2.0
4/4,3,2,major,B0,minor-ninth,D0,5,1.0
4/4,4,2,major,G0,major-seventh,D0,5,2.0
4/4,4,2,major,G0,major-seventh,B0,5,6.0
4/4,4,2,major,G0,major-seventh,B0,5,8.0
4/4,5,2,major,D0,minor-ninth,rest,0,4.0
4/4,5,2,major,D0,minor-ninth,A0,5,1.0
4/4,5,2,major,D0,minor-ninth,A0,5,1.0
4/4,5,2,major,D0,minor-ninth,F0,5,1.0
4/4,5,2,major,D0,minor-ninth,F0,5,1.0
4/4,5,2,major,D0,minor-ninth,F0,5,1.0
4/4,5,2,major,D0,minor-ninth,G0,5,2.0
4/4,5,2,major,D0,minor-ninth,F0,5,1.0
4/4,5,2,major,D0,minor-ninth,F0,5,4.0
4/4,6,2,major,C0,major-seventh,rest,0,2.0
4/4,6,2,major,C0,major-seventh,G0,5,2.0
4/4,6,2,major,C0,major-seventh,E0,5,2.0
4/4,6,2,major,C0,major-seventh,E0,5,2.0
4/4,6,2,major,C0,major-seventh,E0,5,3.0
4/4,6,2,major,C0,major-seventh,D0,5,1.0
4/4,6,2,major,C0,major-seventh,E0,5,4.0
4/4,7,2,major,A0,minor,E0,5,1.0
4/4,7,2,major,A0,minor,C#,5,1.0
4/4,7,2,major,A0,minor,G0,4,6.0
4/4,7,2,major,A0,minor,G0,4,2.0
4/4,7,2,major,A0,minor,rest,0,2.0
4/4,7,2,major,A0,minor,rest,0,4.0
4/4,8,2,major,G0,major,rest,0,16.0
4/4,9,2,major,B0,minor-ninth,rest,0,2.0
4/4,9,2,major,B0,minor-ninth,B0,4,2.0
4/4,9,2,major,B0,minor-ninth,C#,5,2.0
4/4,9,2,major,B0,minor-ninth,B0,4,2.0
4/4,9,2,major,B0,minor-ninth,C#,5,2.0
4/4,9,2,major,B0,minor-ninth,B0,4,2.0
4/4,9,2,major,B0,minor-ninth,C#,5,2.0
4/4,9,2,major,B0,minor-ninth,D0,5,2.0
4/4,10,2,major,G0,major-seventh,F#,5,4.0
4/4,10,2,major,G0,major-seventh,D0,5,2.0
4/4,10,2,major,G0,major-seventh,D0,5,2.0
4/4,10,2,major,G0,major-seventh,D0,5,8.0
4/4,11,2,major,B0,minor-ninth,rest,0,2.0
4/4,11,2,major,B0,minor-ninth,B0,4,2.0
4/4,11,2,major,B0,minor-ninth,C#,5,2.0
4/4,11,2,major,B0,minor-ninth,B0,4,2.0
4/4,11,2,major,B0,minor-ninth,C#,5,2.0
4/4,11,2,major,B0,minor-ninth,B0,4,2.0
4/4,11,2,major,B0,minor-ninth,B0,4,1.33333333333
4/4,11,2,major,B0,minor-ninth,C#,5,1.33333333333
4/4,11,2,major,B0,minor-ninth,D0,5,1.33333333333
4/4,12,2,major,G0,,B0,5,16.0
4/4,13,2,major,D0,minor-ninth,rest,0,2.0
4/4,13,2,major,D0,minor-ninth,A0,5,2.0
4/4,13,2,major,D0,minor-ninth,A0,5,1.0
4/4,13,2,major,D0,minor-ninth,F0,5,2.0
4/4,13,2,major,D0,minor-ninth,F0,5,1.0
