time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-3,major,C0,minor,C0,5,8.0
3/4,1,-3,major,C0,minor,B0,4,2.0
3/4,1,-3,major,C0,minor,C0,5,2.0
3/4,2,-3,major,C0,minor,Db,5,8.0
3/4,2,-3,major,C0,minor,C0,5,4.0
3/4,3,-3,major,F0,minor,C0,5,2.0
3/4,3,-3,major,F0,minor,Ab,4,2.0
3/4,3,-3,major,F0,minor,Ab,4,8.0
3/4,4,-3,major,F0,minor,Ab,4,8.0
3/4,4,-3,major,F0,minor,rest,0,4.0
3/4,5,-3,major,F0,minor,C0,5,8.0
3/4,5,-3,major,F0,minor,B0,4,2.0
3/4,5,-3,major,F0,minor,C0,5,2.0
3/4,6,-3,major,F0,minor,Db,5,8.0
3/4,6,-3,major,F0,minor,C0,5,4.0
3/4,7,-3,major,C0,minor,C0,5,2.0
3/4,7,-3,major,C0,minor,G0,4,2.0
3/4,7,-3,major,C0,minor,G0,4,8.0
3/4,8,-3,major,C0,minor,G0,4,8.0
3/4,8,-3,major,C0,minor,rest,0,4.0
3/4,9,-3,major,C0,minor,C0,5,8.0
3/4,9,-3,major,C0,minor,B0,4,2.0
3/4,9,-3,major,C0,minor,C0,5,2.0
3/4,10,-3,major,C0,minor,Eb,5,8.0
3/4,10,-3,major,C0,minor,C0,5,4.0
3/4,11,-3,major,G0,dominant,B0,4,8.0
3/4,11,-3,major,G0,dominant,D0,5,4.0
3/4,12,-3,major,C0,minor,C0,5,8.0
3/4,12,-3,major,C0,minor,rest,0,4.0
3/4,13,-3,major,F0,minor,Ab,4,4.0
3/4,13,-3,major,F0,minor,G0,4,4.0
3/4,13,-3,major,F0,minor,Ab,4,4.0
3/4,14,-3,major,F0,minor,C0,5,8.0
3/4,14,-3,major,F0,minor,B0,4,4.0
3/4,15,-3,major,C0,minor,G0,4,12.0
3/4,16,-3,major,C0,minor,G0,4,8.0
3/4,16,-3,major,C0,minor,rest,0,4.0
3/4,17,-3,major,G0,dominant,G0,4,12.0
3/4,18,-3,major,G0,dominant,G0,4,4.0
3/4,18,-3,major,G0,dominant,A0,4,2.0
3/4,18,-3,major,G0,dominant,B0,4,2.0
3/4,18,-3,major,G0,dominant,C0,5,2.0
3/4,18,-3,major,G0,dominant,D0,5,2.0
3/4,19,-3,major,C0,minor,Eb,5,12.0
3/4,20,-3,major,Ab,major,Eb,5,8.0
3/4,20,-3,major,Ab,major,rest,0,4.0
3/4,21,-3,major,F0,minor,Eb,5,8.0
3/4,21,-3,major,F0,minor,D0,5,2.0
3/4,21,-3,major,F0,minor,C0,5,2.0
3/4,22,-3,major,G0,dominant,B0,4,8.0
3/4,22,-3,major,G0,dominant,C0,5,4.0
3/4,23,-3,major,C0,minor,C0,5,12.0
3/4,24,-3,major,C0,minor,C0,5,8.0
3/4,24,-3,major,C0,minor,rest,0,4.0
3/4,25,-3,major,F0,minor,C0,5,4.0
3/4,25,-3,major,F0,minor,B0,4,4.0
3/4,25,-3,major,F0,minor,C0,5,4.0
3/4,26,-3,major,Db,major,C0,5,4.0
3/4,26,-3,major,Db,major,B0,4,4.0
3/4,26,-3,major,Db,major,C0,5,4.0
3/4,27,-3,major,C0,minor,C0,5,4.0
3/4,27,-3,major,C0,minor,B0,4,4.0
3/4,27,-3,major,C0,minor,C0,5,4.0
3/4,28,-3,major,C0,minor,Db,5,4.0
3/4,28,-3,major,C0,minor,C0,5,4.0
3/4,28,-3,major,C0,minor,Bb,4,4.0
3/4,29,-3,major,F0,minor,Ab,4,4.0
3/4,29,-3,major,F0,minor,G0,4,4.0
3/4,29,-3,major,F0,minor,F0,4,4.0
3/4,30,-3,major,F0,minor,E0,4,8.0
3/4,30,-3,major,F0,minor,F0,4,4.0
3/4,31,-3,major,C0,major,G0,4,12.0
3/4,32,-3,major,C0,major,G0,4,8.0
3/4,32,-3,major,C0,major,rest,0,4.0
3/4,33,-3,major,F0,minor,C0,5,4.0
3/4,33,-3,major,F0,minor,B0,4,4.0
3/4,33,-3,major,F0,minor,C0,5,4.0
3/4,34,-3,major,F0,minor,C0,5,4.0
3/4,34,-3,major,F0,minor,B0,4,4.0
3/4,34,-3,major,F0,minor,C0,5,4.0
3/4,35,-3,major,C0,minor,C0,5,4.0
3/4,35,-3,major,C0,minor,B0,4,4.0
3/4,35,-3,major,C0,minor,C0,5,4.0
3/4,36,-3,major,C0,minor,Eb,5,4.0
3/4,36,-3,major,C0,minor,D0,5,4.0
3/4,36,-3,major,C0,minor,C0,5,4.0
3/4,37,-3,major,G0,minor,Bb,4,4.0
3/4,37,-3,major,G0,minor,A0,4,4.0
3/4,37,-3,major,G0,minor,G0,4,4.0
3/4,38,-3,major,D0,dominant,F#,4,8.0
3/4,38,-3,major,D0,dominant,G0,4,4.0
3/4,39,-3,major,G0,minor,G0,4,12.0
3/4,40,-3,major,G0,minor,G0,4,8.0
3/4,40,-3,major,G0,minor,rest,0,4.0
