time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,Eb,major,G0,4,4.0
4/4,1,-3,major,Eb,major,Bb,4,8.0
4/4,1,-3,major,Eb,major,Bb,3,4.0
4/4,2,-3,major,Eb,major-sixth,C0,4,16.0
4/4,3,-3,major,F0,minor,Ab,4,4.0
4/4,3,-3,major,F0,minor,C0,5,8.0
4/4,3,-3,major,F0,minor,C0,4,4.0
4/4,4,-3,major,Bb,dominant,D0,4,16.0
4/4,5,-3,major,Eb,major,Bb,4,8.0
4/4,5,-3,major,Eb,major,Eb,5,4.0
4/4,5,-3,major,Eb,major,D0,5,2.0
4/4,5,-3,major,Eb,major,C0,5,2.0
4/4,6,-3,major,F0,minor-seventh,Eb,5,4.0
4/4,6,-3,major,F0,minor-seventh,Ab,4,12.0
4/4,7,-3,major,Ab,minor-sixth,Cb,5,4.0
4/4,7,-3,major,Ab,minor-sixth,Eb,4,8.0
4/4,7,-3,major,Ab,minor-sixth,F0,4,4.0
4/4,8,-3,major,G0,augmented-seventh,G0,4,12.0
4/4,8,-3,major,G0,augmented-seventh,rest,0,4.0
4/4,9,-3,major,Eb,dominant,G0,4,4.0
4/4,9,-3,major,Eb,dominant,Bb,4,8.0
4/4,9,-3,major,Eb,dominant,G0,4,2.0
4/4,9,-3,major,Eb,dominant,Eb,4,2.0
4/4,10,-3,major,Ab,major-sixth,F0,4,16.0
4/4,11,-3,major,Db,dominant,F0,4,4.0
4/4,11,-3,major,Db,dominant,Ab,4,8.0
4/4,11,-3,major,Db,dominant,F0,4,2.0
4/4,11,-3,major,Db,dominant,Db,4,2.0
4/4,12,-3,major,Gb,major-sixth,Eb,4,4.0
4/4,12,-3,major,Gb,major-sixth,Bb,4,8.0
4/4,12,-3,major,Gb,major-sixth,Bb,4,4.0
4/4,13,-3,major,Bb,major,Bb,4,4.0
4/4,13,-3,major,Bb,major,F0,4,4.0
4/4,13,-3,major,Bb,major,D0,4,4.0
4/4,13,-3,major,Bb,major,Eb,4,2.0
4/4,13,-3,major,Bb,major,F0,4,2.0
4/4,14,-3,major,Eb,diminished,Gb,4,4.0
4/4,14,-3,major,Eb,diminished,D0,5,8.0
4/4,14,-3,major,Eb,diminished,C0,5,4.0
4/4,15,-3,major,Eb,major,Bb,4,4.0
4/4,15,-3,major,Eb,major,G0,4,4.0
4/4,15,-3,major,Eb,major,Eb,4,4.0
4/4,15,-3,major,Eb,major,D0,4,2.0
4/4,15,-3,major,Eb,major,Eb,4,2.0
4/4,16,-3,major,Bb,dominant,E0,4,4.0
4/4,16,-3,major,Bb,dominant,F0,4,8.0
4/4,16,-3,major,Bb,dominant,F#,4,4.0
4/4,17,-3,major,Eb,major,G0,4,4.0
4/4,17,-3,major,Eb,major,Bb,4,8.0
4/4,17,-3,major,Eb,major,Bb,3,4.0
4/4,18,-3,major,Eb,major-sixth,C0,4,16.0
4/4,19,-3,major,F0,minor,Ab,4,4.0
4/4,19,-3,major,F0,minor,C0,5,8.0
4/4,19,-3,major,F0,minor,C0,4,4.0
4/4,20,-3,major,Bb,dominant,D0,4,16.0
4/4,21,-3,major,Eb,major,Bb,4,8.0
4/4,21,-3,major,Eb,major,Eb,5,4.0
4/4,21,-3,major,Eb,major,D0,5,2.0
4/4,21,-3,major,Eb,major,C0,5,2.0
4/4,22,-3,major,F0,minor-seventh,Eb,5,4.0
4/4,22,-3,major,F0,minor-seventh,Ab,4,8.0
4/4,22,-3,major,F0,minor-seventh,Bb,4,4.0
4/4,23,-3,major,F0,minor-seventh,Cb,5,8.0
4/4,23,-3,major,F0,minor-seventh,D0,4,8.0
4/4,24,-3,major,F0,minor-seventh,Eb,4,8.0
4/4,24,-3,major,F0,minor-seventh,rest,0,8.0
4/4,25,-3,major,F0,minor-seventh,Cb,5,12.0
4/4,25,-3,major,F0,minor-seventh,Db,5,4.0
4/4,26,-3,major,F0,minor-seventh,Eb,5,8.0
4/4,26,-3,major,F0,minor-seventh,Eb,5,8.0
4/4,27,-3,major,F0,minor-seventh,Eb,5,16.0
4/4,28,-3,major,F0,minor-seventh,Eb,5,12.0
4/4,28,-3,major,F0,minor-seventh,rest,0,4.0
