time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,0,-3,major,[],[],Eb,4,3.0
3/4,0,-3,major,[],[],F0,4,1.0
3/4,1,-3,major,Eb,major,G0,4,4.0
3/4,1,-3,major,Eb,major,Eb,5,3.0
3/4,1,-3,major,Eb,major,D0,5,1.0
3/4,1,-3,major,Eb,major,C0,5,3.0
3/4,1,-3,major,Eb,major,Bb,4,1.0
3/4,2,-3,major,Eb,major,Bb,4,2.0
3/4,2,-3,major,Eb,major,G0,4,6.0
3/4,2,-3,major,Eb,major,Eb,4,3.0
3/4,2,-3,major,Eb,major,F0,4,1.0
3/4,3,-3,major,Bb,dominant,G0,4,2.0
3/4,3,-3,major,Bb,dominant,Bb,4,4.0
3/4,3,-3,major,Bb,dominant,G0,4,2.0
3/4,3,-3,major,Bb,dominant,F0,4,3.0
3/4,3,-3,major,Bb,dominant,Eb,4,1.0
3/4,4,-3,major,Eb,major,Eb,4,8.0
3/4,4,-3,major,Eb,major,Eb,4,2.0
3/4,4,-3,major,Eb,major,F0,4,2.0
3/4,5,-3,major,Eb,major,G0,4,4.0
3/4,5,-3,major,Eb,major,Eb,5,3.0
3/4,5,-3,major,Eb,major,D0,5,1.0
3/4,5,-3,major,Eb,major,C0,5,3.0
3/4,5,-3,major,Eb,major,Bb,4,1.0
3/4,6,-3,major,Eb,major,Bb,4,2.0
3/4,6,-3,major,Eb,major,G0,4,6.0
3/4,6,-3,major,Eb,major,Eb,4,3.0
3/4,6,-3,major,Eb,major,F0,4,1.0
3/4,7,-3,major,Bb,dominant,G0,4,2.0
3/4,7,-3,major,Bb,dominant,Bb,4,4.0
3/4,7,-3,major,Bb,dominant,G0,4,2.0
3/4,7,-3,major,Bb,dominant,F0,4,3.0
3/4,7,-3,major,Bb,dominant,Eb,4,1.0
3/4,8,-3,major,Eb,major,Eb,4,8.0
3/4,8,-3,major,Eb,major,Bb,4,2.0
3/4,8,-3,major,Eb,major,G0,4,2.0
3/4,9,-3,major,Ab,major,Eb,5,6.0
3/4,9,-3,major,Ab,major,D0,5,2.0
3/4,9,-3,major,Ab,major,C0,5,3.0
3/4,9,-3,major,Ab,major,Bb,4,1.0
3/4,10,-3,major,Eb,major,Bb,4,4.0
3/4,10,-3,major,Eb,major,G0,4,4.0
3/4,10,-3,major,Eb,major,Bb,4,3.0
3/4,10,-3,major,Eb,major,G0,4,1.0
3/4,11,-3,major,G0,dominant,Eb,5,6.0
3/4,11,-3,major,G0,dominant,D0,5,2.0
3/4,11,-3,major,G0,dominant,C0,5,2.0
3/4,11,-3,major,G0,dominant,B0,4,2.0
3/4,12,-3,major,G0,dominant,C0,5,4.0
3/4,12,-3,major,G0,dominant,B0,4,0
3/4,12,-3,major,G0,dominant,C0,5,0
3/4,12,-3,major,G0,dominant,D0,5,0
3/4,12,-3,major,G0,dominant,Eb,5,4.0
3/4,12,-3,major,G0,dominant,Eb,4,3.0
3/4,12,-3,major,G0,dominant,F0,4,1.0
3/4,13,-3,major,Eb,major,G0,4,4.0
3/4,13,-3,major,Eb,major,Eb,5,3.0
3/4,13,-3,major,Eb,major,D0,5,1.0
3/4,13,-3,major,Eb,major,C0,5,3.0
3/4,13,-3,major,Eb,major,Bb,4,1.0
3/4,14,-3,major,Eb,major,Bb,4,2.0
3/4,14,-3,major,Eb,major,G0,4,6.0
3/4,14,-3,major,Eb,major,Eb,4,3.0
3/4,14,-3,major,Eb,major,F0,4,1.0
3/4,15,-3,major,Eb,dominant,G0,4,2.0
3/4,15,-3,major,Eb,dominant,Bb,4,4.0
3/4,15,-3,major,Eb,dominant,G0,4,2.0
3/4,15,-3,major,Eb,dominant,F0,4,3.0
3/4,15,-3,major,Eb,dominant,Eb,4,1.0
3/4,16,-3,major,Eb,dominant,Eb,4,8.0
3/4,16,-3,major,Eb,dominant,rest,0,4.0
