time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,5,major,[],[],rest,0,8.0
4/4,1,5,major,[],[],rest,0,4.0
4/4,1,5,major,[],[],rest,0,2.0
4/4,1,5,major,[],[],F#,4,2.0
4/4,2,5,major,B0,major,D#,5,4.0
4/4,2,5,major,B0,major,D#,5,4.0
4/4,2,5,major,B0,major,D#,5,4.0
4/4,2,5,major,B0,major,D#,5,4.0
4/4,3,5,major,F#,major,C#,5,4.0
4/4,3,5,major,F#,major,B0,4,4.0
4/4,3,5,major,F#,major,C#,5,4.0
4/4,3,5,major,F#,major,D#,5,4.0
4/4,4,5,major,E0,major,D#,5,2.0
4/4,4,5,major,E0,major,B0,4,2.0
4/4,4,5,major,E0,major,G#,4,4.0
4/4,4,5,major,E0,major,rest,0,8.0
4/4,5,5,major,E0,major,B0,4,2.0
4/4,5,5,major,E0,major,C#,5,2.0
4/4,5,5,major,E0,major,D#,5,4.0
4/4,5,5,major,E0,major,D#,5,2.0
4/4,5,5,major,E0,major,C#,5,2.0
4/4,5,5,major,E0,major,B0,4,4.0
4/4,6,5,major,B0,major,D#,5,4.0
4/4,6,5,major,B0,major,D#,5,4.0
4/4,6,5,major,B0,major,D#,5,4.0
4/4,6,5,major,B0,major,D#,5,4.0
4/4,7,5,major,F#,major,C#,5,4.0
4/4,7,5,major,F#,major,B0,4,4.0
4/4,7,5,major,F#,major,C#,5,4.0
4/4,7,5,major,F#,major,B0,4,4.0
4/4,8,5,major,E0,major,G#,4,8.0
4/4,8,5,major,E0,major,rest,0,8.0
4/4,9,5,major,E0,major,B0,4,2.0
4/4,9,5,major,E0,major,C#,5,2.0
4/4,9,5,major,E0,major,D#,5,4.0
4/4,9,5,major,E0,major,D#,5,2.0
4/4,9,5,major,E0,major,C#,5,2.0
4/4,9,5,major,E0,major,B0,4,4.0
4/4,10,5,major,B0,major,D#,5,4.0
4/4,10,5,major,B0,major,F#,5,4.0
4/4,10,5,major,B0,major,F#,5,2.0
4/4,10,5,major,B0,major,D#,5,4.0
4/4,10,5,major,B0,major,G#,5,2.0
4/4,11,5,major,F#,major,G#,5,2.0
4/4,11,5,major,F#,major,F#,5,4.0
4/4,11,5,major,F#,major,G#,5,2.0
4/4,11,5,major,F#,major,G#,5,8.0
4/4,12,5,major,E0,major,G#,5,4.0
