time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-2,major,[],[],rest,0,8.0
3/4,1,-2,major,[],[],D0,4,4.0
3/4,2,-2,major,G0,minor,G0,4,8.0
3/4,2,-2,major,G0,minor,D0,4,4.0
3/4,3,-2,major,G0,minor,Bb,4,8.0
3/4,3,-2,major,G0,minor,D0,5,4.0
3/4,4,-2,major,D0,dominant,C0,5,12.0
3/4,5,-2,major,D0,dominant,C0,5,8.0
3/4,5,-2,major,D0,dominant,D0,4,4.0
3/4,6,-2,major,D0,dominant,F#,4,8.0
3/4,6,-2,major,D0,dominant,D0,4,4.0
3/4,7,-2,major,D0,dominant,A0,4,8.0
3/4,7,-2,major,D0,dominant,C0,5,4.0
3/4,8,-2,major,G0,minor,Bb,4,12.0
3/4,9,-2,major,G0,minor,Bb,4,8.0
3/4,9,-2,major,G0,minor,D0,4,4.0
3/4,10,-2,major,C0,minor,Eb,4,8.0
3/4,10,-2,major,C0,minor,G0,4,4.0
3/4,11,-2,major,D0,dominant,A0,4,8.0
3/4,11,-2,major,D0,dominant,G0,4,4.0
3/4,12,-2,major,G0,minor,D0,4,8.0
3/4,12,-2,major,G0,minor,G0,4,4.0
3/4,13,-2,major,D0,major,A0,4,8.0
3/4,13,-2,major,D0,major,G0,4,4.0
3/4,14,-2,major,D0,major,A0,4,8.0
3/4,14,-2,major,D0,major,G0,4,4.0
3/4,15,-2,major,D0,dominant,A0,4,8.0
3/4,15,-2,major,D0,dominant,A0,4,4.0
3/4,16,-2,major,G0,minor,Bb,4,8.0
3/4,16,-2,major,G0,minor,C0,5,4.0
3/4,17,-2,major,D0,dominant,A0,4,8.0
3/4,17,-2,major,D0,dominant,D0,4,4.0
3/4,18,-2,major,G0,minor,G0,4,8.0
3/4,18,-2,major,G0,minor,D0,4,4.0
3/4,19,-2,major,G0,minor,Bb,4,8.0
3/4,19,-2,major,G0,minor,D0,5,4.0
3/4,20,-2,major,D0,dominant,C0,5,12.0
3/4,21,-2,major,D0,dominant,C0,5,8.0
3/4,21,-2,major,D0,dominant,D0,4,4.0
3/4,22,-2,major,D0,dominant,F#,4,8.0
3/4,22,-2,major,D0,dominant,D0,4,4.0
3/4,23,-2,major,D0,dominant,A0,4,8.0
3/4,23,-2,major,D0,dominant,C0,5,4.0
3/4,24,-2,major,G0,minor,Bb,4,12.0
3/4,25,-2,major,G0,minor,Bb,4,8.0
3/4,25,-2,major,G0,minor,D0,5,4.0
3/4,26,-2,major,C0,minor,Eb,5,8.0
3/4,26,-2,major,C0,minor,D0,5,4.0
3/4,27,-2,major,F0,dominant,C0,5,4.0
3/4,27,-2,major,F0,dominant,Bb,4,4.0
3/4,27,-2,major,F0,dominant,A0,4,4.0
3/4,28,-2,major,G0,minor,D0,5,8.0
3/4,28,-2,major,G0,minor,C0,5,4.0
3/4,29,-2,major,G0,minor,Bb,4,4.0
3/4,29,-2,major,G0,minor,A0,4,4.0
3/4,29,-2,major,G0,minor,G0,4,4.0
3/4,30,-2,major,D0,major,A0,4,8.0
3/4,30,-2,major,D0,major,C0,5,4.0
3/4,31,-2,major,D0,augmented,Bb,4,4.0
3/4,31,-2,major,D0,augmented,D0,4,4.0
3/4,31,-2,major,D0,augmented,A0,4,4.0
3/4,32,-2,major,G0,minor,G0,4,12.0
3/4,33,-2,major,G0,minor,G0,4,8.0
3/4,33,-2,major,G0,minor,F0,4,4.0
3/4,34,-2,major,Bb,major,Bb,4,8.0
3/4,34,-2,major,Bb,major,F0,4,4.0
3/4,35,-2,major,G0,minor,Db,5,8.0
3/4,35,-2,major,G0,minor,F0,5,4.0
3/4,36,-2,major,A0,diminished,Eb,5,12.0
3/4,37,-2,major,A0,diminished,Eb,5,8.0
3/4,37,-2,major,A0,diminished,F0,4,4.0
3/4,38,-2,major,D0,major,A0,4,8.0
3/4,38,-2,major,D0,major,F#,4,4.0
3/4,39,-2,major,D0,dominant,C0,5,8.0
3/4,39,-2,major,D0,dominant,Eb,5,4.0
3/4,40,-2,major,G0,minor,D0,5,12.0
3/4,41,-2,major,G0,minor,D0,5,8.0
3/4,41,-2,major,G0,minor,D0,5,4.0
3/4,42,-2,major,D0,minor,Eb,5,8.0
3/4,42,-2,major,D0,minor,D0,5,4.0
3/4,43,-2,major,G0,dominant,C0,5,4.0
3/4,43,-2,major,G0,dominant,Bb,4,4.0
3/4,43,-2,major,G0,dominant,A0,4,4.0
3/4,44,-2,major,G0,minor,D0,5,8.0
3/4,44,-2,major,G0,minor,C0,5,4.0
3/4,45,-2,major,G0,minor,Bb,4,4.0
3/4,45,-2,major,G0,minor,A0,4,4.0
3/4,45,-2,major,G0,minor,G0,4,4.0
3/4,46,-2,major,D0,major,A0,4,8.0
3/4,46,-2,major,D0,major,C0,5,4.0
