time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,1,major,[],[],rest,0,8.0
4/4,1,1,major,[],[],rest,0,4.0
4/4,1,1,major,[],[],G0,4,4.0
4/4,2,1,major,C0,major-sixth,G0,4,4.0
4/4,2,1,major,C0,major-sixth,G0,4,4.0
4/4,2,1,major,C0,major-sixth,G0,4,6.0
4/4,2,1,major,C0,major-sixth,C0,4,2.0
4/4,3,1,major,D0,minor-seventh,G0,4,4.0
4/4,3,1,major,D0,minor-seventh,G0,4,4.0
4/4,3,1,major,D0,minor-seventh,G0,4,4.0
4/4,3,1,major,D0,minor-seventh,G0,4,4.0
4/4,4,1,major,G0,dominant,G0,4,4.0
4/4,4,1,major,G0,dominant,C0,5,4.0
4/4,4,1,major,G0,dominant,B0,4,4.0
4/4,4,1,major,G0,dominant,G0,4,4.0
4/4,5,1,major,C0,major-seventh,E0,4,12.0
4/4,5,1,major,C0,major-seventh,E0,4,4.0
4/4,6,1,major,C#,minor-seventh,E0,4,4.0
4/4,6,1,major,C#,minor-seventh,E0,4,4.0
4/4,6,1,major,C#,minor-seventh,E0,4,2.0
4/4,6,1,major,C#,minor-seventh,A0,3,6.0
4/4,7,1,major,B0,minor-seventh,E0,4,4.0
4/4,7,1,major,B0,minor-seventh,E0,4,4.0
4/4,7,1,major,B0,minor-seventh,E0,4,6.0
4/4,7,1,major,B0,minor-seventh,E0,4,2.0
4/4,8,1,major,E0,dominant,E0,4,4.0
4/4,8,1,major,E0,dominant,A0,4,4.0
4/4,8,1,major,E0,dominant,G#,4,4.0
4/4,8,1,major,E0,dominant,E0,4,4.0
4/4,9,1,major,D0,major-sixth,A0,4,12.0
4/4,9,1,major,D0,major-sixth,A0,4,4.0
4/4,10,1,major,G0,minor-seventh,Bb,4,4.0
4/4,10,1,major,G0,minor-seventh,Bb,4,4.0
4/4,10,1,major,G0,minor-seventh,G0,4,4.0
4/4,10,1,major,G0,minor-seventh,G0,4,4.0
4/4,11,1,major,D0,minor,A0,4,2.0
4/4,11,1,major,D0,minor,Bb,4,4.0
4/4,11,1,major,D0,minor,A0,4,2.0
4/4,11,1,major,D0,minor,F#,4,6.0
4/4,11,1,major,D0,minor,A0,3,2.0
4/4,12,1,major,B0,half-diminished,F#,4,2.0
4/4,12,1,major,B0,half-diminished,G0,4,4.0
4/4,12,1,major,B0,half-diminished,F#,4,2.0
4/4,12,1,major,B0,half-diminished,E0,4,4.0
4/4,12,1,major,B0,half-diminished,D0,4,4.0
4/4,13,1,major,A0,minor-ninth,E0,4,12.0
4/4,13,1,major,A0,minor-ninth,rest,0,2.0
4/4,13,1,major,A0,minor-ninth,Eb,4,2.0
4/4,14,1,major,A0,minor-seventh,D0,4,2.0
4/4,14,1,major,A0,minor-seventh,C0,5,6.0
4/4,14,1,major,A0,minor-seventh,B0,4,6.0
4/4,14,1,major,A0,minor-seventh,A0,4,2.0
4/4,15,1,major,B0,minor-seventh,D0,4,4.0
4/4,15,1,major,B0,minor-seventh,B0,4,4.0
4/4,15,1,major,B0,minor-seventh,G0,4,6.0
4/4,15,1,major,B0,minor-seventh,B0,3,2.0
4/4,16,1,major,A0,minor-seventh,C0,4,2.0
4/4,16,1,major,A0,minor-seventh,A0,4,6.0
4/4,16,1,major,A0,minor-seventh,G0,4,4.0
4/4,16,1,major,A0,minor-seventh,F#,4,4.0
4/4,17,1,major,C0,major-sixth,G0,4,16.0
4/4,18,1,major,G0,dominant-ninth,G0,4,4.0
4/4,18,1,major,G0,dominant-ninth,rest,0,2.0
4/4,18,1,major,G0,dominant-ninth,B0,3,2.0
4/4,18,1,major,G0,dominant-ninth,E0,4,2.0
4/4,18,1,major,G0,dominant-ninth,F#,4,2.0
4/4,18,1,major,G0,dominant-ninth,G0,4,2.0
4/4,18,1,major,G0,dominant-ninth,B0,4,2.0
4/4,19,1,major,F#,minor-seventh,C#,4,12.0
4/4,19,1,major,F#,minor-seventh,F#,4,4.0
4/4,20,1,major,B0,dominant,D#,4,12.0
4/4,20,1,major,B0,dominant,C0,4,4.0
4/4,21,1,major,E0,minor-seventh,B0,3,16.0
4/4,22,1,major,A0,dominant-ninth,B0,3,6.0
4/4,22,1,major,A0,dominant-ninth,B0,3,2.0
4/4,22,1,major,A0,dominant-ninth,E0,4,2.0
4/4,22,1,major,A0,dominant-ninth,F#,4,2.0
4/4,22,1,major,A0,dominant-ninth,G0,4,2.0
4/4,22,1,major,A0,dominant-ninth,B0,4,2.0
4/4,23,1,major,A0,minor-seventh,E0,4,12.0
4/4,23,1,major,A0,minor-seventh,A0,4,4.0
4/4,24,1,major,D0,dominant,F#,4,12.0
4/4,24,1,major,D0,dominant,D0,4,4.0
4/4,25,1,major,G0,major-seventh,B0,4,16.0
4/4,26,1,major,C0,major-seventh,B0,4,8.0
4/4,26,1,major,C0,major-seventh,C0,5,2.0
4/4,26,1,major,C0,major-seventh,B0,4,2.0
4/4,26,1,major,C0,major-seventh,A0,4,2.0
4/4,26,1,major,C0,major-seventh,G0,4,2.0
4/4,27,1,major,F#,minor-seventh,A0,4,12.0
4/4,27,1,major,F#,minor-seventh,C0,4,4.0
4/4,28,1,major,B0,dominant,B0,3,12.0
4/4,28,1,major,B0,dominant,A0,4,4.0
4/4,29,1,major,E0,minor-seventh,G0,4,16.0
4/4,30,1,major,E0,minor-seventh,G0,4,8.0
4/4,30,1,major,E0,minor-seventh,B0,4,2.0
4/4,30,1,major,E0,minor-seventh,A0,4,2.0
4/4,30,1,major,E0,minor-seventh,G0,4,2.0
4/4,30,1,major,E0,minor-seventh,F#,4,2.0
4/4,31,1,major,C#,half-diminished,G0,4,12.0
4/4,31,1,major,C#,half-diminished,B0,3,4.0
4/4,32,1,major,F#,dominant,A#,3,12.0
4/4,32,1,major,F#,dominant,G0,4,4.0
4/4,33,1,major,F#,half-diminished,F#,4,16.0
4/4,34,1,major,B0,dominant,F#,4,6.0
4/4,34,1,major,B0,dominant,B0,3,2.0
4/4,34,1,major,B0,dominant,E0,4,2.0
4/4,34,1,major,B0,dominant,F#,4,2.0
4/4,34,1,major,B0,dominant,G0,4,2.0
4/4,34,1,major,B0,dominant,B0,4,2.0
4/4,35,1,major,B0,half-diminished,D0,5,16.0
4/4,36,1,major,E0,dominant,D0,5,8.0
4/4,36,1,major,E0,dominant,E0,5,2.0
4/4,36,1,major,E0,dominant,D0,5,2.0
4/4,36,1,major,E0,dominant,C0,5,2.0
4/4,36,1,major,E0,dominant,B0,4,2.0
4/4,37,1,major,A0,minor-seventh,C0,5,6.0
4/4,37,1,major,A0,minor-seventh,E0,4,2.0
4/4,37,1,major,A0,minor-seventh,C0,5,8.0
4/4,38,1,major,C0,minor-seventh,C0,5,8.0
4/4,38,1,major,C0,minor-seventh,D0,5,2.0
4/4,38,1,major,C0,minor-seventh,C0,5,2.0
4/4,38,1,major,C0,minor-seventh,B0,4,2.0
