time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,Eb,major,rest,0,4.0
4/4,1,-3,major,Eb,major,G0,4,2.0
4/4,1,-3,major,Eb,major,G0,4,2.0
4/4,1,-3,major,Eb,major,G0,4,4.0
4/4,1,-3,major,Eb,major,G0,4,2.0
4/4,1,-3,major,Eb,major,G0,4,2.0
4/4,2,-3,major,Ab,major-seventh,G0,4,6.0
4/4,2,-3,major,Ab,major-seventh,rest,0,2.0
4/4,2,-3,major,Ab,major-seventh,rest,0,4.0
4/4,2,-3,major,Ab,major-seventh,rest,0,2.0
4/4,2,-3,major,Ab,major-seventh,G0,4,2.0
4/4,3,-3,major,Ab,major-seventh,C0,5,4.0
4/4,3,-3,major,Ab,major-seventh,C0,4,6.0
4/4,3,-3,major,Ab,major-seventh,Eb,4,2.0
4/4,3,-3,major,Ab,major-seventh,F0,4,4.0
4/4,4,-3,major,Db,major-seventh,F0,4,12.0
4/4,4,-3,major,Db,major-seventh,rest,0,4.0
4/4,5,-3,major,Eb,major,rest,0,4.0
4/4,5,-3,major,Eb,major,G0,4,2.0
4/4,5,-3,major,Eb,major,G0,4,2.0
4/4,5,-3,major,Eb,major,G0,4,4.0
4/4,5,-3,major,Eb,major,G0,4,2.0
4/4,5,-3,major,Eb,major,G0,4,2.0
4/4,6,-3,major,Ab,major-seventh,G0,4,6.0
4/4,6,-3,major,Ab,major-seventh,rest,0,2.0
4/4,6,-3,major,Ab,major-seventh,rest,0,4.0
4/4,6,-3,major,Ab,major-seventh,rest,0,2.0
4/4,6,-3,major,Ab,major-seventh,G0,4,2.0
4/4,7,-3,major,G0,suspended-fourth,G0,4,4.0
4/4,7,-3,major,G0,suspended-fourth,G0,4,4.0
4/4,7,-3,major,G0,suspended-fourth,A0,4,4.0
4/4,7,-3,major,G0,suspended-fourth,B0,4,4.0
4/4,8,-3,major,C0,minor-seventh,D0,5,2.0
4/4,8,-3,major,C0,minor-seventh,Eb,5,4.0
4/4,8,-3,major,C0,minor-seventh,Eb,5,2.0
4/4,8,-3,major,C0,minor-seventh,Eb,5,8.0
4/4,9,-3,major,Bb,minor-seventh,Db,5,2.0
4/4,9,-3,major,Bb,minor-seventh,Eb,5,4.0
4/4,9,-3,major,Bb,minor-seventh,Eb,5,2.0
4/4,9,-3,major,Bb,minor-seventh,Eb,5,8.0
4/4,10,-3,major,Db,major,Db,5,4.0
4/4,10,-3,major,Db,major,F0,5,4.0
4/4,10,-3,major,Db,major,Eb,5,4.0
4/4,10,-3,major,Db,major,Db,5,4.0
4/4,11,-3,major,Ab,major-seventh,Eb,5,4.0
4/4,11,-3,major,Ab,major-seventh,F0,5,4.0
4/4,11,-3,major,Ab,major-seventh,G0,5,2.0
4/4,11,-3,major,Ab,major-seventh,F0,5,6.0
4/4,12,-3,major,Ab,minor-sixth,F0,4,4.0
4/4,12,-3,major,Ab,minor-sixth,G0,4,4.0
4/4,12,-3,major,Ab,minor-sixth,G0,4,4.0
4/4,12,-3,major,Ab,minor-sixth,F0,4,4.0
4/4,13,-3,major,G0,minor-seventh,Bb,4,12.0
4/4,13,-3,major,G0,minor-seventh,G0,4,4.0
4/4,14,-3,major,C0,minor-seventh,C0,5,4.0
4/4,14,-3,major,C0,minor-seventh,Eb,4,8.0
4/4,14,-3,major,C0,minor-seventh,F0,4,4.0
4/4,15,-3,major,F0,minor-sixth,Bb,4,12.0
4/4,15,-3,major,F0,minor-sixth,G0,4,4.0
4/4,16,-3,major,Bb,suspended-fourth,C0,5,4.0
4/4,16,-3,major,Bb,suspended-fourth,Eb,4,4.0
4/4,16,-3,major,Bb,suspended-fourth,F0,4,3.0
4/4,16,-3,major,Bb,suspended-fourth,Eb,4,1.0
4/4,16,-3,major,Bb,suspended-fourth,F0,4,4.0
4/4,17,-3,major,Eb,major,rest,0,4.0
4/4,17,-3,major,Eb,major,G0,4,2.0
4/4,17,-3,major,Eb,major,G0,4,2.0
4/4,17,-3,major,Eb,major,G0,4,4.0
4/4,17,-3,major,Eb,major,G0,4,2.0
4/4,17,-3,major,Eb,major,G0,4,2.0
4/4,18,-3,major,Ab,major-seventh,rest,0,4.0
4/4,18,-3,major,Ab,major-seventh,G0,4,2.0
4/4,18,-3,major,Ab,major-seventh,G0,4,2.0
4/4,18,-3,major,Ab,major-seventh,G0,4,4.0
4/4,18,-3,major,Ab,major-seventh,G0,4,2.0
4/4,18,-3,major,Ab,major-seventh,G0,4,2.0
4/4,19,-3,major,Ab,major-seventh,rest,0,4.0
4/4,19,-3,major,Ab,major-seventh,G0,4,2.0
4/4,19,-3,major,Ab,major-seventh,G0,4,2.0
4/4,19,-3,major,Ab,major-seventh,G0,4,4.0
4/4,19,-3,major,Ab,major-seventh,Bb,4,2.0
4/4,19,-3,major,Ab,major-seventh,C0,5,2.0
4/4,20,-3,major,C0,minor-sixth,C0,5,12.0
4/4,20,-3,major,C0,minor-sixth,A0,4,4.0
4/4,21,-3,major,C0,minor-seventh,G0,4,8.0
4/4,21,-3,major,C0,minor-seventh,C0,5,2.0
4/4,21,-3,major,C0,minor-seventh,A0,4,6.0
4/4,22,-3,major,Bb,major,F0,4,16.0
4/4,23,-3,major,Bb,dominant,F0,4,4.0
4/4,23,-3,major,Bb,dominant,rest,0,2.0
