time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-2,major,Bb,major,rest,0,4.0
4/4,1,-2,major,Bb,major,rest,0,2.0
4/4,1,-2,major,Bb,major,Bb,4,2.0
4/4,1,-2,major,Bb,major,Bb,4,2.0
4/4,1,-2,major,Bb,major,A0,4,4.0
4/4,1,-2,major,Bb,major,Bb,4,2.0
4/4,2,-2,major,Bb,major-seventh,A0,4,4.0
4/4,2,-2,major,Bb,major-seventh,G0,4,2.0
4/4,2,-2,major,Bb,major-seventh,D0,4,2.0
4/4,2,-2,major,Bb,major-seventh,D0,4,2.0
4/4,2,-2,major,Bb,major-seventh,Eb,4,4.0
4/4,2,-2,major,Bb,major-seventh,F0,4,2.0
4/4,3,-2,major,Gb,major-seventh,F0,4,16.0
4/4,4,-2,major,B0,dominant,F0,4,16.0
4/4,5,-2,major,Bb,major,rest,0,4.0
4/4,5,-2,major,Bb,major,rest,0,2.0
4/4,5,-2,major,Bb,major,Bb,4,2.0
4/4,5,-2,major,Bb,major,Bb,4,2.0
4/4,5,-2,major,Bb,major,A0,4,4.0
4/4,5,-2,major,Bb,major,Bb,4,2.0
4/4,6,-2,major,Bb,major-seventh,A0,4,4.0
4/4,6,-2,major,Bb,major-seventh,G0,4,2.0
4/4,6,-2,major,Bb,major-seventh,D0,4,2.0
4/4,6,-2,major,Bb,major-seventh,D0,4,2.0
4/4,6,-2,major,Bb,major-seventh,Eb,4,4.0
4/4,6,-2,major,Bb,major-seventh,F0,4,2.0
4/4,7,-2,major,D0,minor-seventh,F0,4,16.0
4/4,8,-2,major,G0,dominant,F0,4,16.0
4/4,9,-2,major,C0,minor-seventh,rest,0,4.0
4/4,9,-2,major,C0,minor-seventh,rest,0,2.0
4/4,9,-2,major,C0,minor-seventh,G0,4,2.0
4/4,9,-2,major,C0,minor-seventh,F0,4,2.0
4/4,9,-2,major,C0,minor-seventh,G0,4,4.0
4/4,9,-2,major,C0,minor-seventh,F0,4,2.0
4/4,10,-2,major,A0,minor-seventh,F0,4,2.0
4/4,10,-2,major,A0,minor-seventh,Eb,4,4.0
4/4,10,-2,major,A0,minor-seventh,D0,4,2.0
4/4,10,-2,major,A0,minor-seventh,D0,4,2.0
4/4,10,-2,major,A0,minor-seventh,A0,3,4.0
4/4,10,-2,major,A0,minor-seventh,C0,4,2.0
4/4,11,-2,major,A0,augmented-seventh,C0,4,2.0
4/4,11,-2,major,A0,augmented-seventh,A0,3,2.0
4/4,11,-2,major,A0,augmented-seventh,Bb,3,2.0
4/4,11,-2,major,A0,augmented-seventh,D0,4,2.0
4/4,11,-2,major,A0,augmented-seventh,F0,4,2.0
4/4,11,-2,major,A0,augmented-seventh,A0,4,4.0
4/4,11,-2,major,A0,augmented-seventh,C0,5,2.0
4/4,12,-2,major,D0,major-seventh,C0,5,8.0
4/4,12,-2,major,D0,major-seventh,rest,0,2.0
4/4,12,-2,major,D0,major-seventh,Bb,4,4.0
4/4,12,-2,major,D0,major-seventh,C#,5,2.0
4/4,13,-2,major,D0,major-seventh,C#,5,2.0
4/4,13,-2,major,D0,major-seventh,A0,4,2.0
4/4,13,-2,major,D0,major-seventh,A0,4,2.0
4/4,13,-2,major,D0,major-seventh,A0,4,2.0
4/4,13,-2,major,D0,major-seventh,A0,4,8.0
4/4,14,-2,major,E0,minor-seventh,A0,4,2.0
4/4,14,-2,major,E0,minor-seventh,F#,4,2.0
4/4,14,-2,major,E0,minor-seventh,F#,4,2.0
4/4,14,-2,major,E0,minor-seventh,F#,4,2.0
4/4,14,-2,major,E0,minor-seventh,F#,4,6.0
4/4,14,-2,major,E0,minor-seventh,E0,4,2.0
4/4,15,-2,major,G0,dominant,E0,4,2.0
4/4,15,-2,major,G0,dominant,D0,4,2.0
4/4,15,-2,major,G0,dominant,D0,4,2.0
4/4,15,-2,major,G0,dominant,D0,4,2.0
4/4,15,-2,major,G0,dominant,D0,4,4.0
4/4,15,-2,major,G0,dominant,G0,4,4.0
4/4,16,-2,major,F0,dominant,G0,4,2.0
4/4,16,-2,major,F0,dominant,F0,4,2.0
4/4,16,-2,major,F0,dominant,F0,4,2.0
4/4,16,-2,major,F0,dominant,F0,4,2.0
4/4,16,-2,major,F0,dominant,F0,4,8.0
4/4,17,-2,major,Bb,major,rest,0,4.0
4/4,17,-2,major,Bb,major,rest,0,2.0
4/4,17,-2,major,Bb,major,Bb,4,2.0
4/4,17,-2,major,Bb,major,Bb,4,2.0
4/4,17,-2,major,Bb,major,A0,4,4.0
4/4,17,-2,major,Bb,major,Bb,4,2.0
4/4,18,-2,major,Bb,major-seventh,A0,4,4.0
4/4,18,-2,major,Bb,major-seventh,G0,4,2.0
4/4,18,-2,major,Bb,major-seventh,D0,4,2.0
4/4,18,-2,major,Bb,major-seventh,D0,4,2.0
4/4,18,-2,major,Bb,major-seventh,Eb,4,4.0
4/4,18,-2,major,Bb,major-seventh,F0,4,2.0
4/4,19,-2,major,Bb,minor-seventh,F0,4,16.0
4/4,20,-2,major,Eb,dominant,F0,4,16.0
4/4,21,-2,major,Bb,major,rest,0,4.0
