time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,0,major,[],[],rest,0,4.0
4/4,1,0,major,[],[],F0,4,2.0
4/4,1,0,major,[],[],Bb,4,4.0
4/4,1,0,major,[],[],Bb,4,4.0
4/4,1,0,major,[],[],Bb,4,1.0
4/4,1,0,major,[],[],A0,4,1.0
4/4,2,0,major,[],[],rest,0,4.0
4/4,2,0,major,[],[],C0,5,4.0
4/4,2,0,major,[],[],Bb,4,4.0
4/4,2,0,major,[],[],F0,4,4.0
4/4,3,0,major,[],[],rest,0,3.0
4/4,3,0,major,[],[],D0,4,2.0
4/4,3,0,major,[],[],F0,4,4.0
4/4,3,0,major,[],[],F0,4,4.0
4/4,3,0,major,[],[],F0,4,2.0
4/4,3,0,major,[],[],C0,4,1.0
4/4,4,0,major,[],[],C0,4,4.0
4/4,4,0,major,[],[],F0,4,4.0
4/4,4,0,major,[],[],D0,4,8.0
4/4,5,0,major,[],[],rest,0,4.0
4/4,5,0,major,[],[],F0,4,2.0
4/4,5,0,major,[],[],Bb,4,4.0
4/4,5,0,major,[],[],Bb,4,2.0
4/4,5,0,major,[],[],Bb,4,4.0
4/4,6,0,major,F0,major,A0,4,4.0
4/4,6,0,major,F0,major,C0,5,4.0
4/4,6,0,major,F0,major,Bb,4,4.0
4/4,6,0,major,F0,major,F0,4,4.0
4/4,7,0,major,F0,major,rest,0,3.0
4/4,7,0,major,F0,major,D0,4,2.0
4/4,7,0,major,F0,major,F0,4,4.0
4/4,7,0,major,F0,major,F0,4,4.0
4/4,7,0,major,F0,major,F0,4,2.0
4/4,7,0,major,F0,major,C0,4,1.0
4/4,8,0,major,F0,major,rest,0,4.0
4/4,8,0,major,F0,major,F0,4,4.0
4/4,8,0,major,F0,major,D0,4,8.0
4/4,9,0,major,F0,major,rest,0,3.0
4/4,9,0,major,F0,major,G0,4,2.0
4/4,9,0,major,F0,major,Bb,4,4.0
4/4,9,0,major,F0,major,Bb,4,4.0
4/4,9,0,major,F0,major,G0,4,2.0
4/4,9,0,major,F0,major,F0,4,1.0
4/4,10,0,major,F0,major,rest,0,4.0
4/4,10,0,major,F0,major,Bb,4,4.0
4/4,10,0,major,F0,major,F0,4,4.0
4/4,10,0,major,F0,major,Bb,4,4.0
4/4,11,0,major,F0,major,rest,0,4.0
4/4,11,0,major,F0,major,C0,5,2.0
4/4,11,0,major,F0,major,C0,5,4.0
4/4,11,0,major,F0,major,C0,5,3.0
4/4,11,0,major,F0,major,Bb,4,2.0
