time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
12/8,1,-1,major,D0,minor,rest,0,4.0
12/8,1,-1,major,D0,minor,rest,0,2.0
12/8,1,-1,major,D0,minor,D0,5,6.0
12/8,1,-1,major,D0,minor,A0,4,6.0
12/8,1,-1,major,D0,minor,C0,5,6.0
12/8,2,-1,major,D0,minor,D0,5,6.0
12/8,2,-1,major,D0,minor,D0,5,6.0
12/8,2,-1,major,D0,minor,A0,4,6.0
12/8,2,-1,major,D0,minor,C0,5,6.0
12/8,3,-1,major,F0,major,rest,0,4.0
12/8,3,-1,major,F0,major,rest,0,2.0
12/8,3,-1,major,F0,major,D0,5,6.0
12/8,3,-1,major,F0,major,A0,4,6.0
12/8,3,-1,major,F0,major,C0,5,6.0
12/8,4,-1,major,G0,major,D0,5,6.0
12/8,4,-1,major,G0,major,D0,5,6.0
12/8,4,-1,major,G0,major,A0,4,6.0
12/8,4,-1,major,G0,major,C0,5,6.0
12/8,5,-1,major,D0,minor,rest,0,6.0
12/8,5,-1,major,D0,minor,rest,0,6.0
12/8,5,-1,major,D0,minor,rest,0,6.0
12/8,5,-1,major,D0,minor,rest,0,6.0
12/8,6,-1,major,D0,minor,rest,0,4.0
12/8,6,-1,major,D0,minor,rest,0,2.0
12/8,6,-1,major,D0,minor,A0,4,4.0
12/8,6,-1,major,D0,minor,A0,4,2.0
12/8,6,-1,major,D0,minor,A0,4,4.0
12/8,6,-1,major,D0,minor,A0,4,2.0
12/8,6,-1,major,D0,minor,A0,4,4.0
12/8,6,-1,major,D0,minor,Bb,4,2.0
12/8,7,-1,major,F0,major,Bb,4,4.0
12/8,7,-1,major,F0,major,A0,4,2.0
12/8,7,-1,major,F0,major,G0,4,4.0
12/8,7,-1,major,F0,major,F0,4,2.0
12/8,7,-1,major,F0,major,F0,4,4.0
12/8,7,-1,major,F0,major,A0,4,2.0
12/8,7,-1,major,F0,major,A0,4,4.0
12/8,7,-1,major,F0,major,A0,4,2.0
12/8,8,-1,major,G0,major,G0,4,6.0
12/8,8,-1,major,G0,major,rest,0,4.0
12/8,8,-1,major,G0,major,Bb,4,2.0
12/8,8,-1,major,G0,major,Bb,4,4.0
12/8,8,-1,major,G0,major,Bb,4,2.0
12/8,8,-1,major,G0,major,Bb,4,4.0
12/8,8,-1,major,G0,major,Bb,4,2.0
12/8,9,-1,major,D0,minor,A0,4,6.0
12/8,9,-1,major,D0,minor,rest,0,4.0
12/8,9,-1,major,D0,minor,rest,0,2.0
12/8,9,-1,major,D0,minor,rest,0,4.0
12/8,9,-1,major,D0,minor,rest,0,2.0
12/8,9,-1,major,D0,minor,A0,4,6.0
12/8,10,-1,major,D0,minor,A0,4,6.0
12/8,10,-1,major,D0,minor,A0,4,6.0
