time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-3,major,G0,minor-seventh,Bb,4,12.0
3/4,2,-3,major,C0,minor-seventh,Eb,4,12.0
3/4,3,-3,major,F0,minor-seventh,Ab,4,12.0
3/4,4,-3,major,Bb,dominant,Eb,4,12.0
3/4,5,-3,major,G0,dominant,G0,4,12.0
3/4,6,-3,major,C0,dominant,G0,4,12.0
3/4,7,-3,major,F0,dominant,rest,0,4.0
3/4,7,-3,major,F0,dominant,F0,4,4.0
3/4,7,-3,major,F0,dominant,Eb,4,4.0
3/4,8,-3,major,Bb,dominant,D0,4,4.0
3/4,8,-3,major,Bb,dominant,Eb,4,4.0
3/4,8,-3,major,Bb,dominant,F0,4,4.0
3/4,9,-3,major,Eb,dominant,G0,4,8.0
3/4,9,-3,major,Eb,dominant,F0,4,4.0
3/4,10,-3,major,Ab,major,Eb,4,4.0
3/4,10,-3,major,Ab,major,F0,4,4.0
3/4,10,-3,major,Ab,major,G0,4,4.0
3/4,11,-3,major,F0,half-diminished,Ab,4,4.0
3/4,11,-3,major,F0,half-diminished,Ab,4,4.0
3/4,11,-3,major,F0,half-diminished,G0,4,4.0
3/4,12,-3,major,Bb,dominant,F0,4,4.0
3/4,12,-3,major,Bb,dominant,G0,4,4.0
3/4,12,-3,major,Bb,dominant,Ab,4,4.0
3/4,13,-3,major,G0,minor-seventh,Bb,4,12.0
3/4,14,-3,major,C0,minor-seventh,Bb,4,12.0
3/4,15,-3,major,F0,minor-seventh,Bb,4,12.0
3/4,16,-3,major,Bb,dominant,Bb,4,12.0
3/4,17,-3,major,Eb,dominant,A0,4,8.0
3/4,17,-3,major,Eb,dominant,G0,4,4.0
3/4,18,-3,major,D0,dominant,F#,4,4.0
3/4,18,-3,major,D0,dominant,G0,4,4.0
3/4,18,-3,major,D0,dominant,A0,4,4.0
3/4,19,-3,major,B0,minor-seventh,B0,4,12.0
3/4,20,-3,major,A0,minor-seventh,B0,4,12.0
3/4,21,-3,major,A0,minor-seventh,B0,4,12.0
3/4,22,-3,major,F#,minor-seventh,B0,4,12.0
3/4,23,-3,major,F0,minor-seventh,C0,5,12.0
3/4,24,-3,major,Bb,dominant,C0,5,8.0
3/4,24,-3,major,Bb,dominant,Bb,4,4.0
3/4,25,-3,major,G0,minor-seventh,C0,5,12.0
3/4,26,-3,major,C0,dominant,C0,5,8.0
3/4,26,-3,major,C0,dominant,Bb,4,4.0
3/4,27,-3,major,F0,minor-seventh,C0,5,4.0
3/4,27,-3,major,F0,minor-seventh,Bb,4,4.0
3/4,27,-3,major,F0,minor-seventh,Ab,4,4.0
3/4,28,-3,major,G0,dominant,G0,4,8.0
3/4,28,-3,major,G0,dominant,D0,4,4.0
3/4,29,-3,major,C0,minor-seventh,F0,4,8.0
3/4,29,-3,major,C0,minor-seventh,Eb,4,4.0
3/4,30,-3,major,Bb,minor-seventh,C0,5,4.0
3/4,30,-3,major,Bb,minor-seventh,Bb,4,4.0
3/4,30,-3,major,Bb,minor-seventh,Ab,4,4.0
3/4,31,-3,major,Bb,minor-seventh,G0,4,8.0
3/4,31,-3,major,Bb,minor-seventh,Ab,4,4.0
3/4,32,-3,major,G0,dominant,G0,4,8.0
3/4,32,-3,major,G0,dominant,D0,4,4.0
3/4,33,-3,major,C0,minor-seventh,Eb,4,4.0
3/4,33,-3,major,C0,minor-seventh,G0,4,4.0
3/4,33,-3,major,C0,minor-seventh,Bb,4,4.0
3/4,34,-3,major,F0,dominant-ninth,D0,5,4.0
3/4,34,-3,major,F0,dominant-ninth,Eb,5,4.0
3/4,34,-3,major,F0,dominant-ninth,C0,5,4.0
3/4,35,-3,major,F0,dominant-ninth,Bb,4,12.0
3/4,36,-3,major,F0,dominant-ninth,Bb,4,12.0
3/4,37,-3,major,F0,minor-seventh,Bb,4,12.0
3/4,38,-3,major,Bb,dominant,Bb,4,12.0
3/4,39,-3,major,G0,minor-seventh,Bb,4,12.0
3/4,40,-3,major,C0,minor-seventh,Eb,4,12.0
3/4,41,-3,major,F0,minor-seventh,Ab,4,12.0
3/4,42,-3,major,Bb,dominant,Eb,4,12.0
3/4,43,-3,major,G0,dominant,G0,4,12.0
3/4,44,-3,major,C0,dominant,G0,4,12.0
3/4,45,-3,major,F0,dominant,rest,0,4.0
3/4,45,-3,major,F0,dominant,F0,4,4.0
3/4,45,-3,major,F0,dominant,Eb,4,4.0
3/4,46,-3,major,Bb,dominant,D0,4,4.0
3/4,46,-3,major,Bb,dominant,Eb,4,4.0
3/4,46,-3,major,Bb,dominant,F0,4,4.0
3/4,47,-3,major,Eb,dominant,G0,4,8.0
3/4,47,-3,major,Eb,dominant,F0,4,4.0
3/4,48,-3,major,Ab,major,Eb,4,4.0
3/4,48,-3,major,Ab,major,F0,4,4.0
3/4,48,-3,major,Ab,major,G0,4,4.0
3/4,49,-3,major,F0,half-diminished,Ab,4,4.0
3/4,49,-3,major,F0,half-diminished,Ab,4,4.0
3/4,49,-3,major,F0,half-diminished,G0,4,4.0
3/4,50,-3,major,Bb,dominant,F0,4,4.0
3/4,50,-3,major,Bb,dominant,G0,4,4.0
3/4,50,-3,major,Bb,dominant,Ab,4,4.0
3/4,51,-3,major,G0,minor-seventh,Bb,4,12.0
3/4,52,-3,major,C0,dominant,Bb,4,12.0
3/4,53,-3,major,A0,minor-seventh,rest,0,4.0
3/4,53,-3,major,A0,minor-seventh,D0,5,4.0
3/4,53,-3,major,A0,minor-seventh,C0,5,4.0
3/4,54,-3,major,A0,minor-seventh,D0,5,4.0
3/4,54,-3,major,A0,minor-seventh,C0,5,4.0
3/4,54,-3,major,A0,minor-seventh,D0,5,4.0
3/4,55,-3,major,G0,minor-seventh,Bb,4,12.0
3/4,56,-3,major,Eb,dominant-11th,Bb,4,12.0
3/4,57,-3,major,Eb,dominant-11th,rest,0,4.0
3/4,57,-3,major,Eb,dominant-11th,Bb,4,4.0
3/4,57,-3,major,Eb,dominant-11th,Ab,4,4.0
3/4,58,-3,major,G0,augmented-seventh,Bb,4,4.0
3/4,58,-3,major,G0,augmented-seventh,Ab,4,4.0
3/4,58,-3,major,G0,augmented-seventh,Bb,4,4.0
3/4,59,-3,major,C0,minor,G0,4,12.0
3/4,60,-3,major,C0,minor-seventh,G0,4,12.0
3/4,61,-3,major,F0,dominant,G0,4,12.0
3/4,62,-3,major,A0,diminished,rest,0,4.0
3/4,62,-3,major,A0,diminished,F0,4,4.0
3/4,62,-3,major,A0,diminished,Eb,4,4.0
3/4,63,-3,major,Eb,major-sixth,F0,4,4.0
3/4,63,-3,major,Eb,major-sixth,Eb,4,4.0
3/4,63,-3,major,Eb,major-sixth,F0,4,4.0
3/4,64,-3,major,Eb,diminished,Eb,4,4.0
3/4,64,-3,major,Eb,diminished,F0,4,4.0
3/4,64,-3,major,Eb,diminished,Eb,4,4.0
3/4,65,-3,major,F0,minor-seventh,C0,5,12.0
3/4,66,-3,major,Bb,dominant-ninth,Bb,3,12.0
3/4,67,-3,major,Eb,major,G0,4,12.0
3/4,68,-3,major,Eb,augmented,G0,4,12.0
3/4,69,-3,major,Eb,major-sixth,G0,4,12.0
3/4,70,-3,major,Eb,major-sixth,G0,4,8.0
3/4,70,-3,major,Eb,major-sixth,rest,0,4.0
