time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,2,major,[],[],A0,4,4.0
3/4,2,2,major,D0,major,F#,4,8.0
3/4,2,2,major,D0,major,F#,4,4.0
3/4,3,2,major,D0,major-ninth,E0,4,8.0
3/4,3,2,major,D0,major-ninth,D0,4,4.0
3/4,4,2,major,D0,major,F#,4,4.0
3/4,4,2,major,D0,major,A0,4,8.0
3/4,5,2,major,D0,dominant,A0,4,4.0
3/4,5,2,major,D0,dominant,F#,4,4.0
3/4,5,2,major,D0,dominant,D0,4,4.0
3/4,6,2,major,G0,major,G0,4,8.0
3/4,6,2,major,G0,major,B0,4,4.0
3/4,7,2,major,G0,major,D0,5,8.0
3/4,7,2,major,G0,major,B0,4,4.0
3/4,8,2,major,D0,major,A0,4,12.0
3/4,9,2,major,D0,major,A0,4,8.0
3/4,9,2,major,D0,major,B0,4,2.0
3/4,9,2,major,D0,major,C#,5,2.0
3/4,10,2,major,G0,major,D0,5,8.0
3/4,10,2,major,G0,major,C#,5,4.0
3/4,11,2,major,G0,major,D0,5,8.0
3/4,11,2,major,G0,major,C#,5,4.0
3/4,12,2,major,D0,major,B0,4,4.0
3/4,12,2,major,D0,major,A0,4,8.0
3/4,13,2,major,B0,dominant,G0,4,8.0
3/4,13,2,major,B0,dominant,F#,4,4.0
3/4,14,2,major,E0,dominant,B0,4,8.0
3/4,14,2,major,E0,dominant,E0,4,4.0
3/4,15,2,major,E0,dominant,E0,4,8.0
3/4,15,2,major,E0,dominant,F#,4,4.0
3/4,16,2,major,A0,dominant,E0,4,12.0
3/4,17,2,major,A0,dominant,E0,4,4.0
3/4,17,2,major,A0,dominant,rest,0,4.0
3/4,17,2,major,A0,dominant,A0,4,4.0
3/4,18,2,major,D0,major,F#,4,8.0
3/4,18,2,major,D0,major,F#,4,4.0
3/4,19,2,major,D0,major-ninth,E0,4,8.0
3/4,19,2,major,D0,major-ninth,D0,4,4.0
3/4,20,2,major,D0,major,F#,4,4.0
3/4,20,2,major,D0,major,A0,4,8.0
3/4,21,2,major,D0,dominant,A0,4,4.0
3/4,21,2,major,D0,dominant,F#,4,4.0
3/4,21,2,major,D0,dominant,D0,4,4.0
3/4,22,2,major,G0,major,G0,4,8.0
3/4,22,2,major,G0,major,B0,4,4.0
3/4,23,2,major,G0,major,D0,5,8.0
3/4,23,2,major,G0,major,B0,4,4.0
3/4,24,2,major,D0,major,A0,4,12.0
3/4,25,2,major,D0,major,A0,4,4.0
3/4,25,2,major,D0,major,B0,4,4.0
3/4,25,2,major,D0,major,C#,5,4.0
3/4,26,2,major,G0,major,D0,5,8.0
3/4,26,2,major,G0,major,C#,5,4.0
3/4,27,2,major,G#,diminished,E0,5,8.0
3/4,27,2,major,G#,diminished,D0,5,4.0
3/4,28,2,major,D0,major,F#,5,12.0
3/4,29,2,major,B0,dominant,A0,4,4.0
3/4,29,2,major,B0,dominant,G#,4,4.0
3/4,29,2,major,B0,dominant,A0,4,4.0
3/4,30,2,major,E0,dominant,B0,4,4.0
3/4,30,2,major,E0,dominant,C#,5,4.0
3/4,30,2,major,E0,dominant,D0,5,4.0
3/4,31,2,major,A0,dominant,E0,5,8.0
3/4,31,2,major,A0,dominant,D0,5,4.0
3/4,32,2,major,D0,major,D0,5,4.0
3/4,32,2,major,D0,major,rest,0,4.0
3/4,32,2,major,D0,major,rest,0,4.0
3/4,33,2,major,D0,major,rest,0,4.0
3/4,33,2,major,D0,major,rest,0,4.0
3/4,33,2,major,D0,major,A0,4,4.0
3/4,34,2,major,D0,major,D0,5,12.0
3/4,35,2,major,D0,major,D0,5,4.0
3/4,35,2,major,D0,major,rest,0,4.0
3/4,35,2,major,D0,major,rest,0,4.0
