time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,1,major,G0,diminished,G0,5,12.0
4/4,1,1,major,G0,diminished,F#,5,2.0
4/4,1,1,major,G0,diminished,G0,5,2.0
4/4,2,1,major,B0,minor,F#,5,2.0
4/4,2,1,major,B0,minor,E0,5,2.0
4/4,2,1,major,B0,minor,D0,5,6.0
4/4,2,1,major,B0,minor,E0,5,2.0
4/4,2,1,major,B0,minor,B0,4,2.0
4/4,2,1,major,B0,minor,C0,5,2.0
4/4,3,1,major,A0,minor-seventh,D0,5,2.0
4/4,3,1,major,A0,minor-seventh,E0,5,2.0
4/4,3,1,major,A0,minor-seventh,G0,5,2.0
4/4,3,1,major,A0,minor-seventh,B0,5,2.0
4/4,3,1,major,A0,minor-seventh,A0,5,6.0
4/4,3,1,major,A0,minor-seventh,G0,5,2.0
4/4,4,1,major,G0,major,G0,4,12.0
4/4,4,1,major,G0,major,F#,4,2.0
4/4,4,1,major,G0,major,G0,4,2.0
4/4,5,1,major,B0,minor,F#,4,3.0
4/4,5,1,major,B0,minor,E0,4,1.0
4/4,5,1,major,B0,minor,D0,4,6.0
4/4,5,1,major,B0,minor,E0,4,2.0
4/4,5,1,major,B0,minor,B0,3,2.0
4/4,5,1,major,B0,minor,C0,4,2.0
4/4,6,1,major,D0,dominant,D0,4,8.0
4/4,6,1,major,D0,dominant,rest,0,2.0
4/4,6,1,major,D0,dominant,E0,4,2.0
4/4,6,1,major,D0,dominant,C0,4,3.0
4/4,6,1,major,D0,dominant,B0,3,1.0
4/4,7,1,major,G0,major,D0,4,16.0
4/4,8,1,major,E0,minor,G0,4,12.0
4/4,8,1,major,E0,minor,F#,4,2.0
4/4,8,1,major,E0,minor,G0,4,2.0
4/4,9,1,major,B0,minor,F#,4,3.0
4/4,9,1,major,B0,minor,E0,4,1.0
4/4,9,1,major,B0,minor,D0,4,4.0
4/4,9,1,major,B0,minor,rest,0,2.0
4/4,9,1,major,B0,minor,E0,4,2.0
4/4,9,1,major,B0,minor,F#,4,2.0
4/4,9,1,major,B0,minor,G0,4,2.0
4/4,10,1,major,A0,dominant,A0,4,8.0
4/4,10,1,major,A0,dominant,rest,0,2.0
4/4,10,1,major,A0,dominant,B0,4,2.0
4/4,10,1,major,A0,dominant,G0,4,3.0
4/4,10,1,major,A0,dominant,F#,4,1.0
4/4,11,1,major,D0,major,A0,4,16.0
4/4,12,1,major,D0,diminished,D0,5,12.0
4/4,12,1,major,D0,diminished,C0,5,2.0
4/4,12,1,major,D0,diminished,B0,4,2.0
4/4,13,1,major,A0,minor-seventh,C0,5,1.33333333333
4/4,13,1,major,A0,minor-seventh,B0,4,1.33333333333
4/4,13,1,major,A0,minor-seventh,A0,4,1.33333333333
4/4,13,1,major,A0,minor-seventh,E0,4,6.0
4/4,13,1,major,A0,minor-seventh,E0,4,2.0
4/4,13,1,major,A0,minor-seventh,F#,4,3.0
4/4,13,1,major,A0,minor-seventh,G0,4,1.0
4/4,14,1,major,A0,diminished,C0,5,12.0
4/4,14,1,major,A0,diminished,B0,4,2.0
4/4,14,1,major,A0,diminished,A#,4,2.0
4/4,15,1,major,G0,major,B0,4,1.33333333333
4/4,15,1,major,G0,major,A0,4,1.33333333333
4/4,15,1,major,G0,major,G0,4,1.33333333333
4/4,15,1,major,G0,major,B0,3,6.0
4/4,15,1,major,G0,major,C0,4,2.0
4/4,15,1,major,G0,major,C#,4,2.0
4/4,15,1,major,G0,major,D0,4,2.0
4/4,16,1,major,Bb,diminished,G0,4,12.0
4/4,16,1,major,Bb,diminished,F#,4,2.0
