time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,rest,0,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,1,1,major,G0,major-seventh,F#,4,2.0
4/4,2,1,major,C0,major-sixth,E0,4,2.0
4/4,2,1,major,C0,major-sixth,E0,4,2.0
4/4,2,1,major,C0,major-sixth,E0,4,2.0
4/4,2,1,major,C0,major-sixth,rest,0,2.0
4/4,2,1,major,C0,major-sixth,E0,4,4.0
4/4,2,1,major,C0,major-sixth,A0,4,4.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,rest,0,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,3,1,major,G0,major-seventh,F#,4,2.0
4/4,4,1,major,C0,major-sixth,E0,4,2.0
4/4,4,1,major,C0,major-sixth,E0,4,2.0
4/4,4,1,major,C0,major-sixth,E0,4,2.0
4/4,4,1,major,C0,major-sixth,rest,0,2.0
4/4,4,1,major,C0,major-sixth,E0,4,4.0
4/4,4,1,major,C0,major-sixth,D0,4,4.0
4/4,5,1,major,G0,major-seventh,B0,4,12.0
4/4,5,1,major,G0,major-seventh,D0,4,4.0
4/4,6,1,major,C0,minor-sixth,Eb,4,2.0
4/4,6,1,major,C0,minor-sixth,Eb,4,2.0
4/4,6,1,major,C0,minor-sixth,G0,4,2.0
4/4,6,1,major,C0,minor-sixth,G0,4,2.0
4/4,6,1,major,C0,minor-sixth,D0,5,4.0
4/4,6,1,major,C0,minor-sixth,C0,5,4.0
4/4,7,1,major,G0,major-seventh,B0,4,12.0
4/4,7,1,major,G0,major-seventh,D0,4,4.0
4/4,8,1,major,C0,minor-sixth,Eb,4,2.0
4/4,8,1,major,C0,minor-sixth,Eb,4,2.0
4/4,8,1,major,C0,minor-sixth,G0,4,2.0
4/4,8,1,major,C0,minor-sixth,G0,4,2.0
4/4,8,1,major,C0,minor-sixth,D0,5,4.0
4/4,8,1,major,C0,minor-sixth,C0,5,4.0
4/4,9,1,major,G0,major-seventh,B0,4,12.0
4/4,9,1,major,G0,major-seventh,B0,4,2.0
4/4,9,1,major,G0,major-seventh,A0,4,2.0
4/4,10,1,major,E0,minor-seventh,A0,4,8.0
4/4,10,1,major,E0,minor-seventh,A0,4,2.0
4/4,10,1,major,E0,minor-seventh,rest,0,2.0
4/4,10,1,major,E0,minor-seventh,B0,4,2.0
4/4,10,1,major,E0,minor-seventh,A0,4,2.0
4/4,11,1,major,A0,dominant-ninth,A0,4,8.0
4/4,11,1,major,A0,dominant-ninth,A0,4,2.0
4/4,11,1,major,A0,dominant-ninth,rest,0,2.0
4/4,11,1,major,A0,dominant-ninth,E0,4,2.0
4/4,11,1,major,A0,dominant-ninth,A0,4,2.0
4/4,12,1,major,A0,minor-seventh,A0,4,16.0
4/4,13,1,major,D0,dominant-ninth,A0,4,4.0
4/4,13,1,major,D0,dominant-ninth,rest,0,4.0
4/4,13,1,major,D0,dominant-ninth,B0,4,4.0
4/4,13,1,major,D0,dominant-ninth,C0,5,4.0
4/4,14,-2,major,Bb,major-seventh,D0,5,12.0
4/4,14,-2,major,Bb,major-seventh,F0,4,4.0
4/4,15,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,15,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,15,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,15,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,15,-2,major,Eb,minor-sixth,F0,5,4.0
4/4,15,-2,major,Eb,minor-sixth,Eb,5,4.0
4/4,16,-2,major,Bb,major-seventh,D0,5,12.0
4/4,16,-2,major,Bb,major-seventh,F0,4,4.0
4/4,17,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,17,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,17,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,17,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,17,-2,major,Eb,minor-sixth,F0,5,4.0
4/4,17,-2,major,Eb,minor-sixth,Eb,5,2.0
4/4,17,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,18,-2,major,Bb,major-seventh,D0,5,12.0
4/4,18,-2,major,Bb,major-seventh,rest,0,4.0
4/4,19,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,19,-2,major,Eb,minor-sixth,Gb,4,2.0
4/4,19,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,19,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,19,-2,major,Eb,minor-sixth,F0,5,4.0
4/4,19,-2,major,Eb,minor-sixth,Eb,5,2.0
4/4,19,-2,major,Eb,minor-sixth,Bb,4,2.0
4/4,20,-2,major,Bb,major-seventh,D0,5,16.0
4/4,21,-2,major,Bb,major-sixth,D0,5,8.0
4/4,21,-2,major,Bb,major-sixth,rest,0,2.0
4/4,21,-2,major,Bb,major-sixth,F0,5,2.0
4/4,21,-2,major,Bb,major-sixth,F0,5,2.0
4/4,21,-2,major,Bb,major-sixth,F0,5,2.0
4/4,22,-2,major,D0,minor-seventh,F0,5,16.0
4/4,23,-2,major,G0,minor-seventh,F0,4,2.0
4/4,23,-2,major,G0,minor-seventh,G0,4,2.0
4/4,23,-2,major,G0,minor-seventh,A0,4,2.0
4/4,23,-2,major,G0,minor-seventh,C0,5,2.0
4/4,23,-2,major,G0,minor-seventh,C0,5,2.0
4/4,23,-2,major,G0,minor-seventh,Bb,4,2.0
