time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-3,major,Eb,major-seventh,rest,0,4.0
2/2,1,-3,major,Eb,major-seventh,F0,4,2.0
2/2,1,-3,major,Eb,major-seventh,F0,4,2.0
2/2,1,-3,major,Eb,major-seventh,D0,4,4.0
2/2,1,-3,major,Eb,major-seventh,Bb,3,4.0
2/2,2,-3,major,Ab,major,Bb,4,2.0
2/2,2,-3,major,Ab,major,Ab,4,4.0
2/2,2,-3,major,Ab,major,Bb,4,2.0
2/2,2,-3,major,Ab,major,Ab,4,4.0
2/2,2,-3,major,Ab,major,G0,4,2.0
2/2,2,-3,major,Ab,major,Ab,4,2.0
2/2,3,-3,major,Db,dominant-ninth,G0,4,2.0
2/2,3,-3,major,Db,dominant-ninth,F0,4,2.0
2/2,3,-3,major,Db,dominant-ninth,F0,4,12.0
2/2,4,-3,major,Eb,major-seventh,rest,0,4.0
2/2,4,-3,major,Eb,major-seventh,F0,4,2.0
2/2,4,-3,major,Eb,major-seventh,F0,4,2.0
2/2,4,-3,major,Eb,major-seventh,D0,4,4.0
2/2,4,-3,major,Eb,major-seventh,Bb,3,4.0
2/2,5,-3,major,Ab,major,Bb,4,2.0
2/2,5,-3,major,Ab,major,Ab,4,4.0
2/2,5,-3,major,Ab,major,Bb,4,2.0
2/2,5,-3,major,Ab,major,Ab,4,4.0
2/2,5,-3,major,Ab,major,G0,4,2.0
2/2,5,-3,major,Ab,major,Ab,4,2.0
2/2,6,-3,major,Db,dominant-ninth,G0,4,2.0
2/2,6,-3,major,Db,dominant-ninth,F0,4,2.0
2/2,6,-3,major,Db,dominant-ninth,F0,4,12.0
2/2,7,-3,major,Eb,dominant,Ab,4,4.0
2/2,7,-3,major,Eb,dominant,G0,4,4.0
2/2,7,-3,major,Eb,dominant,F0,4,2.0
2/2,7,-3,major,Eb,dominant,Eb,4,4.0
2/2,7,-3,major,Eb,dominant,Ab,4,2.0
2/2,8,-3,major,Eb,dominant,G0,4,2.0
2/2,8,-3,major,Eb,dominant,F0,4,4.0
2/2,8,-3,major,Eb,dominant,Eb,4,2.0
2/2,8,-3,major,Eb,dominant,Eb,4,4.0
2/2,8,-3,major,Eb,dominant,Eb,4,2.0
2/2,8,-3,major,Eb,dominant,Eb,4,2.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,4.0
2/2,9,-3,major,C0,minor-seventh,A0,4,4.0
2/2,9,-3,major,C0,minor-seventh,G0,4,2.0
2/2,9,-3,major,C0,minor-seventh,F0,4,4.0
2/2,9,-3,major,C0,minor-seventh,F0,4,2.0
2/2,10,-3,major,Bb,major,C0,5,2.0
2/2,10,-3,major,Bb,major,Bb,4,6.0
2/2,10,-3,major,Bb,major,Bb,4,4.0
2/2,10,-3,major,Bb,major,C0,5,4.0
2/2,11,-3,major,Bb,dominant,Bb,4,12.0
2/2,11,-3,major,Bb,dominant,Bb,4,2.0
2/2,11,-3,major,Bb,dominant,Ab,4,2.0
2/2,12,-3,major,Eb,major-seventh,G0,4,2.0
