time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,1,major,G0,major,D0,5,8.0
4/4,1,1,major,G0,major,G0,4,6.0
4/4,1,1,major,G0,major,F#,4,2.0
4/4,2,1,major,G0,minor,G0,4,8.0
4/4,2,1,major,G0,minor,D0,5,8.0
4/4,3,1,major,A0,minor,C0,5,12.0
4/4,3,1,major,A0,minor,F#,4,4.0
4/4,4,1,major,Ab,dominant-ninth,F#,4,12.0
4/4,4,1,major,Ab,dominant-ninth,rest,0,4.0
4/4,5,1,major,G0,major,B0,4,8.0
4/4,5,1,major,G0,major,E0,4,6.0
4/4,5,1,major,G0,major,D#,4,2.0
4/4,6,1,major,C#,half-diminished,E0,4,8.0
4/4,6,1,major,C#,half-diminished,B0,4,8.0
4/4,7,1,major,A0,minor-seventh,A0,4,12.0
4/4,7,1,major,A0,minor-seventh,D0,4,4.0
4/4,8,1,major,D0,dominant,D0,4,12.0
4/4,8,1,major,D0,dominant,rest,0,4.0
4/4,9,1,major,B0,half-diminished,rest,0,4.0
4/4,9,1,major,B0,half-diminished,D0,4,4.0
4/4,9,1,major,B0,half-diminished,E0,4,4.0
4/4,9,1,major,B0,half-diminished,F#,4,4.0
4/4,10,1,major,E0,dominant,A0,4,8.0
4/4,10,1,major,E0,dominant,G#,4,8.0
4/4,11,1,major,A0,minor,B0,4,4.0
4/4,11,1,major,A0,minor,A0,4,4.0
4/4,11,1,major,A0,minor,C0,5,8.0
4/4,12,1,major,A0,minor,C0,5,12.0
4/4,12,1,major,A0,minor,rest,0,4.0
4/4,13,1,major,C#,half-diminished,rest,0,4.0
4/4,13,1,major,C#,half-diminished,E0,4,4.0
4/4,13,1,major,C#,half-diminished,F#,4,4.0
4/4,13,1,major,C#,half-diminished,G0,4,4.0
4/4,14,1,major,F#,dominant,B0,4,8.0
4/4,14,1,major,F#,dominant,A#,4,8.0
4/4,15,1,major,B0,minor,C#,5,4.0
4/4,15,1,major,B0,minor,B0,4,4.0
4/4,15,1,major,B0,minor,D0,5,8.0
4/4,16,1,major,A0,minor-seventh,D0,5,12.0
4/4,16,1,major,A0,minor-seventh,rest,0,4.0
4/4,17,1,major,G0,major,D0,5,8.0
4/4,17,1,major,G0,major,G0,4,6.0
4/4,17,1,major,G0,major,F#,4,2.0
4/4,18,1,major,G0,minor,G0,4,8.0
4/4,18,1,major,G0,minor,D0,5,8.0
4/4,19,1,major,A0,minor,C0,5,12.0
4/4,19,1,major,A0,minor,F#,4,4.0
4/4,20,1,major,Ab,dominant-ninth,F#,4,12.0
4/4,20,1,major,Ab,dominant-ninth,rest,0,4.0
4/4,21,1,major,G0,major,B0,4,8.0
4/4,21,1,major,G0,major,E0,4,6.0
4/4,21,1,major,G0,major,D#,4,2.0
4/4,22,1,major,C#,half-diminished,E0,4,8.0
4/4,22,1,major,C#,half-diminished,B0,4,8.0
4/4,23,1,major,A0,minor-seventh,A0,4,12.0
4/4,23,1,major,A0,minor-seventh,D0,4,4.0
4/4,24,1,major,D0,dominant,D0,4,12.0
4/4,24,1,major,D0,dominant,rest,0,4.0
4/4,25,1,major,B0,half-diminished,rest,0,4.0
4/4,25,1,major,B0,half-diminished,D0,4,4.0
4/4,25,1,major,B0,half-diminished,E0,4,4.0
4/4,25,1,major,B0,half-diminished,F#,4,4.0
4/4,26,1,major,E0,dominant,A0,4,4.0
4/4,26,1,major,E0,dominant,B0,4,4.0
4/4,26,1,major,E0,dominant,G#,4,8.0
4/4,27,1,major,A0,minor,B0,4,4.0
4/4,27,1,major,A0,minor,A0,4,4.0
4/4,27,1,major,A0,minor,C0,5,4.0
4/4,27,1,major,A0,minor,B0,4,4.0
4/4,28,1,major,F0,dominant-ninth,D0,5,4.0
4/4,28,1,major,F0,dominant-ninth,C0,5,4.0
4/4,28,1,major,F0,dominant-ninth,Eb,5,8.0
4/4,29,1,major,G0,major-sixth,E0,5,8.0
4/4,29,1,major,G0,major-sixth,G0,4,6.0
4/4,29,1,major,G0,major-sixth,F#,4,2.0
4/4,30,1,major,A0,minor-seventh,G0,4,4.0
4/4,30,1,major,A0,minor-seventh,C0,5,4.0
4/4,30,1,major,A0,minor-seventh,F#,4,8.0
4/4,31,1,major,G0,major,G0,4,16.0
4/4,32,1,major,A0,minor-seventh,G0,4,8.0
4/4,32,1,major,A0,minor-seventh,rest,0,8.0
4/4,33,1,major,G0,major,G0,4,16.0
4/4,34,1,major,G0,major,G0,4,16.0
