measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,E
2,C:maj,E
3,C#:min,G
3,C#:min,G
3,C#:min,E
4,C#:min,E
5,D:min,G
5,D:min,G
5,D:min,E
6,G:maj,E
6,G:maj,G
7,C:maj,C
8,D:maj,C
9,G:maj,G
9,G:maj,G
9,G:maj,E
10,G:maj,E
11,C#:min,G
11,C#:min,G
11,C#:min,E
12,C#:min,E
13,D:min,G
13,D:min,G
13,D:min,E
14,G:maj,E
14,G:maj,G
15,C:maj,A
16,F#:min,A
16,F#:min,C
17,E:maj,B
18,B:maj,B
18,B:maj,B
18,B:maj,B
19,E:maj,C#
19,E:maj,B
19,E:maj,B
20,F#:min,B
21,E:maj,B
21,E:maj,B
21,E:maj,B
22,E:maj,B
22,E:maj,B
22,E:maj,B
22,E:maj,B
23,D:maj,B
23,D:maj,A
23,D:maj,A
24,G:maj,A
24,G:maj,G#
25,C:maj,G
25,C:maj,G
25,C:maj,E
26,C:maj,E
27,A:min,C
27,A:min,C
27,A:min,A
28,A:min,A
29,D:min,C
29,D:min,F
29,D:min,E
30,D:min,G
30,D:min,E
31,C:maj,C
32,C:maj,C
