measure,chord,note
1,F:maj,B
1,F:maj,C
1,F:maj,C
1,F:maj,D
2,C:maj,E
2,C:maj,E
2,C:maj,E
2,C:maj,D
3,F:maj,B
3,F:maj,C
3,F:maj,C
3,F:maj,D
4,C:maj,G
4,C:maj,F
4,C:maj,E
4,C:maj,D
5,A:min,C
5,A:min,C
5,A:min,D
6,E:min,D
6,E:min,B
7,G:maj,B
7,G:maj,D
7,G:maj,D
7,G:maj,D
7,G:maj,G
7,G:maj,G
8,C:maj,G
9,A:min,E
9,A:min,D
9,A:min,C
10,E:min,D
11,G:maj,B
11,G:maj,B
11,G:maj,B
11,G:maj,B
11,G:maj,B
12,F:maj,C
12,F:maj,A
13,F:maj,B
13,F:maj,C
13,F:maj,C
13,F:maj,D
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,D
15,F:maj,B
15,F:maj,C
15,F:maj,C
15,F:maj,D
16,C:maj,G
16,C:maj,F
16,C:maj,E
16,C:maj,D
17,A:min,C
17,A:min,C
17,A:min,D
18,E:min,D
19,G:maj,B
19,G:maj,D
19,G:maj,D
19,G:maj,D
19,G:maj,G
19,G:maj,G
20,C:maj,G
21,A:min,E
21,A:min,D
21,A:min,C
22,E:min,D
23,G:maj,B
23,G:maj,B
23,G:maj,B
23,G:maj,B
23,G:maj,B
24,F:maj,C
24,F:maj,A
25,F:maj,B
25,F:maj,C
25,F:maj,C
25,F:maj,D
26,C:maj,E
26,C:maj,E
26,C:maj,E
26,C:maj,D
27,F:maj,B
27,F:maj,C
27,F:maj,C
27,F:maj,D
28,C:maj,G
28,C:maj,F
28,C:maj,E
28,C:maj,D
29,A:min,C
29,A:min,C
29,A:min,D
29,A:min,D
29,A:min,D
30,E:min,D
30,E:min,B
31,G:maj,B
31,G:maj,D
31,G:maj,D
31,G:maj,D
31,G:maj,G
31,G:maj,G
32,C:maj,G
34,E:min,C
35,G:maj,D
35,G:maj,B
35,G:maj,B
37,F:maj,B
37,F:maj,C
37,F:maj,C
37,F:maj,D
38,C:maj,E
38,C:maj,E
38,C:maj,E
38,C:maj,D
39,F:maj,B
39,F:maj,C
39,F:maj,C
39,F:maj,D
40,C:maj,G
40,C:maj,F
40,C:maj,E
40,C:maj,D
41,A:min,C
41,A:min,C
41,A:min,C
41,A:min,D
41,A:min,D
42,E:min,B
42,E:min,B
42,E:min,B
43,G:maj,B
43,G:maj,D
43,G:maj,D
43,G:maj,D
43,G:maj,G
43,G:maj,G
44,D:maj,G
45,A:min,E
45,A:min,D
45,A:min,E
45,A:min,D
46,E:min,B
47,G:maj,D
47,G:maj,B
47,G:maj,B
47,G:maj,B
49,F:maj,B
49,F:maj,C
49,F:maj,C
49,F:maj,D
50,C:maj,E
50,C:maj,E
50,C:maj,E
50,C:maj,D
51,F:maj,B
51,F:maj,C
51,F:maj,C
51,F:maj,D
52,C:maj,G
52,C:maj,F
52,C:maj,E
53,A:min,C
53,A:min,C
53,A:min,C
53,A:min,B
54,E:min,B
54,E:min,G
55,G:maj,B
55,G:maj,B
55,G:maj,D
55,G:maj,D
55,G:maj,G
55,G:maj,G
56,C:maj,G
57,A:min,E
57,A:min,D
57,A:min,D
58,E:min,C
58,E:min,B
59,G:maj,B
59,G:maj,B
59,G:maj,B
59,G:maj,B
59,G:maj,C
60,F:maj,A
61,F:maj,B
61,F:maj,C
61,F:maj,C
61,F:maj,D
62,C:maj,E
62,C:maj,E
62,C:maj,E
62,C:maj,D
63,F:maj,B
63,F:maj,C
63,F:maj,C
63,F:maj,D
64,C:maj,G
64,C:maj,F
64,C:maj,E
64,C:maj,D
65,A:min,C
65,A:min,C
65,A:min,D
66,E:min,D
66,E:min,B
66,E:min,B
67,G:maj,B
67,G:maj,B
67,G:maj,B
67,G:maj,D
67,G:maj,D
67,G:maj,G
68,C:maj,G
68,C:maj,G
69,A:min,E
69,A:min,D
69,A:min,E
70,E:min,D
70,E:min,C
70,E:min,B
71,G:maj,B
71,G:maj,B
71,G:maj,B
72,F:maj,C
72,F:maj,A
72,F:maj,A
73,F:maj,B
73,F:maj,C
73,F:maj,C
73,F:maj,D
74,C:maj,E
74,C:maj,E
74,C:maj,E
74,C:maj,D
75,F:maj,B
75,F:maj,C
75,F:maj,C
75,F:maj,D
76,C:maj,G
76,C:maj,F
76,C:maj,E
76,C:maj,D
77,A:min,C
77,A:min,C
77,A:min,C
77,A:min,D
78,E:min,D
78,E:min,D
78,E:min,B
79,G:maj,B
79,G:maj,B
79,G:maj,D
79,G:maj,D
79,G:maj,D
79,G:maj,G
80,C:maj,G
81,A:maj,E
81,A:maj,D
81,A:maj,D
81,A:maj,C
81,A:maj,D
82,E:min,B
82,E:min,B
82,E:min,B
82,E:min,B
83,G:maj,D
83,G:maj,D
83,G:maj,B
85,F:maj,B
85,F:maj,C
85,F:maj,C
85,F:maj,D
86,C:maj,E
86,C:maj,E
86,C:maj,E
86,C:maj,D
87,F:maj,B
87,F:maj,C
87,F:maj,C
87,F:maj,D
88,C:maj,G
88,C:maj,F
88,C:maj,E
88,C:maj,D
89,A:min,C
89,A:min,C
89,A:min,C
89,A:min,D
90,E:maj,B
90,E:maj,D
90,E:maj,D
90,E:maj,C
91,G:maj,B
91,G:maj,B
91,G:maj,D
91,G:maj,D
91,G:maj,G
91,G:maj,G
92,C:maj,G
93,A:min,E
93,A:min,D
93,A:min,E
93,A:min,E
93,A:min,E
94,E:min,D
94,E:min,B
95,G:maj,B
95,G:maj,B
95,G:maj,B
95,G:maj,C
96,F:maj,A
