measure,chord,note
2,A:min,B
2,A:min,C
2,A:min,B
2,A:min,A
2,A:min,G#
2,A:min,A
2,A:min,B
2,A:min,A
3,D:min,F
3,D:min,F
3,D:min,G#
4,D:min,A
4,D:min,B
4,D:min,A
4,D:min,G#
4,D:min,F
4,D:min,G#
4,D:min,B
4,D:min,A
5,A:min,E
5,A:min,E
6,A:min,E
6,A:min,A
6,A:min,B
6,A:min,C
7,D:min,C
7,D:min,B
8,E:maj,B
8,E:maj,B
8,E:maj,C
8,E:maj,B
8,E:maj,A
8,E:maj,G#
9,A:min,B
9,A:min,A
10,A:maj,A
10,A:maj,A
10,A:maj,A#
10,A:maj,A
10,A:maj,G
10,A:maj,A
11,D:min,G
11,D:min,F
11,D:min,F
12,D:min,F
12,D:min,F
12,D:min,G
12,D:min,F
12,D:min,E
12,D:min,D#
13,E:maj,E
14,A:min,E
14,A:min,A
14,A:min,C
14,A:min,E
15,D:min,E
15,D:min,D
16,E:maj,D
16,E:maj,D
16,E:maj,C
16,E:maj,B
16,E:maj,A
16,E:maj,B
17,A:min,C
18,A:min,C
18,A:min,A
18,A:min,C
18,A:min,A
18,A:min,C
18,A:min,A
19,D:min,F
19,D:min,F
20,E:maj,F
20,E:maj,G#
20,E:maj,B
20,E:maj,G#
20,E:maj,B
20,E:maj,G#
21,A:min,E
21,A:min,E
22,A:min,E
22,A:min,A
22,A:min,C
22,A:min,E
23,D:min,E
23,D:min,D
24,E:maj,D
24,E:maj,D
24,E:maj,C
24,E:maj,B
24,E:maj,A
24,E:maj,B
25,A:min,C
25,A:min,C
26,A:min,C
26,A:min,A
26,A:min,C
26,A:min,A
26,A:min,C
26,A:min,A
27,D:min,F
27,D:min,F
28,E:maj,F
28,E:maj,B
28,E:maj,C
28,E:maj,B
28,E:maj,A
28,E:maj,G#
29,A:min,A
30,E:maj,A
30,E:maj,A
30,E:maj,C
30,E:maj,E
31,A:min,A
32,A:min,A
33,G:maj,G
33,G:maj,B
33,G:maj,D
33,G:maj,F
33,G:maj,G
34,C:maj,F
34,C:maj,E
34,C:maj,E
34,C:maj,C
35,G:maj,G
35,G:maj,B
35,G:maj,D
35,G:maj,F
35,G:maj,F
35,G:maj,G
36,C:maj,E
36,C:maj,E
37,E:maj,E
37,E:maj,G#
37,E:maj,B
37,E:maj,D
37,E:maj,E
38,A:min,D
38,A:min,C
39,D:min,C
39,D:min,C
39,D:min,C
39,D:min,D
39,D:min,D
39,D:min,C
39,D:min,D
40,E:maj,E
40,E:maj,A
40,E:maj,C
40,E:maj,E
41,D:min,E
41,D:min,D
42,E:maj,D
42,E:maj,D
42,E:maj,C
42,E:maj,B
42,E:maj,A
42,E:maj,B
43,A:min,C
43,A:min,C
44,A:min,C
44,A:min,A
44,A:min,C
44,A:min,A
44,A:min,C
44,A:min,A
45,D:min,F
45,D:min,F
46,E:maj,F
46,E:maj,B
46,E:maj,C
46,E:maj,B
46,E:maj,A
46,E:maj,G#
47,A:min,A
48,A:min,A
