measure,chord,note
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,D
2,C:maj,E
2,C:maj,F
3,C:maj,G
3,C:maj,G
3,C:maj,G
3,C:maj,E
4,F:maj,A
4,F:maj,A
4,F:maj,A
4,F:maj,G
5,F:maj,A
5,F:maj,G
5,F:maj,A
5,F:maj,B
5,F:maj,C
5,F:maj,D
6,C:maj,E
6,C:maj,C
6,C:maj,G
7,C:maj,C
7,C:maj,G
7,C:maj,E
8,G:maj,G
8,G:maj,D
8,G:maj,E
9,C:maj,C
9,C:maj,G
9,C:maj,E
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,D
10,C:maj,E
10,C:maj,F
11,C:maj,G
11,C:maj,G
11,C:maj,G
11,C:maj,E
12,F:maj,A
12,F:maj,A
12,F:maj,A
12,F:maj,G
13,F:maj,A
13,F:maj,G
13,F:maj,A
13,F:maj,B
13,F:maj,C
13,F:maj,D
14,C:maj,E
14,C:maj,C
14,C:maj,G
15,C:maj,C
15,C:maj,G
15,C:maj,E
16,G:maj,G
16,G:maj,D
16,G:maj,E
17,C:maj,C
17,C:maj,G
18,C:maj,C
18,C:maj,E
18,C:maj,D
18,C:maj,C
19,F:maj,A
19,F:maj,C
19,F:maj,A
20,D:maj,D
20,D:maj,A
21,G:maj,D
21,G:maj,G
22,C:maj,C
22,C:maj,E
22,C:maj,D
22,C:maj,C
23,A:maj,A
23,A:maj,B
23,A:maj,C
23,A:maj,A
24,C:maj,G
24,C:maj,E
24,C:maj,C
24,C:maj,E
25,G:maj,E
25,G:maj,D
25,G:maj,E
26,C:maj,C
26,C:maj,E
27,G:maj,D
27,G:maj,A
28,C:maj,G
28,C:maj,E
28,C:maj,E
28,C:maj,C
29,C:maj,D
29,C:maj,C
29,C:maj,E
30,C:maj,C
30,C:maj,E
31,G:maj,D
31,G:maj,A
32,C:maj,G
32,C:maj,E
32,C:maj,E
32,C:maj,C
33,G:maj,D
33,G:maj,C
33,G:maj,G
33,G:maj,E
34,G:maj,D
34,G:maj,C
