measure,chord,note
7,C:maj,G
7,C:maj,A
7,C:maj,G
8,C:maj,E
8,C:maj,C
9,F:maj,C
10,F:maj,A
11,C:maj,G
11,C:maj,A
11,C:maj,G
12,D:maj,E
12,D:maj,C
13,G:maj,D
14,G:maj,D
15,C:maj,G
15,C:maj,A
15,C:maj,G
16,C:maj,E
16,C:maj,C
17,F:maj,C
18,F:maj,A
19,C:maj,G
19,C:maj,E
19,C:maj,E
19,C:maj,G
20,F:maj,F
20,F:maj,E
20,F:maj,D
21,C:maj,C
22,C:maj,C
22,C:maj,C
22,C:maj,A
23,G:maj,B
24,G:maj,B
24,G:maj,A
25,F:maj,A
26,C:maj,G
26,C:maj,C
26,C:maj,A
27,G:maj,B
28,G:maj,B
28,G:maj,A
29,C:maj,G
30,C:maj,G
30,C:maj,C
30,C:maj,D
31,C:maj,E
32,C:maj,E
32,C:maj,D
33,F:maj,D
34,F:maj,C
34,F:maj,A
34,F:maj,A
35,C:maj,G
35,C:maj,C
35,C:maj,A
36,G:maj,B
36,G:maj,C
36,G:maj,D
37,C:maj,C
38,C:maj,C
39,C:maj,G
39,C:maj,A
39,C:maj,G
40,C:maj,E
40,C:maj,C
41,F:maj,C
42,F:maj,A
43,C:maj,G
43,C:maj,A
43,C:maj,G
44,D:maj,E
44,D:maj,C
45,G:maj,D
46,G:maj,D
47,C:maj,G
47,C:maj,A
47,C:maj,G
48,C:maj,E
48,C:maj,C
49,F:maj,C
50,F:maj,A
51,C:maj,G
51,C:maj,E
51,C:maj,E
51,C:maj,G
52,F:maj,F
52,F:maj,E
52,F:maj,D
53,C:maj,C
54,C:maj,C
54,C:maj,C
54,C:maj,A
55,G:maj,B
56,G:maj,B
56,G:maj,A
57,F:maj,A
58,C:maj,G
58,C:maj,C
58,C:maj,A
59,G:maj,B
60,G:maj,B
60,G:maj,A
61,C:maj,G
62,C:maj,G
62,C:maj,C
62,C:maj,D
63,C:maj,E
64,C:maj,E
64,C:maj,D
65,F:maj,D
66,F:maj,C
66,F:maj,A
66,F:maj,A
67,C:maj,G
67,C:maj,C
67,C:maj,A
68,G:maj,B
68,G:maj,C
68,G:maj,D
69,C:maj,C
70,C:maj,C
71,C:maj,G
71,C:maj,A
71,C:maj,G
72,C:maj,E
72,C:maj,C
73,F:maj,C
74,F:maj,A
75,C:maj,G
75,C:maj,A
75,C:maj,G
76,D:maj,E
76,D:maj,C
77,G:maj,D
78,G:maj,D
79,C:maj,G
79,C:maj,A
79,C:maj,G
80,C:maj,E
80,C:maj,C
81,F:maj,C
82,F:maj,A
83,C:maj,G
83,C:maj,E
83,C:maj,E
83,C:maj,G
84,F:maj,F
84,F:maj,E
84,F:maj,D
85,C:maj,C
86,C:maj,C
86,C:maj,C
86,C:maj,A
87,G:maj,B
88,G:maj,B
88,G:maj,A
89,F:maj,A
90,C:maj,G
90,C:maj,C
90,C:maj,A
91,G:maj,B
92,G:maj,B
92,G:maj,A
93,C:maj,G
94,C:maj,G
94,C:maj,C
94,C:maj,D
95,C:maj,E
96,C:maj,E
96,C:maj,D
97,F:maj,D
98,F:maj,C
98,F:maj,A
98,F:maj,A
99,C:maj,G
99,C:maj,C
99,C:maj,A
100,G:maj,B
100,G:maj,C
100,G:maj,D
101,C:maj,C
102,C:maj,C
